"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KSK","EQ","02-Jan-2017","         14.95","         15.25","         15.40","         14.75","         15.40","         15.10","         15.07","      86427","             1302199.60","        386","      58568","         67.77"
"KSK","EQ","03-Jan-2017","         15.10","         15.35","         15.85","         15.10","         15.85","         15.85","         15.76","     148531","             2340515.10","        467","      92976","         62.60"
"KSK","EQ","04-Jan-2017","         15.85","         16.55","         16.60","         16.50","         16.60","         16.60","         16.59","      71566","             1187390.50","        134","      64534","         90.17"
"KSK","EQ","05-Jan-2017","         16.60","         17.40","         17.40","         17.40","         17.40","         17.40","         17.40","      78400","             1364160.00","        109","      78400","        100.00"
"KSK","EQ","06-Jan-2017","         17.40","         17.90","         17.90","         16.65","         17.10","         17.15","         17.24","     605676","            10443956.70","       1148","     409454","         67.60"
"KSK","EQ","09-Jan-2017","         17.15","         17.15","         17.40","         16.50","         16.80","         16.65","         16.83","     147502","             2482953.60","        415","     103569","         70.22"
"KSK","EQ","10-Jan-2017","         16.65","         17.40","         17.45","         16.05","         17.45","         17.45","         17.23","     258285","             4449722.00","        441","     148866","         57.64"
"KSK","EQ","11-Jan-2017","         17.45","         18.10","         18.10","         16.75","         17.00","         17.00","         17.21","     271656","             4675945.50","        858","     152840","         56.26"
"KSK","EQ","12-Jan-2017","         17.00","         16.55","         17.85","         16.50","         17.65","         17.75","         17.52","     390609","             6842622.85","       1171","     152808","         39.12"
"KSK","EQ","13-Jan-2017","         17.75","         18.00","         18.30","         17.20","         18.25","         18.25","         17.98","     361486","             6500920.10","       1187","     182539","         50.50"
"KSK","EQ","16-Jan-2017","         18.25","         18.85","         18.85","         18.00","         18.25","         18.30","         18.41","     153636","             2827832.05","        526","     105266","         68.52"
"KSK","EQ","17-Jan-2017","         18.30","         18.75","         18.75","         17.75","         18.30","         18.30","         18.25","     122428","             2234226.80","       2737","      94241","         76.98"
"KSK","EQ","18-Jan-2017","         18.30","         18.30","         19.00","         18.05","         18.50","         18.25","         18.52","     328163","             6077599.10","       2802","     182995","         55.76"
"KSK","EQ","19-Jan-2017","         18.25","         18.50","         18.65","         18.15","         18.25","         18.25","         18.37","     106616","             1958573.50","        838","      87507","         82.08"
"KSK","EQ","20-Jan-2017","         18.25","         18.60","         18.60","         17.85","         17.90","         17.90","         18.03","     146097","             2634798.20","        358","     115726","         79.21"
"KSK","EQ","23-Jan-2017","         17.90","         18.00","         18.00","         17.10","         17.20","         17.15","         17.46","     245250","             4281917.80","        575","     159494","         65.03"
"KSK","EQ","24-Jan-2017","         17.15","         17.50","         17.85","         17.30","         17.45","         17.40","         17.54","     385993","             6769797.75","        785","     337556","         87.45"
"KSK","EQ","25-Jan-2017","         17.40","         17.35","         17.50","         16.85","         16.95","         17.00","         17.19","     306865","             5274443.20","        456","     242860","         79.14"
"KSK","EQ","27-Jan-2017","         17.00","         16.55","         17.30","         16.55","         16.75","         16.70","         16.81","     243283","             4090758.80","        670","     145825","         59.94"
"KSK","EQ","30-Jan-2017","         16.70","         16.70","         17.30","         16.70","         17.10","         17.05","         17.02","     111657","             1900586.80","        470","      68132","         61.02"
"KSK","EQ","31-Jan-2017","         17.05","         17.10","         17.25","         16.25","         16.30","         16.40","         16.70","     147557","             2464570.15","        451","     110974","         75.21"
"KSK","EQ","01-Feb-2017","         16.40","         16.80","         17.20","         16.30","         17.10","         17.10","         16.89","     145266","             2453394.25","        588","      75358","         51.88"
"KSK","EQ","02-Feb-2017","         17.10","         17.50","         17.50","         16.85","         16.85","         17.00","         17.15","      99292","             1702705.15","        433","      54014","         54.40"
"KSK","EQ","03-Feb-2017","         17.00","         16.80","         17.20","         16.15","         16.95","         17.00","         16.98","     296532","             5036560.40","       2693","     182301","         61.48"
"KSK","EQ","06-Feb-2017","         17.00","         17.00","         17.25","         16.60","         16.85","         16.85","         16.91","     253330","             4283192.70","        829","     194369","         76.73"
"KSK","EQ","07-Feb-2017","         16.85","         16.85","         17.15","         16.80","         17.00","         17.00","         16.97","     253868","             4308285.90","       1339","     134189","         52.86"
"KSK","EQ","08-Feb-2017","         17.00","         17.25","         17.80","         16.90","         16.95","         16.95","         17.31","     365715","             6330214.80","        931","     180555","         49.37"
"KSK","EQ","09-Feb-2017","         16.95","         17.15","         17.35","         16.40","         16.65","         16.60","         17.02","     456624","             7772061.35","       3147","     348341","         76.29"
"KSK","EQ","10-Feb-2017","         16.60","         16.75","         16.80","         15.65","         16.15","         16.15","         16.15","     260956","             4213218.80","        937","     166957","         63.98"
"KSK","EQ","13-Feb-2017","         16.15","         16.80","         16.90","         15.70","         15.85","         15.85","         16.22","     315544","             5117420.70","        861","     161014","         51.03"
"KSK","EQ","14-Feb-2017","         15.85","         16.45","         16.45","         15.85","         16.00","         16.05","         16.13","      77173","             1244835.35","        268","      57185","         74.10"
"KSK","EQ","15-Feb-2017","         16.05","         16.05","         16.15","         15.50","         15.85","         15.70","         15.75","      76094","             1198678.85","        360","      52326","         68.76"
"KSK","EQ","16-Feb-2017","         15.70","         15.70","         16.20","         15.60","         15.60","         15.65","         15.88","     180565","             2867656.55","        299","     156455","         86.65"
"KSK","EQ","17-Feb-2017","         15.65","         15.65","         16.00","         14.85","         15.00","         15.00","         15.24","     226043","             3444908.15","        905","     191912","         84.90"
"KSK","EQ","20-Feb-2017","         15.00","         15.00","         15.10","         14.30","         14.45","         14.45","         14.56","     276352","             4023959.95","       1563","     221670","         80.21"
"KSK","EQ","21-Feb-2017","         14.45","         14.45","         14.90","         13.95","         14.00","         14.05","         14.24","     428865","             6106555.45","       1405","     397243","         92.63"
"KSK","EQ","22-Feb-2017","         14.05","         14.00","         14.10","         13.65","         13.85","         13.85","         13.88","     501238","             6956974.90","       1035","     420846","         83.96"
"KSK","EQ","23-Feb-2017","         13.85","         13.85","         14.00","         13.40","         13.45","         13.50","         13.73","     409075","             5615833.70","        879","     318167","         77.78"
"KSK","EQ","27-Feb-2017","         13.50","         13.60","         14.25","         12.80","         12.90","         12.90","         13.10","     810961","            10625537.05","       1404","     714392","         88.09"
"KSK","EQ","28-Feb-2017","         12.90","         12.90","         13.50","         12.85","         13.00","         13.00","         13.03","     774334","            10088676.85","       1224","     635117","         82.02"
"KSK","EQ","01-Mar-2017","         13.00","         13.00","         14.30","         12.70","         12.80","         12.80","         12.95","     872812","            11300581.80","       1132","     748619","         85.77"
"KSK","EQ","02-Mar-2017","         12.80","         12.60","         13.10","         12.60","         12.75","         12.75","         12.86","     192038","             2470227.80","        510","     162126","         84.42"
"KSK","EQ","03-Mar-2017","         12.75","         12.60","         13.15","         12.35","         12.50","         12.50","         12.58","     309409","             3892956.80","        598","     275835","         89.15"
"KSK","EQ","06-Mar-2017","         12.50","         12.35","         12.60","         11.85","         12.00","         12.00","         12.16","     715892","             8703703.70","       1147","     655377","         91.55"
"KSK","EQ","07-Mar-2017","         12.00","         12.20","         12.30","         11.75","         11.95","         11.95","         12.06","     600066","             7235152.55","       1032","     450851","         75.13"
"KSK","EQ","08-Mar-2017","         11.95","         12.00","         12.25","         11.90","         11.95","         11.95","         11.99","     532119","             6377487.25","        725","     470062","         88.34"
"KSK","EQ","09-Mar-2017","         11.95","         11.75","         12.00","         11.40","         11.40","         11.50","         11.74","    1285524","            15093236.50","       1213","    1125842","         87.58"
"KSK","EQ","10-Mar-2017","         11.50","         11.60","         11.75","         11.15","         11.25","         11.20","         11.37","     468066","             5320961.90","        937","     387716","         82.83"
"KSK","EQ","14-Mar-2017","         11.20","         12.00","         12.00","         10.60","         10.70","         10.75","         11.01","     712646","             7843600.85","       1231","     563279","         79.04"
"KSK","EQ","15-Mar-2017","         10.75","         10.85","         10.85","         10.25","         10.30","         10.30","         10.47","     665280","             6965775.95","       1182","     499179","         75.03"
