"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KALPATPOWR","EQ","02-Jan-2017","        248.55","        249.95","        259.80","        246.60","        259.00","        258.10","        253.86","      38435","             9757055.75","        873","      30473","         79.28"
"KALPATPOWR","EQ","03-Jan-2017","        258.10","        257.75","        269.95","        257.75","        268.95","        265.45","        264.46","     172924","            45731677.90","       3230","     137291","         79.39"
"KALPATPOWR","EQ","04-Jan-2017","        265.45","        269.50","        275.00","        261.65","        263.90","        263.35","        270.52","     112091","            30323169.00","       2604","      83016","         74.06"
"KALPATPOWR","EQ","05-Jan-2017","        263.35","        261.30","        264.80","        256.80","        259.45","        259.95","        261.46","      38232","             9995961.85","       1235","      29219","         76.43"
"KALPATPOWR","EQ","06-Jan-2017","        259.95","        261.35","        263.05","        257.65","        258.55","        259.75","        261.05","      28882","             7539718.05","        743","      21778","         75.40"
"KALPATPOWR","EQ","09-Jan-2017","        259.75","        257.00","        264.00","        255.15","        262.10","        261.75","        256.06","     272552","            69789767.35","       1217","     265086","         97.26"
"KALPATPOWR","EQ","10-Jan-2017","        261.75","        261.00","        267.70","        261.00","        266.50","        266.35","        264.67","      27164","             7189567.20","       1019","      22196","         81.71"
"KALPATPOWR","EQ","11-Jan-2017","        266.35","        265.15","        268.75","        262.55","        265.85","        266.65","        265.05","     163247","            43268943.90","        595","     155727","         95.39"
"KALPATPOWR","EQ","12-Jan-2017","        266.65","        265.00","        274.95","        265.00","        266.50","        268.35","        269.99","      66516","            17958709.00","       1757","      18769","         28.22"
"KALPATPOWR","EQ","13-Jan-2017","        268.35","        266.50","        272.90","        265.30","        272.85","        271.30","        270.90","      47389","            12837589.45","       1226","      26307","         55.51"
"KALPATPOWR","EQ","16-Jan-2017","        271.30","        274.85","        276.00","        267.35","        273.45","        274.55","        271.30","      96072","            26064586.35","       1147","      75287","         78.37"
"KALPATPOWR","EQ","17-Jan-2017","        274.55","        270.55","        275.35","        267.10","        269.90","        269.65","        271.22","      21480","             5825785.95","       1668","      16302","         75.89"
"KALPATPOWR","EQ","18-Jan-2017","        269.65","        267.70","        274.00","        267.70","        269.65","        270.50","        271.79","      14204","             3860515.05","        457","       7589","         53.43"
"KALPATPOWR","EQ","19-Jan-2017","        270.50","        270.00","        274.00","        270.00","        273.00","        272.80","        272.60","      25572","             6971000.70","        467","      21139","         82.66"
"KALPATPOWR","EQ","20-Jan-2017","        272.80","        273.55","        279.90","        261.65","        264.75","        264.45","        272.97","      84913","            23179035.95","       2865","      43494","         51.22"
"KALPATPOWR","EQ","23-Jan-2017","        264.45","        273.00","        276.00","        268.25","        270.30","        270.20","        270.79","     157425","            42628925.50","       3655","      32263","         20.49"
"KALPATPOWR","EQ","24-Jan-2017","        270.20","        270.30","        272.90","        265.50","        272.70","        271.30","        269.93","      31521","             8508483.00","        714","      15012","         47.63"
"KALPATPOWR","EQ","25-Jan-2017","        271.30","        273.75","        276.00","        270.00","        272.15","        273.30","        273.24","      34387","             9395778.85","        784","      17115","         49.77"
"KALPATPOWR","EQ","27-Jan-2017","        273.30","        271.40","        275.85","        268.90","        275.05","        272.80","        272.97","      68244","            18628439.00","       1072","      49208","         72.11"
"KALPATPOWR","EQ","30-Jan-2017","        272.80","        270.00","        280.00","        270.00","        276.00","        276.95","        277.37","      73068","            20267064.75","       1663","      45334","         62.04"
"KALPATPOWR","EQ","31-Jan-2017","        276.95","        276.25","        281.50","        273.25","        276.30","        274.30","        276.65","      25321","             7005080.85","       1077","      17764","         70.16"
"KALPATPOWR","EQ","01-Feb-2017","        274.30","        274.10","        290.00","        263.30","        282.50","        284.75","        281.35","     123148","            34648152.90","       2345","      73509","         59.69"
"KALPATPOWR","EQ","02-Feb-2017","        284.75","        284.50","        286.80","        281.30","        283.90","        284.80","        284.97","      67601","            19264547.45","       1597","      47047","         69.60"
"KALPATPOWR","EQ","03-Feb-2017","        284.80","        282.05","        294.70","        282.05","        287.90","        287.55","        289.08","      85867","            24822459.30","       2235","      42283","         49.24"
"KALPATPOWR","EQ","06-Feb-2017","        287.55","        294.00","        300.50","        286.00","        287.25","        286.95","        290.95","     310807","            90429937.50","       6283","      99245","         31.93"
"KALPATPOWR","EQ","07-Feb-2017","        286.95","        288.40","        295.00","        287.15","        293.30","        291.45","        291.57","     147536","            43017740.50","       2813","     100089","         67.84"
"KALPATPOWR","EQ","08-Feb-2017","        291.45","        295.55","        295.55","        286.00","        287.00","        287.55","        289.26","      46910","            13569060.75","       1622","      20603","         43.92"
"KALPATPOWR","EQ","09-Feb-2017","        287.55","        289.95","        289.95","        282.00","        283.10","        283.30","        284.89","      21312","             6071566.65","        789","      10159","         47.67"
"KALPATPOWR","EQ","10-Feb-2017","        283.30","        285.80","        285.85","        282.45","        284.00","        284.10","        284.36","      17123","             4869170.85","        925","       7100","         41.46"
"KALPATPOWR","EQ","13-Feb-2017","        284.10","        287.80","        291.65","        281.00","        290.10","        290.30","        289.22","      53627","            15509964.05","       3120","      37663","         70.23"
"KALPATPOWR","EQ","14-Feb-2017","        290.30","        289.95","        300.00","        284.15","        285.10","        289.00","        294.02","     275957","            81137099.20","       5085","     154100","         55.84"
"KALPATPOWR","EQ","15-Feb-2017","        289.00","        287.30","        290.15","        278.00","        279.00","        281.25","        286.61","     144974","            41550420.05","       4976","      85123","         58.72"
"KALPATPOWR","EQ","16-Feb-2017","        281.25","        281.25","        285.65","        280.00","        282.35","        282.20","        283.14","     100614","            28487885.60","       1825","      90920","         90.37"
"KALPATPOWR","EQ","17-Feb-2017","        282.20","        283.40","        285.05","        280.00","        281.80","        282.00","        282.45","      37631","            10628792.00","       1301","      30899","         82.11"
"KALPATPOWR","EQ","20-Feb-2017","        282.00","        282.10","        284.65","        275.55","        279.55","        279.40","        282.37","      76339","            21555718.70","       1045","      63155","         82.73"
"KALPATPOWR","EQ","21-Feb-2017","        279.40","        279.40","        286.00","        279.05","        281.00","        281.50","        283.14","      56672","            16046286.25","       1087","      31130","         54.93"
"KALPATPOWR","EQ","22-Feb-2017","        281.50","        280.10","        286.55","        280.10","        283.05","        283.20","        284.15","      52422","            14895918.75","       2787","      33301","         63.52"
"KALPATPOWR","EQ","23-Feb-2017","        283.20","        284.60","        292.00","        284.10","        287.55","        288.00","        288.95","      91100","            26322938.35","       2629","      58805","         64.55"
"KALPATPOWR","EQ","27-Feb-2017","        288.00","        290.90","        290.90","        283.00","        286.85","        287.70","        286.99","      21269","             6104055.25","       1534","      15177","         71.36"
"KALPATPOWR","EQ","28-Feb-2017","        287.70","        289.75","        289.75","        284.50","        284.70","        286.50","        286.71","      35819","            10269755.50","       1686","      25980","         72.53"
"KALPATPOWR","EQ","01-Mar-2017","        286.50","        289.90","        289.90","        281.00","        282.55","        282.05","        284.41","      59251","            16851737.50","       1966","      37473","         63.24"
"KALPATPOWR","EQ","02-Mar-2017","        282.05","        285.50","        286.70","        281.05","        284.00","        283.00","        284.40","      80706","            22952652.95","       2822","      67804","         84.01"
"KALPATPOWR","EQ","03-Mar-2017","        283.00","        283.90","        290.00","        280.05","        289.80","        289.35","        284.93","      62519","            17813541.60","       2981","      42625","         68.18"
"KALPATPOWR","EQ","06-Mar-2017","        289.35","        290.00","        293.50","        286.20","        288.50","        288.80","        288.91","      99272","            28680377.75","       2958","      58949","         59.38"
"KALPATPOWR","EQ","07-Mar-2017","        288.80","        289.85","        290.00","        283.60","        285.00","        285.20","        287.06","      55342","            15886659.95","       1646","      37721","         68.16"
"KALPATPOWR","EQ","08-Mar-2017","        285.20","        289.35","        289.35","        276.25","        279.00","        278.75","        280.69","      49518","            13899071.70","       2492","      36576","         73.86"
"KALPATPOWR","EQ","09-Mar-2017","        278.75","        281.65","        282.20","        274.95","        276.00","        276.00","        278.90","      47761","            13320479.50","       1853","      30828","         64.55"
"KALPATPOWR","EQ","10-Mar-2017","        276.00","        281.95","        282.05","        275.00","        278.95","        280.05","        279.15","      56260","            15704993.90","       2628","      34613","         61.52"
"KALPATPOWR","EQ","14-Mar-2017","        280.05","        283.15","        288.00","        281.90","        286.50","        286.80","        284.58","      39386","            11208453.95","       1126","      30290","         76.91"
"KALPATPOWR","EQ","15-Mar-2017","        286.80","        284.05","        289.85","        284.05","        288.40","        288.00","        287.01","      25978","             7455842.70","       1212","      13955","         53.72"
"KALPATPOWR","EQ","16-Mar-2017","        288.00","        290.00","        292.50","        286.55","        288.00","        287.25","        288.72","      34922","            10082832.55","       2180","      23076","         66.08"
"KALPATPOWR","EQ","17-Mar-2017","        287.25","        291.95","        297.70","        289.00","        291.60","        293.10","        293.33","      76478","            22432946.55","       1828","      31253","         40.87"
"KALPATPOWR","EQ","20-Mar-2017","        293.10","        291.60","        297.05","        288.10","        290.10","        290.95","        293.08","      73872","            21650566.60","       3500","      28473","         38.54"
"KALPATPOWR","EQ","21-Mar-2017","        290.95","        293.00","        293.00","        284.10","        285.00","        286.60","        287.59","     103903","            29881249.00","       3608","      70526","         67.88"
