"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KSL","EQ","03-Jul-2017","        420.05","        423.65","        433.00","        418.00","        433.00","        429.10","        426.59","     140885","            60100289.45","       3926","      46186","         32.78"
"KSL","EQ","04-Jul-2017","        429.10","        432.70","        436.90","        424.30","        425.00","        425.75","        430.41","      90745","            39057991.40","       2946","      37178","         40.97"
"KSL","EQ","05-Jul-2017","        425.75","        429.70","        442.30","        426.25","        437.50","        437.20","        436.75","     151723","            66264557.55","       3491","      63979","         42.17"
"KSL","EQ","06-Jul-2017","        437.20","        439.25","        454.00","        436.15","        441.55","        441.40","        445.63","     253842","           113119049.50","       9082","      86768","         34.18"
"KSL","EQ","07-Jul-2017","        441.40","        441.50","        446.85","        437.00","        441.30","        441.05","        443.02","      82499","            36548412.20","       3121","      21988","         26.65"
"KSL","EQ","10-Jul-2017","        441.05","        444.00","        447.35","        438.20","        439.45","        440.25","        441.83","      21598","             9542575.20","        462","      10899","         50.46"
"KSL","EQ","11-Jul-2017","        440.25","        441.00","        452.90","        441.00","        446.70","        446.85","        446.99","     227159","           101537612.75","       4637","     110557","         48.67"
"KSL","EQ","12-Jul-2017","        446.85","        449.30","        449.50","        428.20","        429.70","        430.30","        437.27","     278866","           121938940.15","       7293","     168544","         60.44"
"KSL","EQ","13-Jul-2017","        430.30","        434.90","        448.80","        433.45","        447.00","        446.20","        443.95","     302421","           134260529.25","      13333","     147771","         48.86"
"KSL","EQ","14-Jul-2017","        446.20","        449.80","        450.65","        442.00","        449.75","        449.05","        447.85","     117855","            52780869.55","       3107","      67305","         57.11"
"KSL","EQ","17-Jul-2017","        449.05","        450.00","        453.90","        445.15","        445.90","        446.50","        449.18","      92157","            41394848.25","       3641","      50794","         55.12"
"KSL","EQ","18-Jul-2017","        446.50","        447.95","        447.95","        436.00","        438.55","        438.85","        441.83","      96475","            42625596.50","       2481","      61561","         63.81"
"KSL","EQ","19-Jul-2017","        438.85","        439.50","        450.90","        439.50","        445.80","        446.05","        446.41","     144127","            64339927.70","       5544","      64664","         44.87"
"KSL","EQ","20-Jul-2017","        446.05","        447.90","        448.15","        441.00","        443.75","        442.05","        443.22","      48642","            21559188.85","       1446","      22367","         45.98"
"KSL","EQ","21-Jul-2017","        442.05","        444.50","        450.00","        442.00","        450.00","        448.95","        446.36","      91214","            40714532.65","       3610","      49087","         53.82"
"KSL","EQ","24-Jul-2017","        448.95","        445.50","        448.45","        435.00","        440.00","        438.10","        442.11","     184271","            81467141.45","       5130","      92774","         50.35"
"KSL","EQ","25-Jul-2017","        438.10","        441.90","        445.75","        435.00","        436.60","        437.50","        439.29","     190044","            83484781.50","       4378","      98330","         51.74"
