"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KGL","EQ","03-Apr-2017","          1.25","          1.30","          1.30","          1.25","          1.25","          1.30","          1.26","    1225401","             1544920.05","        193","     813083","         66.35"
"KGL","EQ","05-Apr-2017","          1.30","          1.25","          1.30","          1.25","          1.30","          1.25","          1.28","     347280","              443287.20","        129","     243320","         70.06"
"KGL","EQ","06-Apr-2017","          1.25","          1.30","          1.30","          1.25","          1.30","          1.30","          1.28","     841759","             1076472.35","        105","     484463","         57.55"
"KGL","EQ","07-Apr-2017","          1.30","          1.25","          1.30","          1.25","          1.30","          1.30","          1.28","     266929","              342964.50","         83","     164923","         61.79"
"KGL","EQ","10-Apr-2017","          1.30","          1.30","          1.30","          1.25","          1.30","          1.30","          1.27","     324077","              413058.10","         92","     224053","         69.14"
"KGL","EQ","11-Apr-2017","          1.30","          1.30","          1.55","          1.25","          1.45","          1.50","          1.45","    4994983","             7242368.95","        731","    2938863","         58.84"
"KGL","EQ","12-Apr-2017","          1.50","          1.50","          1.50","          1.35","          1.40","          1.45","          1.42","    1210771","             1722735.35","        211","     793688","         65.55"
"KGL","EQ","13-Apr-2017","          1.45","          1.40","          1.45","          1.35","          1.35","          1.35","          1.40","     871432","             1218039.20","        169","     658830","         75.60"
"KGL","EQ","17-Apr-2017","          1.35","          1.40","          1.45","          1.35","          1.35","          1.35","          1.35","     734323","              994662.55","         83","     683949","         93.14"
"KGL","EQ","18-Apr-2017","          1.35","          1.35","          1.40","          1.30","          1.40","          1.35","          1.35","    1784824","             2406195.65","        220","     807388","         45.24"
"KGL","EQ","19-Apr-2017","          1.35","          1.40","          1.40","          1.30","          1.35","          1.40","          1.38","     428996","              591339.30","         93","     302665","         70.55"
"KGL","EQ","20-Apr-2017","          1.40","          1.40","          1.45","          1.30","          1.40","          1.35","          1.36","    1419461","             1935609.35","        206","     700498","         49.35"
"KGL","EQ","21-Apr-2017","          1.35","          1.35","          1.40","          1.30","          1.30","          1.35","          1.36","     565368","              766377.65","        239","     488741","         86.45"
"KGL","EQ","24-Apr-2017","          1.35","          1.35","          1.40","          1.35","          1.40","          1.35","          1.39","    1841492","             2553207.20","        119","     987949","         53.65"
"KGL","EQ","25-Apr-2017","          1.35","          1.35","          1.40","          1.35","          1.40","          1.40","          1.38","    1340551","             1852750.10","        125","     670787","         50.04"
"KGL","EQ","26-Apr-2017","          1.40","          1.35","          1.40","          1.35","          1.40","          1.35","          1.37","     266963","              366171.80","        101","     115513","         43.27"
"KGL","EQ","27-Apr-2017","          1.35","          1.35","          1.40","          1.35","          1.35","          1.40","          1.36","     627682","              851113.60","         72","     551774","         87.91"
"KGL","EQ","28-Apr-2017","          1.40","          1.40","          1.40","          1.35","          1.40","          1.35","          1.36","     359959","              489216.65","         89","     287015","         79.74"
"KGL","EQ","02-May-2017","          1.35","          1.35","          1.40","          1.35","          1.35","          1.35","          1.36","     504395","              683565.35","        108","     451739","         89.56"
"KGL","EQ","03-May-2017","          1.35","          1.35","          1.40","          1.30","          1.35","          1.30","          1.35","     789152","             1065063.50","         81","     322579","         40.88"
"KGL","EQ","04-May-2017","          1.30","          1.40","          1.40","          1.30","          1.35","          1.35","          1.35","     756515","             1022227.40","        134","     531735","         70.29"
"KGL","EQ","05-May-2017","          1.35","          1.35","          1.40","          1.30","          1.35","          1.35","          1.34","     407309","              543824.10","         73","     406244","         99.74"
"KGL","EQ","08-May-2017","          1.35","          1.35","          1.40","          1.30","          1.30","          1.30","          1.35","     404919","              545021.65","        122","     236663","         58.45"
"KGL","EQ","09-May-2017","          1.30","          1.35","          1.35","          1.30","          1.35","          1.30","          1.31","     275430","              360698.75","         75","     222274","         80.70"
"KGL","EQ","10-May-2017","          1.30","          1.30","          1.35","          1.30","          1.35","          1.35","          1.32","     320811","              422733.50","        104","     212807","         66.33"
"KGL","EQ","11-May-2017","          1.35","          1.30","          1.35","          1.30","          1.35","          1.30","          1.33","     245321","              327474.75","         92","     171143","         69.76"
"KGL","EQ","12-May-2017","          1.30","          1.35","          1.35","          1.30","          1.30","          1.30","          1.33","     155143","              205700.70","         72","      79103","         50.99"
"KGL","EQ","15-May-2017","          1.30","          1.35","          1.35","          1.30","          1.30","          1.30","          1.31","     393669","              514180.65","         77","     345450","         87.75"
"KGL","EQ","16-May-2017","          1.30","          1.35","          1.35","          1.25","          1.30","          1.30","          1.30","    1429375","             1859784.25","        199","     803925","         56.24"
"KGL","EQ","17-May-2017","          1.30","          1.25","          1.35","          1.25","          1.30","          1.25","          1.28","     298987","              383938.05","         87","     268108","         89.67"
"KGL","EQ","18-May-2017","          1.25","          1.25","          1.30","          1.25","          1.25","          1.25","          1.26","     438972","              551614.10","         61","     435026","         99.10"
"KGL","EQ","19-May-2017","          1.25","          1.30","          1.30","          1.25","          1.30","          1.30","          1.27","     145178","              184339.75","         67","      87766","         60.45"
"KGL","EQ","22-May-2017","          1.30","          1.25","          1.30","          1.25","          1.25","          1.25","          1.25","     260570","              326869.55","         84","     219429","         84.21"
"KGL","EQ","23-May-2017","          1.25","          1.25","          1.30","          1.20","          1.20","          1.25","          1.25","    1450969","             1812879.95","        188","     518841","         35.76"
"KGL","EQ","24-May-2017","          1.25","          1.25","          1.30","          1.10","          1.15","          1.15","          1.18","    1725065","             2038764.80","        267","    1396036","         80.93"
"KGL","EQ","25-May-2017","          1.15","          1.20","          1.20","          1.10","          1.10","          1.15","          1.14","    1394271","             1594260.85","        260","    1037084","         74.38"
"KGL","EQ","26-May-2017","          1.15","          1.20","          1.30","          1.10","          1.25","          1.20","          1.20","    3390562","             4058993.85","        340","    2222992","         65.56"
"KGL","EQ","29-May-2017","          1.20","          1.30","          1.30","          1.10","          1.15","          1.15","          1.16","     782355","              904313.50","        153","     514341","         65.74"
"KGL","EQ","30-May-2017","          1.15","          1.15","          1.25","          1.10","          1.20","          1.20","          1.19","    1715447","             2033459.25","        165","    1191954","         69.48"
"KGL","EQ","31-May-2017","          1.20","          1.20","          1.20","          1.15","          1.15","          1.20","          1.17","     199113","              233696.15","         75","     163669","         82.20"
