"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTAKBKETF","EQ","02-Jan-2017","        185.00","        184.80","        184.80","        181.75","        182.56","        182.92","        183.41","      27139","             4977435.01","         49","      24609","         90.68"
"KOTAKBKETF","EQ","03-Jan-2017","        182.92","        181.92","        184.75","        181.41","        183.91","        183.57","        183.50","     178052","            32672127.45","        122","     102936","         57.81"
"KOTAKBKETF","EQ","04-Jan-2017","        183.57","        183.57","        184.08","        182.17","        182.17","        182.19","        183.79","     165766","            30466104.64","        126","     164431","         99.19"
"KOTAKBKETF","EQ","05-Jan-2017","        182.19","        183.94","        186.90","        183.30","        186.00","        184.45","        183.75","     212213","            38994270.50","         99","     182027","         85.78"
"KOTAKBKETF","EQ","06-Jan-2017","        184.45","        185.73","        186.56","        185.55","        185.86","        185.85","        185.73","        173","               32130.68","         12","        116","         67.05"
"KOTAKBKETF","EQ","09-Jan-2017","        185.85","        185.85","        186.63","        185.85","        186.22","        186.22","        186.26","        865","              161117.60","         24","        800","         92.49"
"KOTAKBKETF","EQ","10-Jan-2017","        186.22","        187.01","        187.01","        185.76","        186.20","        186.20","        186.25","      29291","             5455500.84","         36","      27275","         93.12"
"KOTAKBKETF","EQ","11-Jan-2017","        186.20","        188.00","        191.15","        188.00","        190.67","        190.67","        189.79","       2094","              397413.51","         48","       1856","         88.63"
"KOTAKBKETF","EQ","12-Jan-2017","        190.67","        191.97","        192.36","        190.56","        191.81","        191.45","        191.67","        520","               99670.32","         24","        231","         44.42"
"KOTAKBKETF","EQ","13-Jan-2017","        191.45","        191.66","        192.49","        190.58","        192.49","        192.05","        191.49","        808","              154720.81","         14","        446","         55.20"
"KOTAKBKETF","EQ","16-Jan-2017","        192.05","        192.00","        194.15","        192.00","        194.15","        194.15","        192.66","       1951","              375877.74","         37","        957","         49.05"
"KOTAKBKETF","EQ","17-Jan-2017","        194.15","        194.79","        194.80","        193.15","        193.90","        194.01","        193.90","       2804","              543703.17","         20","       2704","         96.43"
"KOTAKBKETF","EQ","18-Jan-2017","        194.01","        194.49","        196.31","        194.13","        194.28","        194.33","        195.39","      11160","             2180562.39","         19","       8211","         73.58"
"KOTAKBKETF","EQ","19-Jan-2017","        194.33","        194.01","        194.80","        193.27","        193.77","        193.77","        193.55","       6155","             1191295.75","         20","       3079","         50.02"
"KOTAKBKETF","EQ","20-Jan-2017","        193.77","        192.80","        193.70","        191.09","        192.00","        192.00","        193.10","    1806330","           348800638.41","        281","    1800033","         99.65"
"KOTAKBKETF","EQ","23-Jan-2017","        192.00","        191.85","        192.50","        190.71","        192.30","        192.13","        191.92","    4932548","           946678569.74","        615","    4797388","         97.26"
"KOTAKBKETF","EQ","24-Jan-2017","        192.13","        192.90","        193.00","        192.50","        192.55","        192.55","        192.65","       3151","              607050.85","         20","       1530","         48.56"
"KOTAKBKETF","EQ","25-Jan-2017","        192.55","        195.00","        197.50","        194.50","        197.46","        197.32","        195.92","    5119518","          1003030104.97","        855","    5100948","         99.64"
"KOTAKBKETF","EQ","27-Jan-2017","        197.32","        198.99","        200.73","        198.90","        200.20","        200.20","        199.58","       3975","              793312.48","         32","       2241","         56.38"
"KOTAKBKETF","EQ","30-Jan-2017","        200.20","        221.20","        221.20","        198.70","        198.70","        199.02","        199.39","      55531","            11072578.31","         26","      55284","         99.56"
"KOTAKBKETF","EQ","31-Jan-2017","        199.02","        198.70","        199.54","        196.86","        198.87","        197.64","        198.38","      13896","             2756635.35","         52","       4150","         29.86"
"KOTAKBKETF","EQ","01-Feb-2017","        197.64","        199.00","        204.00","        198.30","        204.00","        203.60","        202.62","     169358","            34315946.56","        127","     123817","         73.11"
"KOTAKBKETF","EQ","02-Feb-2017","        203.60","        203.88","        204.55","        203.00","        203.95","        203.95","        203.72","      18539","             3776836.60","         38","       6229","         33.60"
"KOTAKBKETF","EQ","03-Feb-2017","        203.95","        203.99","        204.86","        203.54","        204.58","        204.76","        204.00","      23926","             4880831.16","         43","      21700","         90.70"
"KOTAKBKETF","EQ","06-Feb-2017","        204.76","        205.46","        207.73","        205.46","        207.52","        207.43","        207.43","     308574","            64008821.93","        195","     297761","         96.50"
"KOTAKBKETF","EQ","07-Feb-2017","        207.43","        207.30","        207.30","        205.77","        206.00","        206.00","        206.33","      64972","            13405742.73","         64","      62441","         96.10"
"KOTAKBKETF","EQ","08-Feb-2017","        206.00","        206.50","        206.50","        204.31","        206.50","        206.24","        206.00","       2985","              614918.46","         34","       1644","         55.08"
"KOTAKBKETF","EQ","09-Feb-2017","        206.24","        206.92","        207.10","        203.03","        204.87","        204.86","        203.87","      30403","             6198316.27","         31","        753","          2.48"
"KOTAKBKETF","EQ","10-Feb-2017","        204.86","        205.36","        206.09","        204.66","        204.87","        204.87","        205.15","       6950","             1425781.39","         29","        683","          9.83"
"KOTAKBKETF","EQ","13-Feb-2017","        204.87","        205.40","        205.50","        204.00","        205.29","        205.29","        204.65","      30660","             6274442.32","         36","       9680","         31.57"
"KOTAKBKETF","EQ","14-Feb-2017","        205.29","        205.30","        205.54","        204.30","        205.03","        205.12","        205.09","       4867","              998159.01","         35","       1760","         36.16"
"KOTAKBKETF","EQ","15-Feb-2017","        205.12","        205.85","        206.28","        204.00","        204.59","        204.59","        204.51","      14087","             2880990.20","         35","       5020","         35.64"
"KOTAKBKETF","EQ","16-Feb-2017","        204.59","        204.60","        205.74","        204.23","        205.00","        205.20","        205.19","      51606","            10589201.45","         14","      51275","         99.36"
"KOTAKBKETF","EQ","17-Feb-2017","        205.20","        209.30","        210.37","        207.30","        208.00","        208.54","        209.62","      64370","            13493300.57","         70","      56012","         87.02"
"KOTAKBKETF","EQ","20-Feb-2017","        208.54","        207.52","        209.20","        207.10","        209.20","        208.99","        208.11","      36396","             7574443.43","         62","      25686","         70.57"
"KOTAKBKETF","EQ","21-Feb-2017","        208.99","        209.00","        211.00","        209.00","        211.00","        211.00","        209.05","      23348","             4880804.72","         16","      22765","         97.50"
"KOTAKBKETF","EQ","22-Feb-2017","        211.00","        211.98","        211.98","        210.60","        210.62","        210.61","        211.74","      10163","             2151863.29","         41","       8516","         83.79"
"KOTAKBKETF","EQ","23-Feb-2017","        210.61","        211.69","        212.40","        210.60","        210.60","        210.60","        212.08","      18475","             3918092.50","         74","      17965","         97.24"
"KOTAKBKETF","EQ","27-Feb-2017","        210.60","        211.05","        211.42","        208.65","        208.65","        208.81","        209.76","     108803","            22822841.96","         92","      80635","         74.11"
"KOTAKBKETF","EQ","28-Feb-2017","        208.81","        209.49","        209.60","        208.55","        208.55","        208.55","        209.13","     142249","            29749119.94","        101","      84715","         59.55"
"KOTAKBKETF","EQ","01-Mar-2017","        208.55","        209.46","        211.02","        209.46","        210.67","        210.61","        210.59","       4703","              990396.56","         24","       3025","         64.32"
"KOTAKBKETF","EQ","02-Mar-2017","        210.61","        211.30","        211.70","        207.84","        208.77","        208.78","        209.36","       2192","              458909.30","         24","       2059","         93.93"
"KOTAKBKETF","EQ","03-Mar-2017","        208.78","        208.10","        208.10","        207.20","        208.00","        208.00","        207.92","       4809","              999874.49","         17","       3804","         79.10"
"KOTAKBKETF","EQ","06-Mar-2017","        208.00","        209.60","        209.95","        209.60","        209.90","        209.90","        209.62","       1295","              271463.85","         10","       1200","         92.66"
"KOTAKBKETF","EQ","07-Mar-2017","        209.90","        210.00","        210.00","        208.57","        209.54","        209.35","        209.49","        729","              152718.95","         14","        702","         96.30"
"KOTAKBKETF","EQ","08-Mar-2017","        209.35","        210.12","        210.12","        207.93","        209.36","        209.36","        209.20","       8089","             1692181.45","         17","        350","          4.33"
"KOTAKBKETF","EQ","09-Mar-2017","        209.36","        209.89","        210.41","        209.55","        210.40","        210.40","        210.39","       1157","              243417.70","         14","         97","          8.38"
"KOTAKBKETF","EQ","10-Mar-2017","        210.40","        210.51","        211.75","        209.50","        211.34","        211.02","        210.89","    2230132","           470304677.05","       1139","    2030430","         91.05"
"KOTAKBKETF","EQ","14-Mar-2017","        211.02","        215.00","        215.00","        212.56","        214.00","        213.99","        213.61","       9384","             2004480.45","         43","       8115","         86.48"
"KOTAKBKETF","EQ","15-Mar-2017","        213.99","        213.65","        214.99","        213.65","        214.00","        214.00","        214.51","      23906","             5127966.81","        170","      23710","         99.18"
"KOTAKBKETF","EQ","16-Mar-2017","        214.00","        215.22","        215.49","        214.41","        215.10","        215.05","        214.79","     310215","            66630844.30","        767","     296452","         95.56"
"KOTAKBKETF","EQ","17-Mar-2017","        215.05","        214.90","        215.18","        213.25","        214.00","        214.12","        213.46","     439100","            93729502.21","        148","     335781","         76.47"
"KOTAKBKETF","EQ","20-Mar-2017","        214.12","        213.80","        214.64","        213.09","        213.50","        213.62","        213.53","     352179","            75201113.03","        777","     325116","         92.32"
