"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTAKPSUBK","EQ","02-Jan-2017","        305.35","        308.00","        308.00","        297.01","        300.00","        300.00","        300.78","       1078","              324235.46","         86","        963","         89.33"
"KOTAKPSUBK","EQ","03-Jan-2017","        300.00","        298.00","        303.00","        297.00","        300.04","        300.14","        300.87","       1665","              500946.51","         94","        987","         59.28"
"KOTAKPSUBK","EQ","04-Jan-2017","        300.14","        302.01","        303.00","        299.05","        299.80","        299.26","        299.53","       7240","             2168626.16","         57","       5361","         74.05"
"KOTAKPSUBK","EQ","05-Jan-2017","        299.26","        302.00","        308.00","        300.00","        301.95","        301.30","        302.31","       1735","              524515.31","         82","       1178","         67.90"
"KOTAKPSUBK","EQ","06-Jan-2017","        301.30","        303.00","        306.75","        303.00","        304.00","        304.00","        304.53","       1460","              444606.91","         37","       1042","         71.37"
"KOTAKPSUBK","EQ","09-Jan-2017","        304.00","        304.99","        305.99","        303.00","        303.00","        303.40","        304.94","       1550","              472649.63","         45","       1070","         69.03"
"KOTAKPSUBK","EQ","10-Jan-2017","        303.40","        304.99","        306.50","        301.50","        306.00","        305.63","        304.09","       8952","             2722252.92","         55","       8775","         98.02"
"KOTAKPSUBK","EQ","11-Jan-2017","        305.63","        306.00","        313.99","        306.00","        311.00","        312.31","        310.79","       4549","             1413781.40","        113","       2655","         58.36"
"KOTAKPSUBK","EQ","12-Jan-2017","        312.31","        314.00","        317.99","        311.00","        313.60","        312.24","        312.88","       4349","             1360720.50","         59","       2113","         48.59"
"KOTAKPSUBK","EQ","13-Jan-2017","        312.24","        313.00","        314.00","        309.00","        311.15","        311.20","        311.13","       4032","             1254466.08","         89","       2638","         65.43"
"KOTAKPSUBK","EQ","16-Jan-2017","        311.20","        312.90","        319.99","        312.90","        319.01","        317.69","        315.08","       4987","             1571296.39","         83","       4671","         93.66"
"KOTAKPSUBK","EQ","17-Jan-2017","        317.69","        317.69","        321.00","        316.00","        318.21","        317.59","        317.85","       3081","              979302.23","         83","       2106","         68.35"
"KOTAKPSUBK","EQ","18-Jan-2017","        317.59","        319.99","        320.00","        318.01","        319.90","        319.90","        319.03","       5408","             1725339.73","         43","       4979","         92.07"
"KOTAKPSUBK","EQ","19-Jan-2017","        319.90","        318.99","        324.00","        318.99","        322.00","        322.52","        320.90","       1119","              359081.81","         55","       1097","         98.03"
"KOTAKPSUBK","EQ","20-Jan-2017","        322.52","        321.00","        324.95","        309.21","        312.50","        312.91","        315.63","       2549","              804533.36","        138","       2110","         82.78"
"KOTAKPSUBK","EQ","23-Jan-2017","        312.91","        316.00","        320.00","        310.00","        316.00","        316.00","        313.86","      12488","             3919492.83","        103","      11182","         89.54"
"KOTAKPSUBK","EQ","24-Jan-2017","        316.00","        317.00","        318.00","        316.05","        317.00","        316.68","        316.91","        434","              137537.39","         35","        154","         35.48"
"KOTAKPSUBK","EQ","25-Jan-2017","        316.68","        317.02","        323.00","        316.15","        323.00","        322.42","        319.46","       1038","              331603.50","         63","        643","         61.95"
"KOTAKPSUBK","EQ","27-Jan-2017","        322.42","        323.00","        332.00","        321.02","        331.75","        331.75","        327.80","       2871","              941125.79","        118","       1669","         58.13"
"KOTAKPSUBK","EQ","30-Jan-2017","        331.75","        331.75","        333.00","        329.00","        330.00","        330.00","        330.42","       2534","              837294.28","         50","       2236","         88.24"
"KOTAKPSUBK","EQ","31-Jan-2017","        330.00","        330.00","        330.00","        319.51","        322.00","        323.85","        323.15","       3115","             1006625.06","         83","       2426","         77.88"
"KOTAKPSUBK","EQ","01-Feb-2017","        323.85","        328.99","        338.00","        327.00","        338.00","        336.01","        332.99","       4323","             1439501.48","        222","       1807","         41.80"
