"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTHARIPRO","EQ","03-Apr-2017","        195.05","        196.10","        200.00","        196.00","        199.00","        199.00","        198.60","       5147","             1022197.65","        203","       3284","         63.80"
"KOTHARIPRO","EQ","05-Apr-2017","        199.00","        200.25","        204.80","        195.00","        202.00","        201.60","        200.40","      13114","             2628001.00","        498","       6985","         53.26"
"KOTHARIPRO","EQ","06-Apr-2017","        201.60","        201.25","        203.80","        198.25","        201.90","        201.05","        200.88","       6328","             1271159.40","        302","       2652","         41.91"
"KOTHARIPRO","EQ","07-Apr-2017","        201.05","        202.00","        203.70","        199.90","        202.40","        200.30","        201.77","       9286","             1873613.95","        317","       6054","         65.19"
"KOTHARIPRO","EQ","10-Apr-2017","        200.30","        205.25","        206.00","        201.55","        202.00","        202.25","        203.50","      13951","             2839063.65","        470","       7698","         55.18"
"KOTHARIPRO","EQ","11-Apr-2017","        202.25","        203.90","        210.00","        200.25","        205.80","        206.25","        206.62","      19649","             4059845.20","        775","      10239","         52.11"
"KOTHARIPRO","EQ","12-Apr-2017","        206.25","        208.20","        210.00","        199.20","        205.00","        203.35","        205.35","      28863","             5926960.50","       1139","      17770","         61.57"
"KOTHARIPRO","EQ","13-Apr-2017","        203.35","        207.35","        208.50","        202.40","        205.90","        204.25","        205.22","       9652","             1980784.45","        477","       5177","         53.64"
"KOTHARIPRO","EQ","17-Apr-2017","        204.25","        204.00","        205.50","        200.00","        200.75","        201.90","        201.14","      13819","             2779544.10","        364","       9306","         67.34"
"KOTHARIPRO","EQ","18-Apr-2017","        201.90","        205.80","        205.90","        198.15","        200.00","        199.35","        201.14","       7228","             1453841.80","        378","       4642","         64.22"
"KOTHARIPRO","EQ","19-Apr-2017","        199.35","        204.65","        204.65","        197.95","        200.00","        200.00","        199.70","       7328","             1463391.00","        443","       4469","         60.99"
"KOTHARIPRO","EQ","20-Apr-2017","        200.00","        198.00","        204.40","        196.30","        200.10","        200.70","        201.68","       4812","              970494.05","        235","       2955","         61.41"
"KOTHARIPRO","EQ","21-Apr-2017","        200.70","        205.90","        205.90","        197.10","        202.00","        202.20","        201.89","       6051","             1221623.90","        218","       4788","         79.13"
"KOTHARIPRO","EQ","24-Apr-2017","        202.20","        198.40","        202.80","        198.40","        200.55","        201.35","        201.05","       7560","             1519952.90","        210","       4503","         59.56"
"KOTHARIPRO","EQ","25-Apr-2017","        201.35","        203.00","        203.00","        198.30","        198.30","        200.55","        200.63","       6923","             1388972.40","        275","       3882","         56.07"
"KOTHARIPRO","EQ","26-Apr-2017","        200.55","        203.00","        203.65","        195.60","        197.70","        197.10","        199.02","      11526","             2293961.00","        326","       7779","         67.49"
"KOTHARIPRO","EQ","27-Apr-2017","        197.10","        198.05","        201.90","        197.00","        198.75","        197.35","        198.31","       4649","              921941.05","        142","       3787","         81.46"
"KOTHARIPRO","EQ","28-Apr-2017","        197.35","        197.25","        202.75","        194.65","        197.00","        198.85","        199.37","       6645","             1324781.80","        341","       3803","         57.23"
"KOTHARIPRO","EQ","02-May-2017","        198.85","        197.00","        200.00","        196.20","        197.55","        197.90","        198.41","       4588","              910318.70","        163","       2296","         50.04"
"KOTHARIPRO","EQ","03-May-2017","        197.90","        199.95","        203.05","        195.00","        197.10","        197.55","        197.02","       7902","             1556861.10","        226","       4326","         54.75"
"KOTHARIPRO","EQ","04-May-2017","        197.55","        198.00","        202.05","        197.05","        201.00","        199.50","        199.22","       5892","             1173823.80","        203","       3467","         58.84"
"KOTHARIPRO","EQ","05-May-2017","        199.50","        198.55","        202.00","        196.50","        197.90","        197.55","        198.03","       5487","             1086592.20","        305","       2894","         52.74"
"KOTHARIPRO","EQ","08-May-2017","        197.55","        201.80","        201.80","        193.25","        193.25","        194.70","        195.88","       6441","             1261675.85","        297","       4449","         69.07"
"KOTHARIPRO","EQ","09-May-2017","        194.70","        198.30","        198.30","        194.45","        194.80","        195.35","        195.26","       5739","             1120587.10","        174","       3446","         60.05"
"KOTHARIPRO","EQ","10-May-2017","        195.35","        195.05","        197.90","        195.00","        195.75","        195.30","        195.85","       5163","             1011181.75","        194","       2689","         52.08"
"KOTHARIPRO","EQ","11-May-2017","        195.30","        195.35","        198.05","        195.30","        197.50","        197.00","        196.86","       3934","              774457.50","        114","       2998","         76.21"
"KOTHARIPRO","EQ","12-May-2017","        197.00","        196.50","        197.05","        195.00","        196.65","        196.25","        196.29","       5531","             1085687.55","        197","       4026","         72.79"
"KOTHARIPRO","EQ","15-May-2017","        196.25","        196.25","        232.00","        195.35","        222.00","        225.20","        222.15","     362598","            80550236.65","       9463","      75533","         20.83"
"KOTHARIPRO","EQ","16-May-2017","        225.20","        223.95","        223.95","        215.10","        216.00","        216.65","        218.93","      72106","            15786103.80","       2359","      19362","         26.85"
"KOTHARIPRO","EQ","17-May-2017","        216.65","        218.60","        218.60","        210.50","        211.10","        211.55","        212.98","      41309","             8798131.75","       1056","      15147","         36.67"
"KOTHARIPRO","EQ","18-May-2017","        211.55","        210.00","        211.00","        201.80","        202.05","        203.05","        205.93","      23598","             4859425.65","        619","      13517","         57.28"
"KOTHARIPRO","EQ","19-May-2017","        203.05","        202.05","        209.65","        200.95","        205.15","        204.85","        205.39","      21690","             4454921.25","        844","      10141","         46.75"
"KOTHARIPRO","EQ","22-May-2017","        204.85","        202.85","        209.00","        202.80","        205.50","        204.50","        204.86","       6474","             1326272.15","        356","       3800","         58.70"
"KOTHARIPRO","EQ","23-May-2017","        204.50","        203.00","        203.80","        198.05","        202.00","        200.80","        200.27","      14626","             2929125.30","        703","       8372","         57.24"
"KOTHARIPRO","EQ","24-May-2017","        200.80","        205.00","        210.00","        195.00","        197.00","        196.35","        199.77","      19115","             3818551.50","        686","       6691","         35.00"
"KOTHARIPRO","EQ","25-May-2017","        196.35","        198.40","        204.25","        195.00","        201.95","        199.45","        199.05","      11510","             2291039.20","        760","       6447","         56.01"
"KOTHARIPRO","EQ","26-May-2017","        199.45","        200.70","        204.00","        199.05","        200.00","        200.85","        200.57","      16153","             3239736.90","        358","       9686","         59.96"
"KOTHARIPRO","EQ","29-May-2017","        200.85","        202.90","        205.00","        197.30","        198.95","        198.50","        200.15","       8727","             1746700.95","        656","       4094","         46.91"
"KOTHARIPRO","EQ","30-May-2017","        198.50","        199.40","        202.55","        196.55","        196.55","        197.70","        198.49","       3648","              724090.80","        161","       2052","         56.25"
"KOTHARIPRO","EQ","31-May-2017","        197.70","        197.30","        208.90","        196.00","        203.00","        202.55","        203.26","      10351","             2103959.20","        558","       5325","         51.44"
"KOTHARIPRO","EQ","01-Jun-2017","        202.55","        203.00","        205.00","        200.05","        200.05","        200.60","        202.53","       5523","             1118586.45","        280","       2776","         50.26"
"KOTHARIPRO","EQ","02-Jun-2017","        200.60","        201.00","        201.95","        197.40","        198.00","        199.40","        199.14","       8089","             1610871.50","        214","       3990","         49.33"
"KOTHARIPRO","EQ","05-Jun-2017","        199.40","        198.00","        201.00","        197.00","        198.30","        197.85","        198.79","       4081","              811281.75","        219","       3015","         73.88"
"KOTHARIPRO","EQ","06-Jun-2017","        197.85","        197.10","        199.00","        196.00","        196.70","        196.20","        196.99","       6527","             1285722.45","        223","       4093","         62.71"
"KOTHARIPRO","EQ","07-Jun-2017","        196.20","        198.85","        199.85","        194.10","        195.25","        195.30","        196.27","       5115","             1003916.05","        245","       2744","         53.65"
"KOTHARIPRO","EQ","08-Jun-2017","        195.30","        195.60","        197.35","        192.35","        193.15","        194.20","        194.26","       6531","             1268743.50","        307","       4276","         65.47"
"KOTHARIPRO","EQ","09-Jun-2017","        194.20","        194.00","        196.50","        193.30","        194.00","        194.15","        194.14","       4600","              893051.40","        199","       2645","         57.50"
"KOTHARIPRO","EQ","12-Jun-2017","        194.15","        195.15","        195.20","        192.00","        193.45","        193.05","        193.09","       2496","              481954.40","        180","       1415","         56.69"
"KOTHARIPRO","EQ","13-Jun-2017","        193.05","        194.00","        196.40","        192.05","        192.25","        192.80","        193.28","       6883","             1330317.00","        264","       4478","         65.06"
"KOTHARIPRO","EQ","14-Jun-2017","        192.80","        195.55","        195.55","        192.05","        192.35","        192.45","        192.64","       2159","              415902.40","        107","       1034","         47.89"
