"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KREBSBIO","BE","05-Jan-2017","         79.00","         77.60","         77.60","         77.60","         77.60","         77.60","         77.60","         25","                1940.00","          1","-","-"
"KREBSBIO","BE","06-Jan-2017","         77.60","         80.00","         80.00","         80.00","         80.00","         80.00","         80.00","         50","                4000.00","          1","-","-"
"KREBSBIO","BE","09-Jan-2017","         80.00","         84.00","         84.00","         84.00","         84.00","         84.00","         84.00","        300","               25200.00","          1","-","-"
"KREBSBIO","BE","10-Jan-2017","         84.00","         84.00","         84.00","         84.00","         84.00","         84.00","         84.00","        140","               11760.00","          2","-","-"
"KREBSBIO","BE","11-Jan-2017","         84.00","         84.00","         88.20","         80.00","         82.00","         82.00","         84.21","       2250","              189479.90","         15","-","-"
"KREBSBIO","BE","12-Jan-2017","         82.00","         82.00","         82.50","         82.00","         82.50","         82.50","         82.45","       1109","               91442.50","         14","-","-"
"KREBSBIO","BE","13-Jan-2017","         82.50","         83.50","         83.50","         83.50","         83.50","         83.50","         83.50","        200","               16700.00","          1","-","-"
"KREBSBIO","BE","17-Jan-2017","         83.50","         83.00","         83.00","         83.00","         83.00","         83.00","         83.00","        993","               82419.00","          7","-","-"
"KREBSBIO","BE","19-Jan-2017","         83.00","         80.50","         82.50","         80.50","         82.50","         82.50","         80.51","        502","               40415.00","          3","-","-"
"KREBSBIO","BE","20-Jan-2017","         82.50","         82.50","         82.50","         80.00","         80.00","         80.00","         80.05","        490","               39225.00","          4","-","-"
"KREBSBIO","BE","23-Jan-2017","         80.00","         78.00","         84.00","         78.00","         81.10","         81.10","         81.68","        932","               76122.70","          4","-","-"
"KREBSBIO","BE","24-Jan-2017","         81.10","         82.00","         85.15","         82.00","         85.15","         85.15","         84.65","       2000","              169290.00","         12","-","-"
"KREBSBIO","BE","27-Jan-2017","         85.15","         83.00","         83.00","         82.25","         82.25","         82.25","         82.28","        818","               67304.00","          4","-","-"
"KREBSBIO","BE","30-Jan-2017","         82.25","         82.05","         82.05","         82.05","         82.05","         82.05","         82.05","          8","                 656.40","          1","-","-"
"KREBSBIO","BE","31-Jan-2017","         82.05","         82.10","         82.10","         82.00","         82.00","         82.00","         82.03","        350","               28710.00","          2","-","-"
"KREBSBIO","BE","01-Feb-2017","         82.00","         82.00","         82.00","         82.00","         82.00","         82.00","         82.00","        100","                8200.00","          2","-","-"
"KREBSBIO","BE","02-Feb-2017","         82.00","         80.00","         80.00","         80.00","         80.00","         80.00","         80.00","        300","               24000.00","          1","-","-"
"KREBSBIO","BE","08-Feb-2017","         80.00","         77.10","         79.50","         77.10","         79.50","         79.50","         77.79","         35","                2722.50","          2","-","-"
"KREBSBIO","BE","09-Feb-2017","         79.50","         80.50","         81.10","         80.50","         81.10","         81.10","         80.57","         70","                5640.20","          3","-","-"
"KREBSBIO","BE","10-Feb-2017","         81.10","         81.30","         85.00","         81.30","         85.00","         85.00","         84.96","        101","                8581.30","          2","-","-"
"KREBSBIO","BE","13-Feb-2017","         85.00","         81.00","         83.00","         81.00","         83.00","         83.00","         81.18","        220","               17860.00","          2","-","-"
"KREBSBIO","BE","14-Feb-2017","         83.00","         87.00","         87.00","         87.00","         87.00","         87.00","         87.00","        250","               21750.00","          1","-","-"
"KREBSBIO","BE","16-Feb-2017","         87.00","         82.65","         82.65","         82.65","         82.65","         82.65","         82.65","         11","                 909.15","          2","-","-"
"KREBSBIO","BE","17-Feb-2017","         82.65","         81.25","         84.00","         81.00","         81.00","         81.05","         81.16","        145","               11768.00","          3","-","-"
"KREBSBIO","BE","20-Feb-2017","         81.05","         80.05","         85.00","         80.05","         85.00","         85.00","         80.10","        101","                8090.00","          2","-","-"
"KREBSBIO","BE","22-Feb-2017","         85.00","         84.50","         84.50","         84.45","         84.45","         84.45","         84.47","        318","               26860.10","          2","-","-"
"KREBSBIO","BE","23-Feb-2017","         84.45","         88.65","         88.65","         84.95","         85.00","         85.00","         85.26","        636","               54223.75","          6","-","-"
"KREBSBIO","BE","01-Mar-2017","         85.00","         81.00","         84.50","         81.00","         84.50","         84.50","         82.75","          2","                 165.50","          2","-","-"
"KREBSBIO","BE","02-Mar-2017","         84.50","         80.30","         80.30","         80.30","         80.30","         80.30","         80.30","        300","               24090.00","          1","-","-"
"KREBSBIO","BE","03-Mar-2017","         80.30","         83.80","         83.80","         83.80","         83.80","         83.80","         83.80","         10","                 838.00","          1","-","-"
"KREBSBIO","BE","07-Mar-2017","         83.80","         84.00","         84.00","         84.00","         84.00","         84.00","         84.00","         35","                2940.00","          1","-","-"
"KREBSBIO","BE","15-Mar-2017","         84.00","         79.80","         79.80","         79.80","         79.80","         79.80","         79.80","        527","               42054.60","          8","-","-"
"KREBSBIO","BE","16-Mar-2017","         79.80","         75.85","         82.00","         75.85","         80.95","         80.95","         76.87","        676","               51963.50","          8","-","-"
"KREBSBIO","BE","17-Mar-2017","         80.95","         80.00","         80.00","         76.95","         76.95","         76.95","         77.54","       1417","              109871.65","         11","-","-"
"KREBSBIO","BE","20-Mar-2017","         76.95","         80.00","         80.20","         74.00","         80.20","         80.20","         76.23","       2464","              187829.65","         14","-","-"
"KREBSBIO","BE","21-Mar-2017","         80.20","         77.00","         80.00","         76.95","         80.00","         77.00","         77.00","       2503","              192724.00","         12","-","-"
"KREBSBIO","BE","22-Mar-2017","         77.00","         73.50","         80.60","         73.50","         80.60","         80.55","         77.90","       1226","               95507.10","         10","-","-"
"KREBSBIO","BE","23-Mar-2017","         80.55","         83.00","         83.00","         82.00","         82.00","         82.00","         82.17","         12","                 986.00","          2","-","-"
"KREBSBIO","BE","27-Mar-2017","         82.00","         79.50","         79.50","         79.50","         79.50","         79.50","         79.50","         14","                1113.00","          1","-","-"
"KREBSBIO","BE","28-Mar-2017","         79.50","         76.10","         83.45","         76.10","         83.45","         83.45","         80.38","        462","               37135.95","          7","-","-"
"KREBSBIO","BE","29-Mar-2017","         83.45","         87.60","         87.60","         81.70","         81.70","         81.70","         87.20","        320","               27904.00","          5","-","-"
"KREBSBIO","BE","30-Mar-2017","         81.70","         85.75","         85.75","         85.75","         85.75","         85.75","         85.75","        270","               23152.50","          3","-","-"
"KREBSBIO","BE","31-Mar-2017","         85.75","         90.00","         90.00","         90.00","         90.00","         90.00","         90.00","         50","                4500.00","          1","-","-"
