"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LLOYDELENG","EQ","02-Jan-2017","        253.35","        252.80","        261.00","        251.05","        259.75","        259.20","        256.85","      85238","            21893530.60","       1799","      43675","         51.24"
"LLOYDELENG","EQ","03-Jan-2017","        259.20","        257.20","        264.35","        257.20","        263.25","        262.90","        262.19","      61611","            16153488.05","       1436","      27757","         45.05"
"LLOYDELENG","EQ","04-Jan-2017","        262.90","        263.00","        270.25","        263.00","        264.80","        264.60","        267.68","     170915","            45750118.30","       3363","      59242","         34.66"
"LLOYDELENG","EQ","05-Jan-2017","        264.60","        264.90","        269.90","        263.25","        266.00","        266.60","        266.75","     129657","            34586079.85","       2594","      51304","         39.57"
"LLOYDELENG","EQ","06-Jan-2017","        266.60","        268.00","        268.20","        261.50","        262.00","        262.45","        263.80","      88276","            23286862.95","       1329","      53237","         60.31"
"LLOYDELENG","EQ","09-Jan-2017","        262.45","        262.45","        273.40","        261.05","        271.00","        270.00","        268.39","     173331","            46520898.60","       3770","      77646","         44.80"
"LLOYDELENG","EQ","10-Jan-2017","        270.00","        270.15","        275.30","        266.35","        273.50","        272.95","        271.30","     320785","            87029295.05","       4562","     150410","         46.89"
"LLOYDELENG","EQ","11-Jan-2017","        272.95","        273.75","        280.30","        272.95","        278.75","        278.20","        276.81","     279933","            77488224.45","       4446","     121676","         43.47"
"LLOYDELENG","EQ","12-Jan-2017","        278.20","        278.50","        281.05","        273.50","        273.50","        274.25","        276.62","     139154","            38492308.35","       2021","      83928","         60.31"
"LLOYDELENG","EQ","13-Jan-2017","        274.25","        275.00","        286.20","        272.00","        286.10","        284.35","        280.56","     279847","            78513677.60","       3146","     174344","         62.30"
"LLOYDELENG","EQ","16-Jan-2017","        284.35","        286.90","        287.70","        281.00","        282.00","        281.35","        284.30","     144097","            40966768.30","       2436","      62780","         43.57"
"LLOYDELENG","EQ","17-Jan-2017","        281.35","        284.20","        289.55","        281.80","        283.30","        282.65","        285.48","     152385","            43503491.35","       2325","      76113","         49.95"
"LLOYDELENG","EQ","18-Jan-2017","        282.65","        284.75","        293.00","        282.50","        288.00","        287.10","        288.45","     226464","            65323965.85","       3621","      99312","         43.85"
"LLOYDELENG","EQ","19-Jan-2017","        287.10","        287.10","        291.65","        283.00","        284.00","        284.90","        287.50","      79165","            22760169.00","       1586","      41595","         52.54"
"LLOYDELENG","EQ","20-Jan-2017","        284.90","        283.00","        286.25","        276.50","        279.80","        277.70","        281.98","      79533","            22427087.70","       1687","      42035","         52.85"
"LLOYDELENG","EQ","23-Jan-2017","        277.70","        276.50","        282.50","        276.50","        279.00","        278.70","        279.97","      67135","            18795491.25","       1363","      38175","         56.86"
"LLOYDELENG","EQ","24-Jan-2017","        278.70","        277.30","        287.40","        277.30","        286.70","        286.15","        283.32","     128623","            36441165.80","       1681","      78523","         61.05"
"LLOYDELENG","EQ","25-Jan-2017","        286.15","        285.15","        287.30","        282.00","        283.00","        282.35","        283.55","      55915","            15854658.45","        842","      32086","         57.38"
"LLOYDELENG","EQ","27-Jan-2017","        282.35","        284.50","        286.75","        276.80","        276.90","        278.10","        282.02","     105390","            29722148.30","       2345","      59355","         56.32"
"LLOYDELENG","EQ","30-Jan-2017","        278.10","        276.00","        279.55","        272.10","        273.00","        273.35","        275.01","      89140","            24514729.85","       1535","      53592","         60.12"
"LLOYDELENG","EQ","31-Jan-2017","        273.35","        272.50","        273.60","        264.80","        265.30","        265.50","        267.55","     107205","            28682333.65","       1917","      66236","         61.78"
