"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LICNETFN50","EQ","03-Apr-2017","         91.90","         91.90","        109.94","         91.90","         93.00","         92.83","         94.41","        275","               25961.78","         18","        203","         73.82"
"LICNETFN50","EQ","05-Apr-2017","         92.83","         93.65","         93.65","         93.65","         93.65","         93.65","         93.65","         51","                4776.15","          3","         51","        100.00"
"LICNETFN50","EQ","06-Apr-2017","         93.65","         93.75","         93.75","         92.55","         92.55","         92.55","         92.61","         51","                4723.00","          4","         49","         96.08"
"LICNETFN50","EQ","07-Apr-2017","         92.55","         90.00","         93.15","         90.00","         93.00","         93.00","         91.34","        197","               17994.90","          6","         90","         45.69"
"LICNETFN50","EQ","10-Apr-2017","         93.00","         91.15","        112.10","         91.15","         93.50","         93.50","         93.13","        107","                9965.35","         10","         74","         69.16"
"LICNETFN50","EQ","11-Apr-2017","         93.50","         93.45","         94.10","         93.45","         94.10","         94.10","         93.85","          5","                 469.25","          5","          5","        100.00"
"LICNETFN50","EQ","12-Apr-2017","         94.10","        111.20","        111.20","         81.15","         93.30","         93.30","         93.55","       1226","              114686.50","         12","       1218","         99.35"
"LICNETFN50","EQ","13-Apr-2017","         93.30","         93.50","         93.50","         93.50","         93.50","         93.50","         93.50","          6","                 561.00","          3","          6","        100.00"
"LICNETFN50","EQ","17-Apr-2017","         93.50","         91.90","         92.95","         91.90","         91.90","         91.90","         91.93","        808","               74277.75","         10","        788","         97.52"
"LICNETFN50","EQ","18-Apr-2017","         91.90","         93.80","         93.80","         93.80","         93.80","         93.80","         93.80","          1","                  93.80","          1","          1","        100.00"
"LICNETFN50","EQ","19-Apr-2017","         93.80","         92.65","         92.65","         92.65","         92.65","         92.65","         92.65","         11","                1019.15","          2","         11","        100.00"
"LICNETFN50","EQ","20-Apr-2017","         92.65","         92.80","         92.80","         92.80","         92.80","         92.80","         92.80","          1","                  92.80","          1","          1","        100.00"
"LICNETFN50","EQ","21-Apr-2017","         92.80","         93.25","         93.25","         93.00","         93.00","         93.00","         93.02","         11","                1023.25","          2","         11","        100.00"
"LICNETFN50","EQ","24-Apr-2017","         93.00","         92.90","         92.90","         92.80","         92.80","         92.80","         92.81","         14","                1299.30","          4","         13","         92.86"
"LICNETFN50","EQ","25-Apr-2017","         92.80","         94.00","         94.00","         92.85","         94.00","         94.00","         93.50","       1583","              148016.55","          6","       1001","         63.23"
"LICNETFN50","EQ","26-Apr-2017","         94.00","         94.80","         94.80","         94.80","         94.80","         94.80","         94.80","          1","                  94.80","          1","          1","        100.00"
"LICNETFN50","EQ","27-Apr-2017","         94.80","         94.80","         94.80","         94.80","         94.80","         94.80","         94.80","         51","                4834.80","          2","         51","        100.00"
"LICNETFN50","EQ","28-Apr-2017","         94.80","         94.90","         94.90","         94.90","         94.90","         94.90","         94.90","       1001","               94994.90","          2","       1001","        100.00"
"LICNETFN50","EQ","02-May-2017","         94.90","         94.90","         94.90","         93.40","         94.30","         94.30","         93.83","         80","                7506.60","          5","         60","         75.00"
