"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LICNETFGSC","EQ","03-Jul-2017","         16.38","         16.34","         16.34","         16.34","         16.34","         16.34","         16.34","        441","                7205.94","          1","        441","        100.00"
"LICNETFGSC","EQ","04-Jul-2017","         16.34","         16.35","         16.35","         16.32","         16.33","         16.33","         16.33","       4296","               70145.68","          5","       4296","        100.00"
"LICNETFGSC","EQ","05-Jul-2017","         16.33","         16.93","         16.93","         16.33","         16.34","         16.34","         16.90","        303","                5121.46","          3","        289","         95.38"
"LICNETFGSC","EQ","06-Jul-2017","         16.34","         16.68","         16.68","         16.68","         16.68","         16.68","         16.68","          3","                  50.04","          1","          3","        100.00"
"LICNETFGSC","EQ","07-Jul-2017","         16.68","         16.62","         16.62","         16.40","         16.60","         16.40","         16.40","        907","               14877.40","          5","        907","        100.00"
"LICNETFGSC","EQ","10-Jul-2017","         16.40","         16.20","         16.69","         16.20","         16.34","         16.34","         16.25","       9412","              152917.60","          8","       9412","        100.00"
"LICNETFGSC","EQ","11-Jul-2017","         16.34","         16.30","         16.30","         16.30","         16.30","         16.30","         16.30","          1","                  16.30","          1","          1","        100.00"
"LICNETFGSC","EQ","12-Jul-2017","         16.30","         16.30","         16.40","         16.20","         16.40","         16.40","         16.40","       3394","               55658.30","          5","       3394","        100.00"
"LICNETFGSC","EQ","13-Jul-2017","         16.40","         16.25","         16.91","         16.25","         16.60","         16.64","         16.75","      20848","              349306.57","         20","      19118","         91.70"
"LICNETFGSC","EQ","14-Jul-2017","         16.64","         16.98","         17.15","         16.55","         16.55","         16.55","         16.99","      10546","              179167.95","         10","       9172","         86.97"
"LICNETFGSC","EQ","18-Jul-2017","         16.55","         16.55","         16.55","         16.55","         16.55","         16.55","         16.55","       1108","               18337.40","          5","       1108","        100.00"
"LICNETFGSC","EQ","19-Jul-2017","         16.55","         17.11","         17.11","         16.51","         16.99","         16.99","         17.05","        570","                9717.54","          3","        285","         50.00"
"LICNETFGSC","EQ","20-Jul-2017","         16.99","         16.60","         16.60","         16.60","         16.60","         16.60","         16.60","        154","                2556.40","          2","        154","        100.00"
"LICNETFGSC","EQ","21-Jul-2017","         16.60","         16.99","         16.99","         16.85","         16.85","         16.85","         16.92","       2000","               33840.00","          2","       2000","        100.00"
"LICNETFGSC","EQ","24-Jul-2017","         16.85","         17.00","         17.00","         17.00","         17.00","         17.00","         17.00","        300","                5100.00","          1","        300","        100.00"
"LICNETFGSC","EQ","25-Jul-2017","         17.00","         17.00","         17.10","         17.00","         17.00","         17.02","         17.01","       1912","               32531.50","          5","       1912","        100.00"
"LICNETFGSC","EQ","26-Jul-2017","         17.02","         17.14","         17.17","         17.14","         17.17","         17.17","         17.17","      46677","              801371.63","          4","      46677","        100.00"
"LICNETFGSC","EQ","31-Jul-2017","         17.17","         17.21","         17.21","         17.00","         17.00","         17.00","         17.09","       2836","               48467.04","          6","       1672","         58.96"
"LICNETFGSC","EQ","01-Aug-2017","         17.00","         17.00","         17.00","         17.00","         17.00","         17.00","         17.00","       1407","               23919.00","          4","       1407","        100.00"
"LICNETFGSC","EQ","02-Aug-2017","         17.00","         17.25","         17.25","         17.25","         17.25","         17.25","         17.25","        279","                4812.75","          2","        279","        100.00"
"LICNETFGSC","EQ","03-Aug-2017","         17.25","         17.24","         17.24","         17.24","         17.24","         17.24","         17.24","         34","                 586.16","          1","         34","        100.00"
"LICNETFGSC","EQ","07-Aug-2017","         17.24","         17.23","         17.23","         17.23","         17.23","         17.23","         17.23","         20","                 344.60","          1","         20","        100.00"
"LICNETFGSC","EQ","08-Aug-2017","         17.23","         17.23","         17.23","         16.60","         16.60","         16.60","         16.61","       2142","               35587.83","          4","       2142","        100.00"
"LICNETFGSC","EQ","09-Aug-2017","         16.60","         16.54","         16.55","         16.54","         16.55","         16.55","         16.55","         40","                 661.80","          2","         20","         50.00"
"LICNETFGSC","EQ","10-Aug-2017","         16.55","         16.55","         16.55","         16.55","         16.55","         16.55","         16.55","        900","               14895.00","          2","        900","        100.00"
"LICNETFGSC","EQ","14-Aug-2017","         16.55","         17.00","         17.00","         16.55","         16.55","         16.55","         16.87","         78","                1315.65","          3","         78","        100.00"
"LICNETFGSC","EQ","16-Aug-2017","         16.55","         17.22","         17.22","         17.20","         17.20","         17.20","         17.22","        302","                5200.10","          2","        302","        100.00"
"LICNETFGSC","EQ","17-Aug-2017","         17.20","         17.20","         17.20","         17.20","         17.20","         17.20","         17.20","       6277","              107964.40","          4","       6277","        100.00"
"LICNETFGSC","EQ","22-Aug-2017","         17.20","         16.52","         17.19","         16.52","         17.19","         17.19","         16.53","        510","                8431.90","          3","        500","         98.04"
