"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LITL","EQ","02-Jan-2017","          3.60","          3.65","          3.70","          3.60","          3.70","          3.70","          3.65","     856088","             3126047.10","        395","     579698","         67.71"
"LITL","EQ","03-Jan-2017","          3.70","          3.70","          3.90","          3.65","          3.80","          3.85","          3.80","    1357635","             5164171.15","        562","     648664","         47.78"
"LITL","EQ","04-Jan-2017","          3.85","          3.80","          4.00","          3.80","          3.95","          3.90","          3.89","    2617368","            10175308.40","        854","    1194559","         45.64"
"LITL","EQ","05-Jan-2017","          3.90","          3.90","          4.10","          3.80","          3.85","          3.90","          3.95","    2388666","             9446097.85","       1004","    1513747","         63.37"
"LITL","EQ","06-Jan-2017","          3.90","          3.90","          3.90","          3.75","          3.85","          3.85","          3.84","    1109155","             4253773.15","        578","     562091","         50.68"
"LITL","EQ","09-Jan-2017","          3.85","          3.85","          3.85","          3.75","          3.80","          3.80","          3.79","     498590","             1890210.30","        289","     294462","         59.06"
"LITL","EQ","10-Jan-2017","          3.80","          3.80","          3.80","          3.70","          3.70","          3.70","          3.74","     975074","             3649831.00","        357","     612768","         62.84"
"LITL","EQ","11-Jan-2017","          3.70","          3.70","          3.80","          3.70","          3.80","          3.80","          3.77","     701750","             2642667.00","        380","     392398","         55.92"
"LITL","EQ","12-Jan-2017","          3.80","          3.80","          3.85","          3.75","          3.80","          3.80","          3.80","     659168","             2507510.10","        353","     416115","         63.13"
"LITL","EQ","13-Jan-2017","          3.80","          3.85","          3.85","          3.65","          3.80","          3.75","          3.74","    1167277","             4369126.10","        438","     587504","         50.33"
"LITL","EQ","16-Jan-2017","          3.75","          3.75","          3.85","          3.75","          3.75","          3.75","          3.79","    1108590","             4205674.30","        394","     774233","         69.84"
"LITL","EQ","17-Jan-2017","          3.75","          3.75","          3.80","          3.75","          3.80","          3.80","          3.77","     448867","             1693488.30","        250","     258060","         57.49"
"LITL","EQ","18-Jan-2017","          3.80","          3.75","          3.85","          3.75","          3.75","          3.80","          3.80","     386283","             1468455.40","        227","     268157","         69.42"
"LITL","EQ","19-Jan-2017","          3.80","          3.80","          3.80","          3.70","          3.80","          3.75","          3.76","     512007","             1924411.10","        264","     377515","         73.73"
"LITL","EQ","20-Jan-2017","          3.75","          3.75","          3.80","          3.70","          3.75","          3.75","          3.76","    1664176","             6251663.45","        532","     897038","         53.90"
"LITL","EQ","23-Jan-2017","          3.75","          3.75","          3.90","          3.75","          3.80","          3.75","          3.79","     964181","             3653600.50","        339","     528663","         54.83"
"LITL","EQ","24-Jan-2017","          3.75","          3.75","          3.85","          3.70","          3.80","          3.75","          3.77","     992751","             3747553.45","        356","     577799","         58.20"
"LITL","EQ","25-Jan-2017","          3.75","          3.80","          3.80","          3.75","          3.75","          3.80","          3.77","     483986","             1823259.50","        284","     337242","         69.68"
"LITL","EQ","27-Jan-2017","          3.80","          3.75","          3.90","          3.70","          3.80","          3.80","          3.80","    2443184","             9275114.45","        655","    1057316","         43.28"
"LITL","EQ","30-Jan-2017","          3.80","          3.75","          3.90","          3.75","          3.90","          3.90","          3.83","    1458988","             5594826.35","        559","     885468","         60.69"
"LITL","EQ","31-Jan-2017","          3.90","          3.90","          4.00","          3.70","          3.80","          3.80","          3.86","    2988749","            11537113.80","        855","    1304043","         43.63"
"LITL","EQ","01-Feb-2017","          3.80","          3.80","          3.90","          3.75","          3.80","          3.75","          3.79","    2584786","             9804053.75","        709","    1492636","         57.75"
"LITL","EQ","02-Feb-2017","          3.75","          3.80","          3.80","          3.65","          3.75","          3.70","          3.73","    2182487","             8145292.60","        682","    1250565","         57.30"
"LITL","EQ","03-Feb-2017","          3.70","          3.70","          4.15","          3.70","          4.00","          4.05","          3.94","   11909497","            46928477.25","       3226","    4554788","         38.25"
"LITL","EQ","06-Feb-2017","          4.05","          4.05","          4.20","          4.05","          4.10","          4.10","          4.12","    7853145","            32346928.20","       2125","    3837718","         48.87"
"LITL","EQ","07-Feb-2017","          4.10","          4.15","          4.55","          4.10","          4.40","          4.35","          4.32","   15155451","            65495251.20","       3619","    5159590","         34.04"
"LITL","EQ","08-Feb-2017","          4.35","          4.40","          4.60","          4.35","          4.40","          4.35","          4.45","    9276004","            41279444.15","       2431","    4412985","         47.57"
"LITL","EQ","09-Feb-2017","          4.35","          4.40","          4.45","          4.05","          4.30","          4.25","          4.26","    3637256","            15482546.30","       1541","    1534097","         42.18"
"LITL","EQ","10-Feb-2017","          4.25","          4.30","          4.35","          4.10","          4.15","          4.20","          4.23","    3214389","            13595446.70","        979","    1330961","         41.41"
"LITL","EQ","13-Feb-2017","          4.20","          4.15","          4.25","          3.95","          4.00","          4.00","          4.05","    3300506","            13368527.30","       1002","    1758965","         53.29"
