"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LPDC","EQ","03-Jul-2017","          3.15","          3.20","          3.40","          3.15","          3.25","          3.25","          3.22","       4589","               14760.55","         25","       3903","         85.05"
"LPDC","EQ","04-Jul-2017","          3.25","          3.30","          3.30","          3.15","          3.30","          3.30","          3.23","       3997","               12925.55","         13","       3262","         81.61"
"LPDC","EQ","05-Jul-2017","          3.30","          3.35","          3.40","          3.25","          3.30","          3.30","          3.36","       7375","               24783.25","         32","       5104","         69.21"
"LPDC","EQ","06-Jul-2017","          3.30","          3.40","          3.45","          3.30","          3.45","          3.40","          3.36","       5832","               19616.55","         18","       5332","         91.43"
"LPDC","EQ","07-Jul-2017","          3.40","          3.45","          3.55","          3.20","          3.50","          3.45","          3.34","      12537","               41918.85","         52","       5351","         42.68"
"LPDC","EQ","10-Jul-2017","          3.45","          3.45","          3.45","          3.10","          3.45","          3.40","          3.38","        681","                2298.45","          8","        641","         94.13"
"LPDC","EQ","11-Jul-2017","          3.40","          3.15","          3.60","          3.15","          3.30","          3.30","          3.50","      25650","               89777.05","         39","      20928","         81.59"
"LPDC","EQ","12-Jul-2017","          3.30","          3.45","          3.50","          3.40","          3.40","          3.40","          3.45","      22599","               78013.60","         36","      21798","         96.46"
"LPDC","EQ","13-Jul-2017","          3.40","          3.45","          3.45","          3.25","          3.35","          3.40","          3.34","      10286","               34391.00","         26","       9480","         92.16"
"LPDC","EQ","14-Jul-2017","          3.40","          3.30","          3.40","          3.20","          3.30","          3.30","          3.28","       4605","               15104.05","         21","       3737","         81.15"
"LPDC","EQ","17-Jul-2017","          3.30","          3.60","          3.60","          3.20","          3.30","          3.30","          3.28","      33149","              108809.20","         45","      21688","         65.43"
"LPDC","EQ","18-Jul-2017","          3.30","          3.20","          3.40","          3.20","          3.25","          3.25","          3.30","      20357","               67274.10","         22","      12795","         62.85"
"LPDC","EQ","19-Jul-2017","          3.25","          3.45","          3.60","          3.20","          3.45","          3.30","          3.38","      10311","               34902.65","         40","       7891","         76.53"
"LPDC","EQ","20-Jul-2017","          3.30","          3.45","          3.45","          3.20","          3.40","          3.40","          3.32","      16620","               55175.00","         50","      10152","         61.08"
"LPDC","EQ","21-Jul-2017","          3.40","          3.25","          3.40","          3.25","          3.35","          3.35","          3.33","      13961","               46457.25","         21","      10910","         78.15"
"LPDC","EQ","24-Jul-2017","          3.35","          3.20","          3.40","          3.20","          3.30","          3.30","          3.31","       6023","               19957.85","         20","       5516","         91.58"
"LPDC","EQ","25-Jul-2017","          3.30","          3.20","          3.35","          3.15","          3.20","          3.25","          3.23","      19026","               61401.50","         43","      14003","         73.60"
"LPDC","EQ","26-Jul-2017","          3.25","          3.45","          3.45","          3.20","          3.25","          3.30","          3.27","      18780","               61355.50","         50","      13906","         74.05"
"LPDC","EQ","27-Jul-2017","          3.30","          3.25","          3.40","          3.25","          3.25","          3.25","          3.28","      19136","               62825.60","         38","      19035","         99.47"
"LPDC","EQ","28-Jul-2017","          3.25","          3.30","          3.45","          3.20","          3.35","          3.35","          3.29","       8235","               27099.15","         31","       5575","         67.70"
"LPDC","EQ","31-Jul-2017","          3.35","          3.25","          3.45","          2.85","          3.30","          3.20","          3.18","      23666","               75221.35","         54","      18172","         76.79"
"LPDC","EQ","01-Aug-2017","          3.20","          3.10","          3.35","          3.10","          3.15","          3.15","          3.28","      12847","               42177.95","         37","       9256","         72.05"
"LPDC","EQ","02-Aug-2017","          3.15","          3.40","          3.45","          3.20","          3.30","          3.30","          3.39","      16065","               54524.05","         44","      13716","         85.38"
"LPDC","EQ","03-Aug-2017","          3.30","          3.20","          3.35","          3.20","          3.20","          3.20","          3.25","       5768","               18746.75","         12","       5467","         94.78"
"LPDC","EQ","04-Aug-2017","          3.20","          3.20","          3.30","          3.15","          3.15","          3.20","          3.22","       3996","               12849.15","         14","       3963","         99.17"
"LPDC","EQ","07-Aug-2017","          3.20","          3.15","          3.40","          3.15","          3.30","          3.25","          3.31","       8096","               26799.00","         44","       5568","         68.77"
"LPDC","EQ","08-Aug-2017","          3.25","          3.25","          3.30","          3.15","          3.15","          3.15","          3.18","      22748","               72404.20","         31","      14070","         61.85"
"LPDC","EQ","09-Aug-2017","          3.15","          3.20","          3.25","          3.10","          3.10","          3.10","          3.17","       5460","               17309.20","         26","       4459","         81.67"
"LPDC","EQ","10-Aug-2017","          3.10","          3.25","          3.25","          2.90","          3.15","          3.05","          3.10","      30334","               94023.20","         66","      23749","         78.29"
"LPDC","EQ","11-Aug-2017","          3.05","          3.10","          3.20","          2.85","          3.10","          3.10","          3.10","      19392","               60148.15","         46","      15086","         77.79"
"LPDC","EQ","14-Aug-2017","          3.10","          3.30","          3.30","          3.10","          3.20","          3.20","          3.14","      19735","               62043.85","         28","      18116","         91.80"
"LPDC","EQ","16-Aug-2017","          3.20","          3.30","          3.35","          3.20","          3.20","          3.20","          3.27","      17531","               57360.25","         21","      17531","        100.00"
"LPDC","EQ","17-Aug-2017","          3.20","          3.20","          3.70","          3.20","          3.50","          3.40","          3.55","     100444","              356947.30","        108","      76577","         76.24"
"LPDC","EQ","18-Aug-2017","          3.40","          3.65","          3.65","          3.10","          3.35","          3.30","          3.34","       7247","               24196.50","         22","       5481","         75.63"
"LPDC","EQ","21-Aug-2017","          3.30","          3.35","          3.40","          3.15","          3.15","          3.20","          3.27","      14818","               48489.95","         27","      12900","         87.06"
"LPDC","EQ","22-Aug-2017","          3.20","          3.75","          3.80","          3.20","          3.25","          3.40","          3.62","      90648","              328239.45","        140","      53971","         59.54"
"LPDC","EQ","23-Aug-2017","          3.40","          3.65","          4.05","          3.20","          3.55","          3.55","          3.67","      99162","              363968.45","        113","      65960","         66.52"
"LPDC","EQ","24-Aug-2017","          3.55","          3.60","          3.60","          3.35","          3.40","          3.40","          3.47","      10321","               35790.50","         24","       7588","         73.52"
"LPDC","EQ","28-Aug-2017","          3.40","          3.50","          3.80","          3.40","          3.60","          3.55","          3.73","     125572","              468191.90","         95","     105836","         84.28"
"LPDC","EQ","29-Aug-2017","          3.55","          3.40","          3.55","          3.35","          3.40","          3.45","          3.43","      11041","               37879.05","         38","       9001","         81.52"
"LPDC","EQ","30-Aug-2017","          3.45","          3.45","          3.55","          3.35","          3.50","          3.50","          3.45","       4687","               16164.25","         21","       2920","         62.30"
"LPDC","EQ","31-Aug-2017","          3.50","          3.60","          3.60","          3.35","          3.50","          3.45","          3.47","       4643","               16101.10","         29","       2726","         58.71"
"LPDC","EQ","01-Sep-2017","          3.45","          3.50","          3.60","          3.35","          3.45","          3.45","          3.42","      21915","               74848.40","         49","      19319","         88.15"
"LPDC","EQ","04-Sep-2017","          3.45","          3.50","          3.55","          3.35","          3.40","          3.40","          3.50","      19692","               68963.90","         38","      17548","         89.11"
"LPDC","EQ","05-Sep-2017","          3.40","          3.40","          3.65","          3.40","          3.45","          3.45","          3.50","       9358","               32793.30","         29","       6441","         68.83"
"LPDC","EQ","06-Sep-2017","          3.45","          3.35","          3.45","          3.25","          3.30","          3.30","          3.41","       4403","               14994.65","         24","       4387","         99.64"
"LPDC","EQ","07-Sep-2017","          3.30","          3.30","          3.45","          3.30","          3.30","          3.30","          3.31","       5324","               17641.00","         19","       5314","         99.81"
"LPDC","EQ","08-Sep-2017","          3.30","          3.40","          3.45","          3.30","          3.40","          3.45","          3.36","      11462","               38506.40","         44","       9184","         80.13"
"LPDC","EQ","11-Sep-2017","          3.45","          3.50","          3.50","          3.25","          3.30","          3.30","          3.33","       6799","               22619.65","         25","       4000","         58.83"
"LPDC","EQ","12-Sep-2017","          3.30","          3.30","          3.40","          3.20","          3.40","          3.35","          3.25","      23495","               76346.90","         35","      19999","         85.12"
"LPDC","EQ","13-Sep-2017","          3.35","          3.35","          3.40","          3.10","          3.25","          3.20","          3.23","      25293","               81715.75","         31","      24042","         95.05"
"LPDC","EQ","14-Sep-2017","          3.20","          3.30","          3.45","          3.25","          3.40","          3.35","          3.31","      10857","               35893.15","         31","       7239","         66.68"
"LPDC","EQ","15-Sep-2017","          3.35","          3.20","          3.35","          2.75","          3.15","          3.20","          3.03","      94562","              286592.50","        126","      53380","         56.45"
"LPDC","EQ","18-Sep-2017","          3.20","          3.25","          3.35","          3.10","          3.20","          3.20","          3.21","      88087","              282600.35","         62","      79735","         90.52"
"LPDC","EQ","19-Sep-2017","          3.20","          3.25","          3.25","          3.10","          3.15","          3.20","          3.21","      64098","              205592.95","         45","      58959","         91.98"
