"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LOTUSEYE","EQ","03-Jul-2017","         31.30","         31.05","         35.15","         31.05","         33.50","         33.50","         34.00","      65855","             2238931.80","        366","      47125","         71.56"
"LOTUSEYE","EQ","04-Jul-2017","         33.50","         34.90","         35.75","         33.50","         35.10","         35.40","         35.07","     156075","             5474063.40","        836","     123934","         79.41"
"LOTUSEYE","EQ","05-Jul-2017","         35.40","         35.75","         40.75","         34.40","         40.50","         39.95","         38.51","     401954","            15478328.00","       2276","     263384","         65.53"
"LOTUSEYE","EQ","06-Jul-2017","         39.95","         41.85","         42.30","         39.50","         39.80","         40.05","         41.02","     274087","            11242839.05","       1966","     183301","         66.88"
"LOTUSEYE","EQ","07-Jul-2017","         40.05","         39.80","         40.80","         38.05","         38.50","         38.60","         38.66","      84481","             3266243.00","        676","      52300","         61.91"
"LOTUSEYE","EQ","10-Jul-2017","         38.60","         39.00","         39.00","         38.00","         38.75","         38.40","         38.50","       9477","              364822.85","         55","       8695","         91.75"
"LOTUSEYE","EQ","11-Jul-2017","         38.40","         38.20","         39.30","         36.20","         36.50","         36.60","         37.57","      56317","             2115602.30","       1040","      47112","         83.66"
"LOTUSEYE","EQ","12-Jul-2017","         36.60","         36.50","         40.15","         35.80","         38.70","         38.75","         38.38","     103230","             3961511.95","        673","      59638","         57.77"
"LOTUSEYE","EQ","13-Jul-2017","         38.75","         39.45","         39.90","         37.00","         37.50","         37.55","         38.70","      80229","             3104963.90","        547","      63563","         79.23"
"LOTUSEYE","EQ","14-Jul-2017","         37.55","         37.10","         42.15","         37.10","         41.25","         41.25","         40.61","     413596","            16796684.60","       3063","     235204","         56.87"
"LOTUSEYE","EQ","17-Jul-2017","         41.25","         41.50","         42.85","         40.25","         41.70","         42.05","         41.83","     206756","             8649283.10","       1505","     107889","         52.18"
"LOTUSEYE","EQ","18-Jul-2017","         42.05","         41.50","         41.50","         39.00","         39.70","         39.35","         39.79","      82544","             3284173.25","        709","      58507","         70.88"
"LOTUSEYE","EQ","19-Jul-2017","         39.35","         40.00","         41.50","         39.50","         40.50","         40.70","         40.59","      51858","             2105064.35","        441","      37268","         71.87"
"LOTUSEYE","BE","20-Jul-2017","         40.70","         40.20","         40.90","         38.70","         38.70","         38.70","         39.22","      40882","             1603478.80","        198","-","-"
"LOTUSEYE","BE","21-Jul-2017","         38.70","         37.15","         39.40","         36.80","         37.85","         37.20","         37.31","      41107","             1533711.10","        231","-","-"
"LOTUSEYE","BE","24-Jul-2017","         37.20","         37.75","         38.50","         36.65","         37.60","         37.60","         37.59","      15029","              564925.40","        111","-","-"
"LOTUSEYE","BE","25-Jul-2017","         37.60","         36.50","         38.30","         36.00","         37.25","         36.95","         36.98","       6755","              249804.65","         74","-","-"
"LOTUSEYE","BE","26-Jul-2017","         36.95","         36.35","         38.75","         36.05","         37.80","         38.10","         38.05","      30472","             1159471.65","        123","-","-"
"LOTUSEYE","BE","27-Jul-2017","         38.10","         37.60","         38.10","         36.20","         37.15","         37.15","         37.54","       6120","              229752.80","         52","-","-"
"LOTUSEYE","BE","28-Jul-2017","         37.15","         36.30","         39.00","         36.30","         37.50","         37.25","         37.42","      14235","              532674.10","         96","-","-"
"LOTUSEYE","BE","31-Jul-2017","         37.25","         39.00","         39.00","         36.00","         38.50","         37.95","         37.19","      15859","              589864.60","        121","-","-"
"LOTUSEYE","BE","01-Aug-2017","         37.95","         38.85","         38.85","         36.10","         37.70","         37.70","         37.48","      10656","              399436.00","         57","-","-"
"LOTUSEYE","BE","02-Aug-2017","         37.70","         38.00","         38.00","         36.30","         36.50","         36.60","         36.73","      17480","              641991.25","         87","-","-"
"LOTUSEYE","BE","03-Aug-2017","         36.60","         36.90","         36.90","         35.15","         35.90","         35.60","         35.96","      16244","              584097.85","        107","-","-"
"LOTUSEYE","BE","04-Aug-2017","         35.60","         35.60","         35.70","         33.95","         34.90","         34.60","         34.44","      18523","              637990.35","        130","-","-"
"LOTUSEYE","BE","07-Aug-2017","         34.60","         34.95","         35.90","         32.95","         35.60","         34.95","         34.74","      11031","              383220.85","         57","-","-"
"LOTUSEYE","BE","04-Sep-2017","         34.95","         33.25","         33.25","         33.25","         33.25","         33.25","         33.25","        514","               17090.50","          6","-","-"
"LOTUSEYE","BE","14-Sep-2017","         33.25","         34.90","         34.90","         31.60","         31.60","         31.60","         31.85","       9372","              298485.20","         15","-","-"
"LOTUSEYE","BE","15-Sep-2017","         31.60","         30.05","         30.50","         30.05","         30.05","         30.05","         30.06","      62249","             1871101.65","        126","-","-"
"LOTUSEYE","BE","18-Sep-2017","         30.05","         28.55","         31.55","         28.55","         31.30","         31.40","         29.20","      56705","             1655814.40","        232","-","-"
"LOTUSEYE","BE","19-Sep-2017","         31.40","         29.95","         32.00","         29.85","         31.00","         30.95","         30.66","       9771","              299605.50","         69","-","-"
