"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LUMAXIND","EQ","03-Jul-2017","       1425.35","       1436.05","       1516.00","       1422.55","       1516.00","       1490.05","       1467.31","       7055","            10351888.75","       1170","       3649","         51.72"
"LUMAXIND","EQ","04-Jul-2017","       1490.05","       1499.95","       1596.00","       1487.55","       1560.00","       1570.85","       1562.76","      18845","            29450196.95","       2110","      10450","         55.45"
"LUMAXIND","EQ","05-Jul-2017","       1570.85","       1582.95","       1604.70","       1541.25","       1578.95","       1578.85","       1585.83","      12101","            19190112.05","       1096","       6971","         57.61"
"LUMAXIND","EQ","06-Jul-2017","       1578.85","       1600.00","       1600.00","       1529.55","       1558.55","       1561.30","       1559.01","      13970","            21779302.55","       2189","       8620","         61.70"
"LUMAXIND","EQ","07-Jul-2017","       1561.30","       1560.05","       1605.00","       1550.10","       1555.00","       1558.00","       1577.80","      14119","            22276968.05","       1213","       8028","         56.86"
"LUMAXIND","EQ","10-Jul-2017","       1558.00","       1540.00","       1590.00","       1540.00","       1540.00","       1549.30","       1556.76","        237","              368951.45","         62","        147","         62.03"
"LUMAXIND","EQ","11-Jul-2017","       1549.30","       1574.00","       1574.00","       1535.00","       1545.00","       1545.25","       1544.13","       5908","             9122691.80","        275","       5009","         84.78"
"LUMAXIND","EQ","12-Jul-2017","       1545.25","       1567.95","       1567.95","       1520.05","       1520.05","       1527.30","       1537.31","       5871","             9025534.30","        349","       5220","         88.91"
"LUMAXIND","EQ","13-Jul-2017","       1527.30","       1534.95","       1556.20","       1514.20","       1520.00","       1518.10","       1530.10","       8793","            13454159.75","        611","       6600","         75.06"
"LUMAXIND","EQ","14-Jul-2017","       1518.10","       1511.55","       1514.70","       1480.00","       1484.00","       1485.20","       1496.80","       6883","            10302453.85","        428","       5975","         86.81"
"LUMAXIND","EQ","17-Jul-2017","       1485.20","       1524.95","       1524.95","       1486.30","       1501.20","       1503.15","       1501.32","       9311","            13978794.10","        641","       7889","         84.73"
"LUMAXIND","EQ","18-Jul-2017","       1503.15","       1495.05","       1501.30","       1475.00","       1483.55","       1482.90","       1484.47","       9839","            14605747.50","        629","       8829","         89.73"
"LUMAXIND","EQ","19-Jul-2017","       1482.90","       1498.50","       1540.00","       1486.35","       1490.00","       1493.40","       1515.50","       5707","             8648943.00","        743","       3811","         66.78"
"LUMAXIND","EQ","20-Jul-2017","       1493.40","       1492.75","       1515.00","       1481.50","       1496.00","       1499.70","       1498.35","       8625","            12923305.50","        829","       5826","         67.55"
"LUMAXIND","EQ","21-Jul-2017","       1499.70","       1498.15","       1507.05","       1491.30","       1500.20","       1500.40","       1499.57","       9282","            13918999.60","        532","       8297","         89.39"
"LUMAXIND","EQ","24-Jul-2017","       1500.40","       1504.00","       1522.45","       1445.95","       1460.00","       1455.25","       1472.78","       7753","            11418472.95","        913","       4905","         63.27"
