"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LYCOS","EQ","03-Jul-2017","          7.45","          7.80","          7.80","          7.15","          7.45","          7.45","          7.49","     282087","             2112170.90","        454","     215718","         76.47"
"LYCOS","EQ","04-Jul-2017","          7.45","          7.60","          7.60","          7.35","          7.50","          7.50","          7.45","     182681","             1360622.50","        356","     114482","         62.67"
"LYCOS","EQ","05-Jul-2017","          7.50","          7.45","          7.80","          7.40","          7.65","          7.65","          7.53","     353791","             2663697.80","        538","     225837","         63.83"
"LYCOS","EQ","06-Jul-2017","          7.65","          7.60","          8.00","          7.60","          8.00","          8.00","          7.95","     338068","             2686138.60","        380","     258985","         76.61"
"LYCOS","EQ","07-Jul-2017","          8.00","          8.40","          8.40","          8.25","          8.40","          8.40","          8.39","     431822","             3623626.45","        355","     364404","         84.39"
"LYCOS","EQ","10-Jul-2017","          8.40","          8.80","          8.80","          8.00","          8.00","          8.00","          8.06","     563699","             4540922.00","        426","     474236","         84.13"
"LYCOS","EQ","11-Jul-2017","          8.00","          8.20","          8.40","          7.80","          8.35","          8.20","          8.24","    1068142","             8797576.35","        963","     670709","         62.79"
"LYCOS","EQ","12-Jul-2017","          8.20","          8.35","          8.35","          8.05","          8.35","          8.20","          8.14","     270606","             2204077.35","        350","     191395","         70.73"
"LYCOS","EQ","13-Jul-2017","          8.20","          8.20","          8.40","          7.95","          7.95","          7.95","          8.02","     759892","             6096150.40","        687","     560066","         73.70"
"LYCOS","EQ","14-Jul-2017","          7.95","          8.00","          8.20","          7.90","          8.05","          7.95","          7.99","     219620","             1754243.00","        252","     174753","         79.57"
"LYCOS","EQ","17-Jul-2017","          7.95","          8.00","          8.00","          7.60","          7.75","          7.80","          7.69","     638196","             4904831.25","        628","     469898","         73.63"
"LYCOS","EQ","18-Jul-2017","          7.80","          7.80","          8.00","          7.65","          7.80","          7.70","          7.77","     567646","             4409331.05","        664","     387264","         68.22"
"LYCOS","EQ","19-Jul-2017","          7.70","          7.90","          7.90","          7.65","          7.75","          7.70","          7.75","     703645","             5449983.10","        426","     427043","         60.69"
"LYCOS","EQ","20-Jul-2017","          7.70","          7.75","          7.80","          7.55","          7.75","          7.75","          7.71","     321928","             2481087.85","        391","     205588","         63.86"
"LYCOS","EQ","21-Jul-2017","          7.75","          7.95","          7.95","          7.55","          7.70","          7.70","          7.69","     444764","             3419332.00","        347","     269284","         60.55"
"LYCOS","EQ","24-Jul-2017","          7.70","          7.80","          8.05","          7.35","          7.45","          7.45","          7.65","    2394529","            18328357.60","       1263","    1242521","         51.89"
"LYCOS","EQ","25-Jul-2017","          7.45","          7.45","          7.55","          7.35","          7.45","          7.45","          7.47","     351405","             2623398.45","        387","     300723","         85.58"
"LYCOS","EQ","26-Jul-2017","          7.45","          7.45","          7.60","          7.30","          7.35","          7.40","          7.44","     386834","             2879298.60","        500","     319385","         82.56"
"LYCOS","EQ","27-Jul-2017","          7.40","          7.45","          7.55","          7.30","          7.35","          7.35","          7.43","     645683","             4795152.25","        633","     542482","         84.02"
"LYCOS","EQ","28-Jul-2017","          7.35","          7.35","          7.50","          7.25","          7.35","          7.30","          7.37","     500660","             3688252.00","        478","     369227","         73.75"
"LYCOS","EQ","31-Jul-2017","          7.30","          7.25","          7.40","          7.20","          7.20","          7.25","          7.27","     317484","             2309348.90","        377","     249832","         78.69"
"LYCOS","EQ","01-Aug-2017","          7.25","          7.20","          7.35","          6.90","          6.90","          6.90","          7.03","     767521","             5397517.90","        555","     651476","         84.88"
"LYCOS","EQ","02-Aug-2017","          6.90","          6.75","          7.20","          6.65","          6.95","          6.95","          6.96","     791309","             5510432.65","        715","     606875","         76.69"
"LYCOS","EQ","03-Aug-2017","          6.95","          7.05","          7.05","          6.85","          6.95","          6.95","          6.95","     248549","             1727470.15","        402","     143385","         57.69"
"LYCOS","EQ","04-Aug-2017","          6.95","          7.00","          7.00","          6.75","          6.80","          6.80","          6.85","     702478","             4810070.75","        417","     589044","         83.85"
"LYCOS","EQ","07-Aug-2017","          6.80","          6.95","          7.40","          6.90","          7.15","          7.05","          6.99","    1020549","             7136021.40","        453","     915660","         89.72"
"LYCOS","EQ","08-Aug-2017","          7.05","          7.20","          7.40","          6.95","          6.95","          7.00","          7.05","     429884","             3030943.35","        396","     321927","         74.89"
"LYCOS","EQ","09-Aug-2017","          7.00","          7.00","          7.00","          6.70","          6.80","          6.80","          6.84","     244659","             1672540.65","        337","     168309","         68.79"
