"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LYKALABS","EQ","03-Apr-2017","         54.60","         54.75","         57.45","         54.75","         56.75","         56.75","         56.37","      83631","             4713904.70","        647","      45864","         54.84"
"LYKALABS","EQ","05-Apr-2017","         56.75","         56.60","         57.35","         54.80","         56.00","         55.75","         55.68","     329068","            18322110.55","        981","     212623","         64.61"
"LYKALABS","EQ","06-Apr-2017","         55.75","         55.10","         56.70","         55.10","         55.65","         55.70","         56.04","      81899","             4589355.05","        438","      61482","         75.07"
"LYKALABS","EQ","07-Apr-2017","         55.70","         55.35","         55.90","         54.50","         54.80","         54.80","         55.36","      77952","             4315289.95","        411","      64655","         82.94"
"LYKALABS","EQ","10-Apr-2017","         54.80","         54.90","         57.80","         54.70","         55.60","         55.50","         56.35","     173590","             9781456.85","       1215","      65335","         37.64"
"LYKALABS","EQ","11-Apr-2017","         55.50","         55.75","         56.60","         55.40","         55.55","         55.85","         55.91","      81777","             4572255.30","        521","      41357","         50.57"
"LYKALABS","EQ","12-Apr-2017","         55.85","         56.60","         56.60","         54.70","         55.70","         55.75","         55.64","      93767","             5216969.90","        748","      44843","         47.82"
"LYKALABS","EQ","13-Apr-2017","         55.75","         55.20","         57.45","         55.20","         55.50","         55.70","         56.04","     203057","            11379382.75","        863","     113352","         55.82"
"LYKALABS","EQ","17-Apr-2017","         55.70","         56.00","         56.05","         53.70","         54.20","         54.10","         54.36","     194629","            10579746.00","        913","     138318","         71.07"
"LYKALABS","EQ","18-Apr-2017","         54.10","         54.30","         55.35","         51.00","         51.45","         51.25","         53.00","     362571","            19217630.30","       1790","     258256","         71.23"
"LYKALABS","EQ","19-Apr-2017","         51.25","         51.90","         52.50","         50.60","         51.20","         51.15","         51.35","     122230","             6276608.85","        910","      52077","         42.61"
"LYKALABS","EQ","20-Apr-2017","         51.15","         51.15","         53.35","         51.00","         52.00","         51.95","         52.41","     181731","             9524794.30","       1326","      90000","         49.52"
"LYKALABS","EQ","21-Apr-2017","         51.95","         52.20","         52.90","         51.10","         51.70","         51.60","         51.83","      77083","             3995591.75","        522","      44476","         57.70"
"LYKALABS","EQ","24-Apr-2017","         51.60","         51.25","         55.90","         51.25","         54.20","         55.05","         54.55","     444362","            24240114.70","       2722","     157518","         35.45"
"LYKALABS","EQ","25-Apr-2017","         55.05","         55.20","         55.20","         52.70","         53.00","         53.15","         53.69","      93223","             5004928.65","        726","      66226","         71.04"
"LYKALABS","EQ","26-Apr-2017","         53.15","         52.90","         53.50","         51.80","         52.00","         52.05","         52.30","      83798","             4382794.20","        587","      55459","         66.18"
"LYKALABS","EQ","27-Apr-2017","         52.05","         52.45","         52.75","         51.50","         51.55","         51.65","         52.02","      29923","             1556688.35","        314","      19634","         65.62"
"LYKALABS","EQ","28-Apr-2017","         51.65","         51.40","         52.00","         51.00","         51.00","         51.10","         51.30","      45840","             2351513.75","        401","      30081","         65.62"
"LYKALABS","EQ","02-May-2017","         51.10","         51.10","         51.90","         50.60","         50.90","         50.80","         51.10","      31154","             1591980.65","        372","      19583","         62.86"
