"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MIC","EQ","02-Jan-2017","         14.25","         14.40","         15.15","         14.20","         14.80","         14.80","         14.63","     726980","            10639250.55","       1647","     338196","         46.52"
"MIC","EQ","03-Jan-2017","         14.80","         15.60","         15.70","         15.25","         15.55","         15.50","         15.45","    1660324","            25651389.25","       4467","     659377","         39.71"
"MIC","EQ","04-Jan-2017","         15.50","         15.55","         15.95","         15.05","         15.20","         15.15","         15.43","    1543191","            23807361.70","       2585","     527462","         34.18"
"MIC","EQ","05-Jan-2017","         15.15","         15.25","         15.55","         15.20","         15.35","         15.40","         15.36","     610978","             9386105.85","       1706","     333249","         54.54"
"MIC","EQ","06-Jan-2017","         15.40","         15.30","         15.45","         14.25","         15.00","         15.00","         15.06","     607760","             9151480.70","       1541","     279198","         45.94"
"MIC","EQ","09-Jan-2017","         15.00","         15.20","         15.40","         15.00","         15.10","         15.05","         15.14","     567658","             8597171.90","       1071","     408077","         71.89"
"MIC","EQ","10-Jan-2017","         15.05","         15.15","         15.20","         14.65","         14.75","         14.75","         14.92","     501645","             7483004.10","        959","     341541","         68.08"
"MIC","EQ","11-Jan-2017","         14.75","         14.80","         15.10","         14.75","         14.90","         14.95","         14.95","     502478","             7513936.05","        793","     269836","         53.70"
"MIC","EQ","12-Jan-2017","         14.95","         15.10","         15.20","         14.80","         14.95","         14.90","         14.97","     711086","            10648066.45","       1231","     395120","         55.57"
"MIC","EQ","13-Jan-2017","         14.90","         15.00","         15.00","         14.75","         14.90","         14.85","         14.82","     344189","             5100614.10","        522","     217876","         63.30"
"MIC","EQ","16-Jan-2017","         14.85","         14.85","         15.05","         14.70","         14.85","         14.85","         14.90","     302605","             4508621.45","        541","     176624","         58.37"
"MIC","EQ","17-Jan-2017","         14.85","         14.75","         15.00","         14.40","         14.55","         14.50","         14.68","    1728289","            25364204.80","       1817","     880808","         50.96"
"MIC","EQ","18-Jan-2017","         14.50","         15.00","         15.45","         14.80","         14.90","         14.90","         15.02","    2290440","            34409886.35","       4020","     696642","         30.42"
"MIC","EQ","19-Jan-2017","         14.90","         14.95","         15.00","         14.80","         14.90","         14.85","         14.86","     342027","             5081009.60","        595","     200130","         58.51"
"MIC","EQ","20-Jan-2017","         14.85","         14.85","         14.95","         14.30","         14.50","         14.45","         14.63","     710619","            10394392.85","       1161","     579610","         81.56"
"MIC","EQ","23-Jan-2017","         14.45","         14.50","         14.70","         14.45","         14.55","         14.55","         14.54","     450260","             6548329.65","        619","     302946","         67.28"
"MIC","EQ","24-Jan-2017","         14.55","         14.50","         15.20","         14.40","         14.75","         14.80","         14.80","     939907","            13908118.00","       1193","     437701","         46.57"
"MIC","EQ","25-Jan-2017","         14.80","         14.60","         14.90","         14.50","         14.60","         14.60","         14.69","    1274603","            18723375.40","       1607","     663671","         52.07"
"MIC","EQ","27-Jan-2017","         14.60","         14.70","         14.95","         14.45","         14.50","         14.65","         14.69","     955260","            14031955.90","       1054","     526447","         55.11"
"MIC","EQ","30-Jan-2017","         14.65","         14.70","         14.90","         14.50","         14.55","         14.55","         14.66","    1567061","            22979274.50","       2132","     685432","         43.74"
"MIC","EQ","31-Jan-2017","         14.55","         14.60","         14.75","         14.15","         14.25","         14.30","         14.47","    1136801","            16443983.95","       1274","     537405","         47.27"
