"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MITCON","SM","03-Apr-2017","         64.10","         63.10","         63.50","         63.10","         63.50","         63.50","         63.30","       4000","              253200.00","          2","       4000","        100.00"
"MITCON","SM","05-Apr-2017","         63.50","         65.95","         66.00","         65.95","         66.00","         66.00","         65.98","       4000","              263900.00","          2","       4000","        100.00"
"MITCON","SM","07-Apr-2017","         66.00","         67.95","         68.20","         67.95","         68.20","         68.20","         68.05","       6000","              408300.00","          3","       6000","        100.00"
"MITCON","SM","11-Apr-2017","         68.20","         68.00","         68.00","         64.85","         64.85","         65.10","         65.69","      10000","              656900.00","          5","      10000","        100.00"
"MITCON","SM","12-Apr-2017","         65.10","         62.00","         62.00","         62.00","         62.00","         62.00","         62.00","       2000","              124000.00","          1","       2000","        100.00"
"MITCON","SM","18-Apr-2017","         62.00","         64.20","         65.10","         64.20","         65.10","         65.10","         64.65","       4000","              258600.00","          2","       4000","        100.00"
"MITCON","SM","28-Apr-2017","         65.10","         67.90","         67.90","         66.50","         66.50","         66.50","         67.20","       4000","              268800.00","          2","       4000","        100.00"
"MITCON","SM","02-May-2017","         66.50","         63.50","         63.50","         63.50","         63.50","         63.50","         63.50","       2000","              127000.00","          1","       2000","        100.00"
"MITCON","SM","04-May-2017","         63.50","         63.30","         63.30","         63.20","         63.20","         63.25","         63.25","       4000","              253000.00","          2","       4000","        100.00"
"MITCON","SM","08-May-2017","         63.25","         60.50","         60.50","         60.50","         60.50","         60.50","         60.50","       2000","              121000.00","          1","       2000","        100.00"
"MITCON","SM","09-May-2017","         60.50","         60.30","         60.30","         60.30","         60.30","         60.30","         60.30","       2000","              120600.00","          1","       2000","        100.00"
"MITCON","SM","10-May-2017","         60.30","         63.30","         63.30","         63.30","         63.30","         63.30","         63.30","       2000","              126600.00","          1","       2000","        100.00"
"MITCON","SM","22-May-2017","         63.30","         66.45","         66.45","         66.45","         66.45","         66.45","         66.45","       2000","              132900.00","          1","       2000","        100.00"
"MITCON","SM","23-May-2017","         66.45","         64.30","         64.30","         63.20","         63.20","         63.90","         64.06","      10000","              640600.00","          5","      10000","        100.00"
"MITCON","SM","24-May-2017","         63.90","         60.90","         60.90","         60.90","         60.90","         60.90","         60.90","       2000","              121800.00","          1","       2000","        100.00"
"MITCON","SM","25-May-2017","         60.90","         61.50","         61.50","         58.50","         58.50","         58.50","         59.26","       8000","              474100.00","          3","       8000","        100.00"
"MITCON","SM","26-May-2017","         58.50","         55.75","         55.75","         55.75","         55.75","         55.75","         55.75","       2000","              111500.00","          1","       2000","        100.00"
"MITCON","SM","29-May-2017","         55.75","         58.10","         58.10","         57.80","         57.80","         57.80","         57.95","       4000","              231800.00","          2","       4000","        100.00"
"MITCON","SM","30-May-2017","         57.80","         60.65","         60.65","         60.65","         60.65","         60.65","         60.65","       2000","              121300.00","          1","       2000","        100.00"
"MITCON","SM","01-Jun-2017","         60.65","         63.65","         63.65","         63.65","         63.65","         63.65","         63.65","       2000","              127300.00","          1","       2000","        100.00"
"MITCON","SM","07-Jun-2017","         63.65","         66.70","         66.70","         63.00","         63.00","         63.00","         64.85","       4000","              259400.00","          2","       4000","        100.00"
"MITCON","SM","08-Jun-2017","         63.00","         65.00","         65.00","         65.00","         65.00","         65.00","         65.00","       2000","              130000.00","          1","       2000","        100.00"
"MITCON","SM","09-Jun-2017","         65.00","         67.50","         67.50","         67.50","         67.50","         67.50","         67.50","       2000","              135000.00","          1","       2000","        100.00"
"MITCON","SM","16-Jun-2017","         67.50","         67.00","         69.80","         67.00","         69.80","         69.80","         68.40","       4000","              273600.00","          2","       2000","         50.00"
"MITCON","SM","22-Jun-2017","         69.80","         66.55","         66.55","         66.55","         66.55","         66.55","         66.55","       4000","              266200.00","          2","       4000","        100.00"
"MITCON","SM","27-Jun-2017","         66.55","         69.80","         69.85","         69.80","         69.85","         69.85","         69.82","       6000","              418900.00","          3","       6000","        100.00"
"MITCON","SM","28-Jun-2017","         69.85","         67.30","         67.30","         66.70","         66.70","         67.10","         67.08","       6000","              402500.00","          3","       6000","        100.00"
