"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MOIL","EQ","03-Jul-2017","        319.20","        323.55","        326.30","        322.00","        325.00","        325.70","        324.96","     176440","            57336526.30","      12681","      81374","         46.12"
"MOIL","EQ","04-Jul-2017","        325.70","        325.70","        329.00","        323.55","        324.40","        325.10","        326.09","      85566","            27902057.80","       6467","      47411","         55.41"
"MOIL","EQ","05-Jul-2017","        325.10","        325.30","        329.35","        322.30","        326.25","        326.15","        326.46","     133668","            43636605.40","       4320","      94598","         70.77"
"MOIL","EQ","06-Jul-2017","        326.15","        326.90","        331.00","        325.00","        325.70","        326.60","        326.78","      85628","            27981640.05","       4221","      45606","         53.26"
"MOIL","EQ","07-Jul-2017","        326.60","        326.00","        326.60","        318.55","        321.00","        320.65","        322.25","     174465","            56220884.35","       8565","     131328","         75.27"
"MOIL","EQ","10-Jul-2017","        320.65","        320.00","        323.00","        319.05","        321.10","        320.80","        320.78","      53815","            17262895.05","       1521","      44296","         82.31"
"MOIL","EQ","11-Jul-2017","        320.80","        322.00","        323.90","        320.05","        321.60","        320.70","        322.06","     140921","            45384641.75","       6088","     104032","         73.82"
"MOIL","EQ","12-Jul-2017","        320.70","        320.25","        323.10","        319.60","        320.00","        319.90","        320.79","     138814","            44530250.95","       5947","     108429","         78.11"
"MOIL","EQ","13-Jul-2017","        319.90","        321.25","        323.05","        318.55","        319.00","        319.95","        320.57","     155427","            49824838.10","       4224","     117753","         75.76"
"MOIL","EQ","14-Jul-2017","        319.95","        320.00","        322.10","        318.00","        319.90","        319.90","        319.91","     147660","            47238014.35","       2406","     117914","         79.86"
"MOIL","EQ","17-Jul-2017","        319.90","        320.50","        323.45","        318.45","        319.35","        319.70","        320.61","      89338","            28642265.25","       2632","      58766","         65.78"
"MOIL","EQ","18-Jul-2017","        319.70","        319.70","        329.00","        319.40","        322.95","        322.05","        323.59","     113942","            36870472.00","       4135","      62141","         54.54"
"MOIL","EQ","19-Jul-2017","        322.05","        324.00","        330.95","        323.95","        330.25","        329.95","        327.51","     214395","            70216999.75","       6358","     138736","         64.71"
"MOIL","EQ","20-Jul-2017","        329.95","        331.00","        334.00","        327.00","        334.00","        332.00","        330.79","     179071","            59235284.15","       5399","     110731","         61.84"
"MOIL","EQ","21-Jul-2017","        332.00","        332.00","        336.00","        330.00","        331.30","        331.20","        332.80","     125217","            41672457.15","       3176","      61953","         49.48"
"MOIL","EQ","24-Jul-2017","        331.20","        330.00","        337.00","        330.00","        335.50","        334.50","        334.17","     102788","            34348705.35","       3533","      74893","         72.86"
"MOIL","EQ","25-Jul-2017","        334.50","        333.00","        335.60","        330.00","        333.00","        332.70","        332.36","      73121","            24302644.15","       2003","      44155","         60.39"
"MOIL","EQ","26-Jul-2017","        332.70","        333.00","        346.25","        331.10","        338.35","        338.30","        340.22","     382796","           130236145.45","       6795","     174363","         45.55"
"MOIL","EQ","27-Jul-2017","        338.30","        339.00","        342.00","        334.00","        336.55","        336.65","        339.22","     205014","            69544062.90","       4225","     138940","         67.77"
"MOIL","EQ","28-Jul-2017","        336.65","        335.60","        336.35","        330.00","        331.00","        331.00","        332.14","      71949","            23896949.45","       1813","      38550","         53.58"
"MOIL","EQ","31-Jul-2017","        331.00","        332.00","        360.95","        332.00","        353.10","        353.95","        348.50","     766362","           267077285.95","      12862","     394305","         51.45"
"MOIL","EQ","01-Aug-2017","        353.95","        353.25","        353.95","        337.65","        341.00","        340.75","        347.32","     367903","           127778282.65","       5241","     282674","         76.83"
"MOIL","EQ","02-Aug-2017","        340.75","        341.95","        346.50","        339.00","        339.20","        340.15","        342.88","     125103","            42895572.70","       2739","      72745","         58.15"
