"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MPSLTD","EQ","02-Jan-2017","        675.10","        676.00","        685.00","        670.05","        685.00","        680.45","        676.20","       1231","              832398.75","         93","       1044","         84.81"
"MPSLTD","EQ","03-Jan-2017","        680.45","        676.35","        691.00","        676.30","        684.95","        681.40","        683.69","        831","              568147.60","         91","        607","         73.04"
"MPSLTD","EQ","04-Jan-2017","        681.40","        677.00","        687.05","        671.20","        675.25","        677.05","        681.87","       1609","             1097132.30","         87","       1387","         86.20"
"MPSLTD","EQ","05-Jan-2017","        677.05","        672.00","        695.00","        672.00","        680.00","        680.15","        679.85","       2971","             2019839.75","        123","       2688","         90.47"
"MPSLTD","EQ","06-Jan-2017","        680.15","        674.05","        693.45","        674.05","        693.45","        684.90","        683.99","       3336","             2281782.65","        149","       2518","         75.48"
"MPSLTD","EQ","09-Jan-2017","        684.90","        701.10","        720.00","        691.00","        694.65","        694.80","        702.02","       9505","             6672676.60","        379","       7483","         78.73"
"MPSLTD","EQ","10-Jan-2017","        694.80","        700.85","        703.00","        686.00","        687.00","        689.05","        690.93","       2010","             1388771.60","        147","       1852","         92.14"
"MPSLTD","EQ","11-Jan-2017","        689.05","        704.70","        704.70","        688.00","        692.95","        691.20","        692.59","       3791","             2625616.85","        206","       3106","         81.93"
"MPSLTD","EQ","12-Jan-2017","        691.20","        690.00","        708.00","        687.95","        705.00","        701.45","        699.24","       5394","             3771674.35","        168","       4962","         91.99"
"MPSLTD","EQ","13-Jan-2017","        701.45","        705.00","        708.00","        698.00","        701.05","        703.25","        703.42","       6639","             4670020.50","        431","       4752","         71.58"
"MPSLTD","EQ","16-Jan-2017","        703.25","        715.00","        773.75","        714.00","        742.00","        743.60","        746.10","      51653","            38538237.70","       3300","      20658","         39.99"
"MPSLTD","EQ","17-Jan-2017","        743.60","        750.00","        770.00","        746.60","        756.15","        760.75","        758.07","      18530","            14046948.55","       1060","      10851","         58.56"
"MPSLTD","EQ","18-Jan-2017","        760.75","        760.00","        765.00","        752.00","        752.00","        756.55","        760.03","       5550","             4218163.35","        334","       4246","         76.50"
"MPSLTD","EQ","19-Jan-2017","        756.55","        753.00","        768.80","        749.10","        751.00","        751.00","        753.25","       2887","             2174633.30","        301","       1947","         67.44"
"MPSLTD","EQ","20-Jan-2017","        751.00","        750.00","        758.00","        741.00","        742.75","        744.50","        747.32","       3190","             2383957.95","        282","       2208","         69.22"
"MPSLTD","EQ","23-Jan-2017","        744.50","        758.00","        758.00","        736.00","        736.00","        736.25","        745.69","       3378","             2518937.35","        295","       2148","         63.59"
"MPSLTD","EQ","24-Jan-2017","        736.25","        727.00","        747.95","        727.00","        739.00","        739.00","        741.39","       3141","             2328702.85","        156","       2510","         79.91"
"MPSLTD","EQ","25-Jan-2017","        739.00","        739.45","        749.00","        706.00","        706.00","        710.65","        722.91","      30013","            21696590.60","       1583","      17696","         58.96"
"MPSLTD","EQ","27-Jan-2017","        710.65","        710.65","        719.80","        676.65","        684.00","        681.10","        688.12","      25683","            17672967.30","       1334","      18312","         71.30"
"MPSLTD","EQ","30-Jan-2017","        681.10","        690.00","        690.00","        668.70","        671.00","        674.80","        674.43","       3915","             2640409.75","        339","       2795","         71.39"
"MPSLTD","EQ","31-Jan-2017","        674.80","        671.50","        679.00","        660.00","        660.00","        664.75","        670.12","       7158","             4796730.75","        706","       4188","         58.51"
"MPSLTD","EQ","01-Feb-2017","        664.75","        656.00","        669.70","        651.00","        652.75","        656.15","        656.45","       5592","             3670854.10","        665","       3244","         58.01"
