"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MRO-TEK","EQ","02-Jan-2017","         60.05","         63.00","         63.00","         59.25","         62.45","         61.80","         61.28","      19998","             1225431.15","        196","      13224","         66.13"
"MRO-TEK","EQ","03-Jan-2017","         61.80","         61.25","         61.80","         60.30","         60.55","         60.75","         60.87","       7527","              458193.00","        171","       5138","         68.26"
"MRO-TEK","EQ","04-Jan-2017","         60.75","         62.00","         62.00","         59.00","         59.50","         59.50","         59.97","      16010","              960184.55","        211","      10792","         67.41"
"MRO-TEK","EQ","05-Jan-2017","         59.50","         60.80","         60.80","         59.10","         59.10","         59.75","         60.01","       9348","              560957.45","        122","       6712","         71.80"
"MRO-TEK","EQ","06-Jan-2017","         59.75","         60.00","         60.15","         58.15","         59.00","         58.70","         59.25","       6922","              410107.20","        120","       5080","         73.39"
"MRO-TEK","EQ","09-Jan-2017","         58.70","         57.10","         63.90","         57.10","         61.50","         60.45","         61.17","      38855","             2376572.55","        504","      17037","         43.85"
"MRO-TEK","EQ","10-Jan-2017","         60.45","         60.50","         61.45","         59.20","         60.25","         60.00","         60.04","      13822","              829938.35","        110","      11665","         84.39"
"MRO-TEK","EQ","11-Jan-2017","         60.00","         59.20","         61.15","         59.00","         60.80","         60.65","         60.57","      19795","             1199014.55","         97","      16459","         83.15"
"MRO-TEK","EQ","12-Jan-2017","         60.65","         60.80","         62.05","         60.10","         61.80","         61.75","         60.97","      81163","             4948526.05","        220","      71703","         88.34"
"MRO-TEK","EQ","13-Jan-2017","         61.75","         61.40","         62.65","         60.00","         61.90","         61.30","         61.51","      28508","             1753431.90","        183","      22548","         79.09"
"MRO-TEK","EQ","16-Jan-2017","         61.30","         61.30","         66.00","         60.30","         61.00","         61.00","         61.16","      11678","              714227.65","         73","       9720","         83.23"
"MRO-TEK","EQ","17-Jan-2017","         61.00","         61.00","         62.20","         61.00","         62.00","         61.95","         61.57","      17843","             1098511.35","         99","      16286","         91.27"
"MRO-TEK","EQ","18-Jan-2017","         61.95","         61.60","         62.50","         61.00","         62.00","         62.00","         61.87","      10793","              667776.70","         86","      10232","         94.80"
"MRO-TEK","EQ","19-Jan-2017","         62.00","         60.10","         62.75","         60.10","         62.00","         61.90","         61.53","      11681","              718766.85","         74","       9920","         84.92"
"MRO-TEK","EQ","20-Jan-2017","         61.90","         60.35","         63.45","         60.35","         62.50","         62.55","         62.26","      29991","             1867144.55","        239","      24143","         80.50"
"MRO-TEK","EQ","23-Jan-2017","         62.55","         60.75","         63.55","         60.00","         63.50","         63.35","         62.81","      12769","              802010.95","        157","       9638","         75.48"
"MRO-TEK","EQ","24-Jan-2017","         63.35","         65.40","         65.40","         63.20","         64.00","         63.65","         63.84","      10819","              690725.65","        107","       9079","         83.92"
"MRO-TEK","EQ","25-Jan-2017","         63.65","         62.15","         64.10","         62.10","         64.00","         63.80","         63.58","      18285","             1162553.75","        142","      14853","         81.23"
"MRO-TEK","EQ","27-Jan-2017","         63.80","         63.00","         64.25","         62.20","         64.00","         63.85","         63.26","      12041","              761752.65","        120","      11565","         96.05"
"MRO-TEK","EQ","30-Jan-2017","         63.85","         63.05","         64.00","         62.15","         63.25","         63.45","         63.26","      12083","              764386.75","         98","       8921","         73.83"
"MRO-TEK","EQ","31-Jan-2017","         63.45","         63.10","         63.10","         60.25","         60.55","         60.90","         61.15","      21138","             1292531.90","        113","      13953","         66.01"
"MRO-TEK","EQ","01-Feb-2017","         60.90","         61.00","         62.75","         59.50","         62.55","         61.70","         60.69","       5321","              322921.70","         65","       4189","         78.73"
"MRO-TEK","EQ","02-Feb-2017","         61.70","         61.00","         62.50","         60.10","         61.00","         61.00","         61.06","       4509","              275301.75","         64","       3251","         72.10"
"MRO-TEK","EQ","03-Feb-2017","         61.00","         62.30","         63.25","         60.30","         61.05","         61.05","         61.22","      14479","              886383.25","        104","      12770","         88.20"
"MRO-TEK","EQ","06-Feb-2017","         61.05","         60.50","         65.00","         60.15","         61.50","         61.80","         62.54","      24001","             1501097.50","        230","      16860","         70.25"
"MRO-TEK","EQ","07-Feb-2017","         61.80","         62.50","         64.50","         62.00","         64.00","         63.80","         63.55","      18212","             1157384.90","        163","      14155","         77.72"
