"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MADHAV","EQ","03-Apr-2017","         65.90","         66.45","         67.40","         66.00","         66.50","         66.70","         66.60","      19666","             1309703.35","        232","      10735","         54.59"
"MADHAV","EQ","05-Apr-2017","         66.70","         71.40","         71.40","         66.70","         66.70","         67.15","         67.96","      22051","             1498565.55","        270","      13016","         59.03"
"MADHAV","EQ","06-Apr-2017","         67.15","         67.05","         67.95","         66.65","         66.70","         66.90","         67.12","      11901","              798764.00","        123","       9762","         82.03"
"MADHAV","EQ","07-Apr-2017","         66.90","         67.75","         67.95","         66.00","         66.65","         66.95","         67.24","      25528","             1716450.65","        226","      15830","         62.01"
"MADHAV","EQ","10-Apr-2017","         66.95","         67.00","         68.75","         66.35","         68.40","         67.65","         67.60","      25273","             1708427.65","        216","      16402","         64.90"
"MADHAV","EQ","11-Apr-2017","         67.65","         67.20","         68.50","         66.00","         66.40","         66.65","         67.29","      24178","             1626967.40","        214","      18736","         77.49"
"MADHAV","EQ","12-Apr-2017","         66.65","         68.80","         71.80","         68.80","         70.20","         70.10","         70.22","     103454","             7264110.55","        862","      58826","         56.86"
"MADHAV","EQ","13-Apr-2017","         70.10","         71.95","         72.00","         70.00","         71.00","         70.65","         70.88","      44639","             3164206.90","        493","      23600","         52.87"
"MADHAV","EQ","17-Apr-2017","         70.65","         69.00","         71.45","         69.00","         70.40","         70.25","         70.14","      14728","             1033087.60","        243","       9971","         67.70"
"MADHAV","EQ","18-Apr-2017","         70.25","         71.90","         72.90","         65.00","         66.70","         66.65","         69.20","      50156","             3470629.95","        532","      31324","         62.45"
"MADHAV","EQ","19-Apr-2017","         66.65","         66.45","         68.60","         66.00","         66.85","         66.85","         67.28","      21786","             1465700.75","        277","      10029","         46.03"
"MADHAV","EQ","20-Apr-2017","         66.85","         69.00","         69.80","         67.30","         69.75","         69.40","         69.23","      15178","             1050736.95","        159","      12721","         83.81"
"MADHAV","EQ","21-Apr-2017","         69.40","         69.55","         70.00","         67.50","         68.15","         68.15","         68.97","      20492","             1413284.65","        178","      14295","         69.76"
"MADHAV","EQ","24-Apr-2017","         68.15","         69.80","         70.00","         65.45","         67.30","         67.45","         67.62","      24082","             1628420.80","        299","      16551","         68.73"
"MADHAV","EQ","25-Apr-2017","         67.45","         67.25","         69.05","         67.25","         68.50","         68.65","         68.39","       6756","              462032.00","        132","       4721","         69.88"
"MADHAV","EQ","26-Apr-2017","         68.65","         68.00","         69.95","         67.30","         69.60","         68.95","         68.90","      17935","             1235674.65","        179","      14322","         79.86"
"MADHAV","EQ","27-Apr-2017","         68.95","         68.00","         70.00","         68.00","         68.75","         69.15","         69.18","      13723","              949362.25","        153","      10060","         73.31"
"MADHAV","EQ","28-Apr-2017","         69.15","         68.00","         69.75","         68.00","         68.30","         68.70","         68.92","       8526","              587636.20","        132","       7224","         84.73"
"MADHAV","EQ","02-May-2017","         68.70","         68.70","         71.00","         68.00","         69.75","         69.95","         69.87","      17899","             1250537.55","        171","      15572","         87.00"
"MADHAV","EQ","03-May-2017","         69.95","         70.30","         75.00","         70.05","         74.90","         73.95","         72.90","      80502","             5868355.70","        498","      63477","         78.85"
"MADHAV","EQ","04-May-2017","         73.95","         78.80","         79.50","         74.15","         74.25","         74.80","         76.33","     142525","            10878642.60","       1535","      66011","         46.32"
"MADHAV","EQ","05-May-2017","         74.80","         75.00","         75.00","         70.70","         71.75","         71.45","         71.83","      24468","             1757644.70","        485","      14595","         59.65"
"MADHAV","EQ","08-May-2017","         71.45","         71.50","         79.00","         71.50","         75.10","         75.70","         75.53","      90133","             6808021.55","        966","      56313","         62.48"
"MADHAV","EQ","09-May-2017","         75.70","         76.00","         76.80","         74.05","         74.50","         74.55","         74.72","      13430","             1003484.05","        210","       9591","         71.41"
"MADHAV","EQ","10-May-2017","         74.55","         74.50","         77.90","         73.75","         76.00","         75.50","         75.72","      46267","             3503430.70","        476","      31556","         68.20"
"MADHAV","EQ","11-May-2017","         75.50","         76.85","         78.70","         75.45","         75.85","         75.95","         76.81","      67380","             5175350.25","        584","      34151","         50.68"
