"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MAHESHWARI","SM","16-Jan-2017","         68.00","         71.80","         78.90","         70.40","         76.35","         76.35","         72.88","    2176000","           158581100.00","       1006","    1376000","         63.24"
"MAHESHWARI","SM","17-Jan-2017","         76.35","         76.40","         82.70","         76.40","         78.30","         78.65","         79.64","     448000","            35677100.00","        220","     276000","         61.61"
"MAHESHWARI","SM","18-Jan-2017","         78.65","         78.30","         78.50","         74.00","         74.15","         74.60","         76.01","     152000","            11553500.00","         75","     112000","         73.68"
"MAHESHWARI","SM","19-Jan-2017","         74.60","         74.30","         76.80","         73.80","         74.75","         75.35","         75.44","      96000","             7242000.00","         48","      64000","         66.67"
"MAHESHWARI","SM","20-Jan-2017","         75.35","         75.00","         78.00","         74.05","         76.30","         75.30","         75.98","     130000","             9876900.00","         63","      94000","         72.31"
"MAHESHWARI","SM","23-Jan-2017","         75.30","         76.60","         77.90","         76.50","         76.55","         77.20","         77.26","      76000","             5871500.00","         38","      52000","         68.42"
"MAHESHWARI","SM","24-Jan-2017","         77.20","         78.00","         78.00","         76.50","         76.50","         76.50","         76.96","      46000","             3540200.00","         19","      16000","         34.78"
"MAHESHWARI","SM","25-Jan-2017","         76.50","         77.90","         77.90","         75.85","         76.05","         76.05","         76.53","      24000","             1836800.00","         12","      20000","         83.33"
"MAHESHWARI","SM","27-Jan-2017","         76.05","         76.00","         76.30","         75.00","         76.30","         75.70","         75.64","      34000","             2571900.00","         17","      32000","         94.12"
"MAHESHWARI","SM","30-Jan-2017","         75.70","         76.00","         76.00","         74.50","         75.90","         75.60","         75.34","      24000","             1808200.00","         12","      24000","        100.00"
"MAHESHWARI","SM","31-Jan-2017","         75.60","         73.10","         75.30","         73.10","         75.00","         75.00","         74.36","      10000","              743600.00","          5","       8000","         80.00"
