"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MANINDS","EQ","03-Jul-2017","         76.05","         76.55","         78.90","         75.35","         76.65","         76.70","         76.98","     415353","            31975865.35","       3307","     194178","         46.75"
"MANINDS","EQ","04-Jul-2017","         76.70","         76.75","         77.50","         74.65","         76.20","         75.50","         76.09","     338611","            25764679.55","       1975","     184549","         54.50"
"MANINDS","EQ","05-Jul-2017","         75.50","         76.20","         79.40","         75.90","         78.45","         78.35","         78.00","     540163","            42133256.30","       2800","     271201","         50.21"
"MANINDS","EQ","06-Jul-2017","         78.35","         78.70","         81.50","         78.15","         81.25","         81.20","         80.68","    1400124","           112961829.40","       5200","     919199","         65.65"
"MANINDS","EQ","07-Jul-2017","         81.20","         81.50","         82.80","         79.70","         80.15","         80.85","         81.29","     608701","            49481978.10","       3393","     294606","         48.40"
"MANINDS","EQ","10-Jul-2017","         80.85","         80.00","         81.75","         79.00","         79.40","         79.50","         79.74","     103478","             8250912.40","        437","      69844","         67.50"
"MANINDS","EQ","11-Jul-2017","         79.50","         80.40","         80.40","         76.00","         77.00","         76.25","         77.40","     416747","            32257851.45","       2310","     274419","         65.85"
"MANINDS","EQ","12-Jul-2017","         76.25","         76.90","         82.40","         76.50","         81.80","         81.75","         80.44","    1477161","           118819109.70","       5316","     914999","         61.94"
"MANINDS","EQ","13-Jul-2017","         81.75","         82.55","         85.00","         82.50","         83.50","         84.00","         84.08","    1769928","           148815198.40","       6899","     740686","         41.85"
"MANINDS","EQ","14-Jul-2017","         84.00","         83.90","         84.00","         79.60","         81.70","         81.65","         81.77","     915468","            74854739.75","       3908","     502870","         54.93"
"MANINDS","EQ","17-Jul-2017","         81.65","         81.50","         87.95","         81.10","         87.00","         86.80","         85.95","    1763464","           151564805.85","       9493","     646069","         36.64"
"MANINDS","EQ","18-Jul-2017","         86.80","         89.90","         98.90","         89.00","         93.90","         93.60","         94.60","    8382556","           792987123.40","      46927","    2529338","         30.17"
"MANINDS","EQ","19-Jul-2017","         93.60","         94.45","         98.15","         94.40","         95.60","         95.65","         96.32","    2299212","           221461967.75","      14124","     584218","         25.41"
"MANINDS","EQ","20-Jul-2017","         95.65","         95.95","         96.75","         93.30","         93.90","         93.75","         94.77","     824387","            78130521.35","       6444","     335669","         40.72"
"MANINDS","EQ","21-Jul-2017","         93.75","         94.00","         94.90","         90.00","         91.75","         91.85","         92.24","     799774","            73767386.35","       6091","     340653","         42.59"
"MANINDS","EQ","24-Jul-2017","         91.85","         91.00","         97.50","         91.00","         95.20","         94.75","         95.15","    1155884","           109987229.60","       7336","     397788","         34.41"
"MANINDS","EQ","25-Jul-2017","         94.75","         95.40","         95.65","         93.25","         94.00","         93.90","         94.15","     496160","            46713902.30","       3727","     199677","         40.24"
"MANINDS","EQ","26-Jul-2017","         93.90","         94.50","         97.85","         93.10","         96.85","         97.00","         95.97","    1155787","           110920794.45","       7486","     512927","         44.38"
"MANINDS","EQ","27-Jul-2017","         97.00","         97.45","         98.25","         93.25","         93.60","         93.75","         95.60","     666411","            63707083.50","       5560","     296182","         44.44"
