"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MANAKCOAT","EQ","03-Apr-2017","         11.95","         11.80","         11.95","         11.50","         11.95","         11.75","         11.72","      25951","              304025.15","         82","      15411","         59.38"
"MANAKCOAT","EQ","05-Apr-2017","         11.75","         11.80","         12.00","         11.30","         11.55","         11.55","         11.67","      66511","              775945.90","        111","      60949","         91.64"
"MANAKCOAT","EQ","06-Apr-2017","         11.55","         11.50","         11.85","         11.30","         11.35","         11.45","         11.61","      52409","              608474.30","        124","      47728","         91.07"
"MANAKCOAT","EQ","07-Apr-2017","         11.45","         10.50","         11.90","         10.50","         11.15","         11.15","         11.24","      36806","              413649.95","        109","      31986","         86.90"
"MANAKCOAT","EQ","10-Apr-2017","         11.15","         10.90","         11.60","         10.90","         11.20","         11.20","         11.31","      62641","              708363.75","        100","      49359","         78.80"
"MANAKCOAT","EQ","11-Apr-2017","         11.20","         11.50","         12.00","         11.50","         11.60","         11.80","         11.77","      73640","              866594.00","        134","      65054","         88.34"
"MANAKCOAT","EQ","12-Apr-2017","         11.80","         11.30","         11.70","         11.10","         11.30","         11.30","         11.39","       7140","               81292.55","         37","       7004","         98.10"
"MANAKCOAT","EQ","13-Apr-2017","         11.30","         11.20","         11.65","         10.65","         11.30","         11.05","         11.04","      26608","              293836.40","         63","      19005","         71.43"
"MANAKCOAT","EQ","17-Apr-2017","         11.05","         11.05","         11.25","         10.90","         11.00","         11.05","         11.02","      29365","              323624.80","         55","      28766","         97.96"
"MANAKCOAT","EQ","18-Apr-2017","         11.05","         11.90","         11.90","         10.30","         10.30","         10.50","         10.87","      32263","              350855.05","         80","      30551","         94.69"
"MANAKCOAT","EQ","19-Apr-2017","         10.50","         10.30","         10.95","         10.30","         10.45","         10.70","         10.54","       6479","               68315.50","         35","       5351","         82.59"
"MANAKCOAT","EQ","20-Apr-2017","         10.70","         11.20","         11.20","         10.35","         10.70","         10.70","         10.43","      20712","              216025.80","         47","      16539","         79.85"
"MANAKCOAT","EQ","21-Apr-2017","         10.70","         10.70","         11.25","         10.15","         10.20","         10.15","         10.29","      20602","              211920.75","         67","      16410","         79.65"
"MANAKCOAT","EQ","24-Apr-2017","         10.15","         10.05","         10.60","         10.00","         10.45","         10.25","         10.22","       5727","               58549.65","         44","       5207","         90.92"
"MANAKCOAT","EQ","25-Apr-2017","         10.25","         10.00","         10.50","         10.00","         10.30","         10.25","         10.15","      24149","              245129.35","        108","      17446","         72.24"
"MANAKCOAT","EQ","26-Apr-2017","         10.25","         10.30","         10.30","          9.50","          9.80","          9.80","          9.81","      30691","              301183.70","         94","      26199","         85.36"
"MANAKCOAT","EQ","27-Apr-2017","          9.80","          9.80","         10.25","          9.55","         10.25","         10.10","          9.97","       8535","               85101.50","         45","       7885","         92.38"
"MANAKCOAT","EQ","28-Apr-2017","         10.10","          9.25","         10.10","          9.25","          9.70","          9.75","          9.83","      15843","              155779.30","         66","      11772","         74.30"
"MANAKCOAT","EQ","02-May-2017","          9.75","         10.35","         10.35","          9.30","         10.05","          9.90","          9.84","      43030","              423327.15","        119","       8480","         19.71"
"MANAKCOAT","EQ","03-May-2017","          9.90","          9.50","         10.40","          9.50","          9.70","          9.75","          9.74","      21430","              208775.20","         59","      14944","         69.73"
"MANAKCOAT","EQ","04-May-2017","          9.75","          9.70","         10.00","          9.55","         10.00","         10.00","          9.92","      10192","              101133.80","         33","       9238","         90.64"
"MANAKCOAT","EQ","05-May-2017","         10.00","         10.00","         10.20","          9.60","          9.65","          9.95","          9.96","      13303","              132556.60","         65","       9369","         70.43"
"MANAKCOAT","EQ","08-May-2017","          9.95","          9.30","          9.90","          9.30","          9.60","          9.65","          9.65","       4454","               42993.70","         24","       3838","         86.17"
"MANAKCOAT","EQ","09-May-2017","          9.65","          9.65","         10.25","          9.50","          9.70","          9.70","          9.68","       7703","               74568.85","         56","       4584","         59.51"
"MANAKCOAT","EQ","10-May-2017","          9.70","          9.50","         10.00","          9.05","         10.00","          9.90","          9.64","      35938","              346557.75","        122","      22847","         63.57"
"MANAKCOAT","EQ","11-May-2017","          9.90","         10.15","         10.85","         10.00","         10.85","         10.85","         10.69","      57196","              611484.30","        113","      49385","         86.34"
"MANAKCOAT","EQ","12-May-2017","         10.85","         11.05","         11.80","         10.15","         10.25","         10.25","         10.67","      37097","              395672.20","         89","      33294","         89.75"
"MANAKCOAT","EQ","15-May-2017","         10.25","         10.30","         11.25","         10.30","         10.90","         11.10","         11.04","     123326","             1361443.00","        184","      92018","         74.61"
"MANAKCOAT","EQ","16-May-2017","         11.10","         11.65","         11.65","         10.35","         10.55","         10.60","         10.74","      32088","              344481.95","        115","      22823","         71.13"
"MANAKCOAT","EQ","17-May-2017","         10.60","         10.55","         10.85","         10.35","         10.35","         10.35","         10.42","       9081","               94580.20","         48","       8926","         98.29"
"MANAKCOAT","EQ","18-May-2017","         10.35","         10.35","         11.35","          9.40","         10.20","         10.00","         10.53","      77267","              813835.75","        141","      35322","         45.71"
"MANAKCOAT","EQ","19-May-2017","         10.00","         10.30","         10.30","          9.05","          9.55","          9.45","          9.52","      56755","              540365.00","        196","      38633","         68.07"
"MANAKCOAT","EQ","22-May-2017","          9.45","          9.55","          9.85","          9.10","          9.15","          9.25","          9.34","      30376","              283719.95","         73","      24960","         82.17"
"MANAKCOAT","EQ","23-May-2017","          9.25","          9.45","          9.45","          8.60","          9.10","          9.20","          8.99","      24119","              216809.25","         95","      15950","         66.13"
"MANAKCOAT","EQ","24-May-2017","          9.20","          9.80","          9.80","          8.60","          9.05","          9.05","          9.08","       9797","               88910.70","         48","       6891","         70.34"
"MANAKCOAT","EQ","25-May-2017","          9.05","          9.25","          9.35","          8.85","          8.85","          8.85","          8.94","      18741","              167617.90","         50","      18170","         96.95"
"MANAKCOAT","EQ","26-May-2017","          8.85","          8.35","          9.20","          8.35","          9.20","          9.00","          8.76","      40634","              355859.70","         60","      23568","         58.00"
"MANAKCOAT","EQ","29-May-2017","          9.00","          8.75","          9.00","          8.75","          8.80","          9.00","          8.91","       9426","               83978.45","         24","       8300","         88.05"
"MANAKCOAT","EQ","30-May-2017","          9.00","          8.80","          9.05","          8.65","          8.65","          8.70","          8.97","      37122","              332883.50","         26","      34882","         93.97"
"MANAKCOAT","EQ","31-May-2017","          8.70","          8.70","          9.10","          8.70","          8.95","          8.85","          8.84","      10949","               96794.30","         44","      10327","         94.32"
"MANAKCOAT","EQ","01-Jun-2017","          8.85","          8.90","          9.45","          8.75","          8.90","          8.90","          8.98","      18638","              167368.50","         46","      11730","         62.94"
"MANAKCOAT","EQ","02-Jun-2017","          8.90","          9.20","          9.20","          8.80","          9.00","          8.80","          8.89","       3353","               29798.70","         23","       2824","         84.22"
"MANAKCOAT","EQ","05-Jun-2017","          8.80","          8.70","          9.25","          8.65","          9.05","          9.05","          9.03","       2448","               22106.60","         37","       2090","         85.38"
"MANAKCOAT","EQ","06-Jun-2017","          9.05","          9.00","          9.00","          8.70","          8.85","          8.75","          8.81","       6286","               55405.30","         31","       4964","         78.97"
"MANAKCOAT","EQ","07-Jun-2017","          8.75","          9.00","          9.45","          8.70","          9.40","          9.35","          9.15","      21855","              200073.85","         62","      17104","         78.26"
"MANAKCOAT","EQ","08-Jun-2017","          9.35","          9.45","          9.45","          8.95","          9.10","          9.00","          9.08","       4838","               43942.50","         26","       3131","         64.72"
"MANAKCOAT","EQ","09-Jun-2017","          9.00","          9.00","          9.30","          9.00","          9.05","          9.05","          9.20","       5476","               50362.55","         18","       5115","         93.41"
"MANAKCOAT","EQ","12-Jun-2017","          9.05","          9.35","          9.35","          9.00","          9.00","          9.00","          9.13","       4549","               41542.20","         23","       2693","         59.20"
"MANAKCOAT","EQ","13-Jun-2017","          9.00","          9.30","          9.35","          9.05","          9.10","          9.10","          9.27","       8883","               82328.60","         25","       6223","         70.06"
"MANAKCOAT","EQ","14-Jun-2017","          9.10","          9.00","          9.10","          9.00","          9.10","          9.10","          9.01","       1000","                9008.70","          7","       1000","        100.00"
"MANAKCOAT","EQ","15-Jun-2017","          9.10","          8.85","          9.25","          8.85","          9.00","          9.00","          9.13","       7171","               65455.75","         43","       5029","         70.13"
"MANAKCOAT","EQ","16-Jun-2017","          9.00","          9.45","          9.90","          9.10","          9.10","          9.10","          9.41","       9375","               88238.25","         54","       4186","         44.65"
"MANAKCOAT","EQ","19-Jun-2017","          9.10","          9.20","          9.35","          8.95","          8.95","          9.00","          9.04","      13561","              122639.90","         52","      11662","         86.00"
"MANAKCOAT","EQ","20-Jun-2017","          9.00","          8.95","          9.20","          8.50","          8.90","          8.90","          8.86","      25071","              222169.95","         33","      24649","         98.32"
"MANAKCOAT","EQ","21-Jun-2017","          8.90","          8.90","          8.90","          8.60","          8.60","          8.60","          8.77","      16637","              145960.50","         29","      15880","         95.45"
"MANAKCOAT","EQ","22-Jun-2017","          8.60","          8.60","          9.10","          8.60","          8.80","          8.80","          8.81","      11258","               99206.45","         34","       9238","         82.06"
"MANAKCOAT","EQ","23-Jun-2017","          8.80","          8.60","          8.90","          8.40","          8.50","          8.50","          8.60","       5690","               48958.70","         29","       4595","         80.76"
"MANAKCOAT","EQ","27-Jun-2017","          8.50","          8.25","          9.35","          8.25","          9.00","          9.05","          8.98","      47560","              427124.85","        122","      36183","         76.08"
"MANAKCOAT","EQ","28-Jun-2017","          9.05","          9.10","          9.30","          8.80","          9.10","          8.90","          9.09","      22022","              200082.05","         57","      18296","         83.08"
"MANAKCOAT","EQ","29-Jun-2017","          8.90","          9.10","          9.25","          8.85","          9.05","          9.05","          9.13","      16108","              147018.95","         47","      13353","         82.90"
"MANAKCOAT","EQ","30-Jun-2017","          9.05","          8.90","         10.85","          8.90","         10.70","         10.45","         10.62","      92391","              980802.55","        185","      52559","         56.89"
