"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MARALOVER","EQ","03-Jul-2017","         43.65","         43.50","         45.00","         43.00","         44.05","         44.05","         43.89","      20831","              914331.30","        133","      13720","         65.86"
"MARALOVER","EQ","04-Jul-2017","         44.05","         44.30","         44.80","         43.55","         43.80","         44.20","         44.34","      20073","              889983.40","        109","      10857","         54.09"
"MARALOVER","EQ","05-Jul-2017","         44.20","         44.95","         45.00","         44.00","         44.65","         44.65","         44.49","      23128","             1029036.85","        110","      17220","         74.46"
"MARALOVER","EQ","06-Jul-2017","         44.65","         44.50","         45.25","         44.50","         45.00","         44.85","         44.94","      18028","              810192.60","         72","      15739","         87.30"
"MARALOVER","EQ","07-Jul-2017","         44.85","         45.35","         46.90","         45.15","         45.40","         45.60","         45.80","      41077","             1881255.70","        272","      28857","         70.25"
"MARALOVER","EQ","10-Jul-2017","         45.60","         45.00","         45.60","         44.45","         44.65","         44.95","         44.76","       2818","              126130.15","         25","       1467","         52.06"
"MARALOVER","EQ","11-Jul-2017","         44.95","         45.70","         45.90","         44.65","         44.90","         45.00","         45.18","      21718","              981121.65","        145","      15681","         72.20"
"MARALOVER","EQ","12-Jul-2017","         45.00","         44.85","         45.50","         44.45","         45.15","         44.90","         44.86","       8682","              389478.05","         83","       5660","         65.19"
"MARALOVER","EQ","13-Jul-2017","         44.90","         44.90","         46.15","         44.25","         45.50","         45.55","         45.13","      38724","             1747533.90","        221","      20026","         51.71"
"MARALOVER","EQ","14-Jul-2017","         45.55","         45.95","         45.95","         44.30","         44.30","         44.35","         44.65","      11486","              512884.20","         72","      11124","         96.85"
"MARALOVER","EQ","17-Jul-2017","         44.35","         44.10","         44.65","         44.00","         44.30","         44.45","         44.32","      18163","              804908.50","        101","      15861","         87.33"
"MARALOVER","EQ","18-Jul-2017","         44.45","         43.25","         45.00","         43.25","         43.90","         43.90","         43.85","       9347","              409903.90","         85","       5714","         61.13"
"MARALOVER","EQ","19-Jul-2017","         43.90","         44.90","         44.90","         43.00","         43.70","         43.65","         43.58","      18308","              797948.30","        106","      15235","         83.21"
"MARALOVER","EQ","20-Jul-2017","         43.65","         43.85","         44.00","         42.30","         42.40","         42.45","         42.79","      27330","             1169465.30","        223","      14561","         53.28"
"MARALOVER","EQ","21-Jul-2017","         42.45","         43.00","         44.65","         41.50","         42.15","         42.00","         42.53","      39569","             1683053.05","        221","      26108","         65.98"
"MARALOVER","EQ","24-Jul-2017","         42.00","         42.95","         43.45","         41.50","         41.60","         41.95","         41.97","      47125","             1977761.00","        193","      36943","         78.39"
"MARALOVER","EQ","25-Jul-2017","         41.95","         41.00","         42.65","         41.00","         41.75","         41.60","         42.05","      31592","             1328557.95","        187","      13837","         43.80"
"MARALOVER","EQ","26-Jul-2017","         41.60","         42.35","         45.00","         41.25","         43.20","         43.20","         44.16","      80655","             3561494.90","        645","      34442","         42.70"
"MARALOVER","EQ","27-Jul-2017","         43.20","         43.85","         43.85","         41.70","         42.00","         41.95","         42.51","      14986","              637002.15","        174","       7768","         51.84"
"MARALOVER","EQ","28-Jul-2017","         41.95","         41.50","         44.00","         40.90","         43.00","         42.95","         41.91","      34797","             1458466.40","        266","      25307","         72.73"
"MARALOVER","EQ","31-Jul-2017","         42.95","         43.60","         44.60","         42.30","         42.35","         42.35","         43.17","      18993","              819892.25","        157","      17044","         89.74"
"MARALOVER","EQ","01-Aug-2017","         42.35","         42.35","         43.45","         41.10","         41.70","         41.65","         42.06","      19924","              837922.05","        183","      15631","         78.45"
"MARALOVER","EQ","02-Aug-2017","         41.65","         42.50","         42.60","         39.65","         39.70","         40.00","         40.28","      45002","             1812666.20","        309","      30338","         67.41"
"MARALOVER","EQ","03-Aug-2017","         40.00","         40.00","         40.60","         39.00","         39.20","         39.15","         39.62","      15554","              616224.15","        141","      11029","         70.91"
"MARALOVER","EQ","04-Aug-2017","         39.15","         39.15","         40.05","         38.20","         38.65","         39.15","         38.79","      23782","              922568.40","        183","      16785","         70.58"
"MARALOVER","EQ","07-Aug-2017","         39.15","         39.00","         40.50","         38.50","         40.45","         40.35","         39.70","       9973","              395895.20","        142","       7529","         75.49"
"MARALOVER","EQ","08-Aug-2017","         40.35","         41.35","         41.35","         39.35","         39.95","         39.85","         39.84","      17501","              697193.80","        152","      15459","         88.33"
"MARALOVER","EQ","09-Aug-2017","         39.85","         39.85","         41.05","         33.35","         34.75","         34.65","         36.10","      81896","             2956712.75","        532","      47193","         57.63"
"MARALOVER","EQ","10-Aug-2017","         34.65","         36.15","         36.25","         33.50","         34.45","         33.75","         34.41","      30535","             1050792.00","        331","      22711","         74.38"
"MARALOVER","EQ","11-Aug-2017","         33.75","         33.50","         34.35","         32.40","         32.70","         33.05","         33.11","       9289","              307547.60","        113","       6664","         71.74"
"MARALOVER","EQ","14-Aug-2017","         33.05","         35.20","         35.20","         32.90","         32.90","         33.20","         33.50","      15870","              531684.70","        200","       7934","         49.99"
"MARALOVER","EQ","16-Aug-2017","         33.20","         34.45","         34.55","         32.40","         34.00","         33.85","         33.55","      23170","              777335.30","        177","      11695","         50.47"
"MARALOVER","EQ","17-Aug-2017","         33.85","         34.25","         35.75","         33.10","         34.00","         33.90","         34.17","      11595","              396145.05","        140","       6384","         55.06"
"MARALOVER","EQ","18-Aug-2017","         33.90","         33.80","         34.20","         33.30","         33.30","         33.55","         33.67","       4760","              160269.10","         81","       2631","         55.27"
"MARALOVER","EQ","21-Aug-2017","         33.55","         32.65","         34.35","         32.65","         33.40","         33.35","         33.54","      13999","              469523.85","         88","       9486","         67.76"
"MARALOVER","EQ","22-Aug-2017","         33.35","         33.45","         33.90","         32.50","         32.90","         32.65","         32.77","       5312","              174092.20","         84","       3813","         71.78"
"MARALOVER","EQ","23-Aug-2017","         32.65","         32.10","         33.60","         32.10","         33.60","         33.45","         33.29","       6382","              212438.15","         55","       3820","         59.86"
"MARALOVER","EQ","24-Aug-2017","         33.45","         34.40","         34.55","         32.75","         33.80","         33.85","         33.85","       7717","              261248.85","         81","       4310","         55.85"
"MARALOVER","EQ","28-Aug-2017","         33.85","         34.20","         36.60","         32.20","         35.45","         35.25","         34.62","      27743","              960499.75","        291","      18509","         66.72"
"MARALOVER","EQ","29-Aug-2017","         35.25","         34.65","         38.40","         34.65","         36.00","         35.65","         36.08","       7255","              261743.20","         85","       5517","         76.04"
"MARALOVER","EQ","30-Aug-2017","         35.65","         36.00","         37.35","         35.75","         36.25","         36.30","         36.58","      12667","              463329.60","        110","       9296","         73.39"
"MARALOVER","EQ","31-Aug-2017","         36.30","         36.85","         36.85","         35.35","         36.50","         36.40","         35.99","       6681","              240419.45","         81","       3680","         55.08"
"MARALOVER","EQ","01-Sep-2017","         36.40","         36.40","         37.65","         36.40","         36.55","         36.70","         36.98","      14950","              552867.55","         53","      10961","         73.32"
"MARALOVER","EQ","04-Sep-2017","         36.70","         36.50","         37.90","         35.65","         37.00","         37.10","         36.75","      11436","              420279.20","         74","       8427","         73.69"
"MARALOVER","EQ","05-Sep-2017","         37.10","         36.50","         37.85","         35.30","         37.85","         37.55","         36.81","      13862","              510295.80","        119","      11211","         80.88"
"MARALOVER","EQ","06-Sep-2017","         37.55","         37.80","         39.80","         37.35","         37.85","         37.95","         38.45","      17882","              687633.50","        106","      10900","         60.96"
"MARALOVER","EQ","07-Sep-2017","         37.95","         37.60","         39.55","         37.60","         39.00","         39.40","         38.97","      24973","              973145.30","        141","      18009","         72.11"
"MARALOVER","EQ","08-Sep-2017","         39.40","         39.00","         39.05","         37.60","         39.00","         38.45","         38.23","      34868","             1333149.90","        238","      25041","         71.82"
"MARALOVER","EQ","11-Sep-2017","         38.45","         38.35","         39.05","         38.30","         38.30","         38.45","         38.75","      13434","              520618.25","         85","      11932","         88.82"
"MARALOVER","EQ","12-Sep-2017","         38.45","         39.90","         39.90","         38.05","         38.50","         38.50","         38.53","      35909","             1383674.65","         83","      28384","         79.04"
"MARALOVER","EQ","13-Sep-2017","         38.50","         38.20","         38.40","         37.00","         37.00","         37.40","         37.80","       5123","              193641.00","         65","       3861","         75.37"
"MARALOVER","EQ","14-Sep-2017","         37.40","         37.50","         37.60","         36.75","         37.35","         37.50","         37.12","       5528","              205186.85","         67","       3616","         65.41"
"MARALOVER","EQ","15-Sep-2017","         37.50","         38.60","         38.60","         36.50","         37.20","         37.15","         37.20","      18154","              675281.15","         82","      14513","         79.94"
"MARALOVER","EQ","18-Sep-2017","         37.15","         36.95","         38.30","         35.50","         36.60","         36.95","         36.68","      17068","              626110.15","        110","      12637","         74.04"
"MARALOVER","EQ","19-Sep-2017","         36.95","         36.85","         37.75","         36.85","         37.00","         37.20","         37.30","       4596","              171452.45","         26","       4422","         96.21"
