"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MCLEODRUSS","EQ","02-Jan-2017","        139.85","        140.00","        142.30","        138.90","        141.00","        140.65","        140.50","     948993","           133334379.75","       6426","     542661","         57.18"
"MCLEODRUSS","EQ","03-Jan-2017","        140.65","        141.40","        142.00","        139.05","        139.30","        139.35","        139.97","     750644","           105069302.20","       6770","     419610","         55.90"
"MCLEODRUSS","EQ","04-Jan-2017","        139.35","        139.50","        140.90","        139.05","        140.00","        139.70","        139.94","     470594","            65853442.65","      10217","     168778","         35.86"
"MCLEODRUSS","EQ","05-Jan-2017","        139.70","        140.20","        141.30","        139.65","        140.30","        140.45","        140.49","     886847","           124590606.75","      10358","     422554","         47.65"
"MCLEODRUSS","EQ","06-Jan-2017","        140.45","        142.80","        144.15","        140.75","        141.50","        141.25","        142.71","    1581941","           225753381.05","      23165","     547968","         34.64"
"MCLEODRUSS","EQ","09-Jan-2017","        141.25","        142.70","        146.30","        142.00","        145.25","        144.95","        144.66","    1279770","           185133230.75","      22505","     550644","         43.03"
"MCLEODRUSS","EQ","10-Jan-2017","        144.95","        148.35","        148.35","        144.55","        147.20","        146.55","        146.51","     826610","           121108645.65","      17318","     402964","         48.75"
"MCLEODRUSS","EQ","11-Jan-2017","        146.55","        147.50","        149.35","        146.30","        148.05","        148.60","        147.92","     669386","            99015541.15","      14098","     267947","         40.03"
"MCLEODRUSS","EQ","12-Jan-2017","        148.60","        148.70","        150.70","        147.00","        149.10","        148.55","        148.47","     520140","            77227412.20","      10807","     161207","         30.99"
"MCLEODRUSS","EQ","13-Jan-2017","        148.55","        149.60","        155.00","        149.00","        154.00","        153.90","        152.75","    1729884","           264239560.55","      19602","     628002","         36.30"
"MCLEODRUSS","EQ","16-Jan-2017","        153.90","        154.00","        155.70","        152.10","        153.80","        153.90","        153.67","     551394","            84735185.50","      16094","     170417","         30.91"
"MCLEODRUSS","EQ","17-Jan-2017","        153.90","        154.50","        156.85","        153.35","        154.10","        154.35","        154.82","     531078","            82220053.90","      10735","     138452","         26.07"
"MCLEODRUSS","EQ","18-Jan-2017","        154.35","        155.00","        157.60","        153.60","        154.15","        154.35","        155.64","     773271","           120353259.30","      16822","     172529","         22.31"
"MCLEODRUSS","EQ","19-Jan-2017","        154.35","        154.50","        155.60","        152.25","        152.65","        152.70","        153.60","     630871","            96901223.65","      17134","     133161","         21.11"
"MCLEODRUSS","EQ","20-Jan-2017","        152.70","        152.15","        152.85","        149.25","        151.35","        151.15","        151.27","     583054","            88195710.40","      15143","      95420","         16.37"
"MCLEODRUSS","EQ","23-Jan-2017","        151.15","        153.90","        156.50","        152.55","        153.50","        153.80","        154.23","    1037201","           159971303.50","      12952","     224560","         21.65"
"MCLEODRUSS","EQ","24-Jan-2017","        153.80","        153.85","        155.80","        152.80","        154.50","        154.55","        154.38","     689476","           106439559.80","      19379","     165770","         24.04"
"MCLEODRUSS","EQ","25-Jan-2017","        154.55","        154.95","        156.00","        153.00","        153.10","        153.65","        154.26","    1173575","           181039225.85","       9119","     812506","         69.23"
"MCLEODRUSS","EQ","27-Jan-2017","        153.65","        154.30","        155.40","        152.10","        152.50","        152.50","        153.07","    1604049","           245529448.60","      23743","     865516","         53.96"
"MCLEODRUSS","EQ","30-Jan-2017","        152.50","        152.60","        161.00","        152.00","        159.35","        160.05","        158.06","    1826312","           288658967.90","      23157","     489273","         26.79"
"MCLEODRUSS","EQ","31-Jan-2017","        160.05","        159.50","        161.80","        155.60","        155.90","        156.25","        158.68","    1263471","           200484379.80","      20251","     228854","         18.11"
"MCLEODRUSS","EQ","01-Feb-2017","        156.25","        156.45","        159.60","        153.60","        158.40","        158.85","        156.71","    1025396","           160686966.65","      20776","     246843","         24.07"
"MCLEODRUSS","EQ","02-Feb-2017","        158.85","        159.60","        165.80","        159.15","        164.95","        164.90","        162.89","    1307919","           213044890.20","      15569","     510500","         39.03"
"MCLEODRUSS","EQ","03-Feb-2017","        164.90","        165.10","        167.80","        162.55","        164.40","        164.15","        165.60","     955127","           158168361.70","       8171","     348515","         36.49"
"MCLEODRUSS","EQ","06-Feb-2017","        164.15","        161.30","        164.35","        159.60","        163.00","        162.90","        162.65","    1091079","           177468972.35","      17983","     240001","         22.00"
"MCLEODRUSS","EQ","07-Feb-2017","        162.90","        162.00","        164.00","        159.15","        160.60","        160.20","        161.14","     874856","           140978197.65","      10437","     381934","         43.66"
"MCLEODRUSS","EQ","08-Feb-2017","        160.20","        160.20","        170.85","        160.20","        170.00","        170.20","        167.92","    2636423","           442715181.25","      31848","     572478","         21.71"
"MCLEODRUSS","EQ","09-Feb-2017","        170.20","        170.20","        172.95","        166.95","        171.00","        171.20","        170.74","    1340681","           228914523.40","      14246","     604767","         45.11"
"MCLEODRUSS","EQ","10-Feb-2017","        171.20","        172.00","        175.30","        170.20","        171.40","        171.85","        173.13","    1104363","           191202067.75","      10110","     391655","         35.46"
"MCLEODRUSS","EQ","13-Feb-2017","        171.85","        171.50","        174.40","        168.15","        170.85","        171.70","        171.56","     375789","            64470897.20","       4915","     110730","         29.47"
"MCLEODRUSS","EQ","14-Feb-2017","        171.70","        171.70","        175.50","        166.00","        171.60","        172.00","        172.94","     718506","           124259633.45","       6660","     178589","         24.86"
"MCLEODRUSS","EQ","15-Feb-2017","        172.00","        171.70","        174.90","        167.10","        167.95","        167.90","        170.14","     619405","           105383054.95","       5058","     178974","         28.89"
"MCLEODRUSS","EQ","16-Feb-2017","        167.90","        169.30","        171.65","        166.65","        168.60","        168.40","        169.06","     324163","            54803178.25","       3976","      45550","         14.05"
"MCLEODRUSS","EQ","17-Feb-2017","        168.40","        169.50","        172.40","        167.70","        170.70","        171.55","        170.61","     520568","            88813380.00","       6219","     170997","         32.85"
"MCLEODRUSS","EQ","20-Feb-2017","        171.55","        172.00","        174.40","        169.50","        170.60","        171.35","        172.57","     586447","           101203053.45","       4877","     184148","         31.40"
"MCLEODRUSS","EQ","21-Feb-2017","        171.35","        171.30","        172.50","        168.50","        169.20","        169.65","        170.20","     463612","            78906244.65","       4608","     148115","         31.95"
"MCLEODRUSS","EQ","22-Feb-2017","        169.65","        172.00","        172.00","        164.05","        164.75","        164.75","        168.50","    1011237","           170395909.15","       8572","     466419","         46.12"
"MCLEODRUSS","EQ","23-Feb-2017","        164.75","        164.75","        170.95","        160.25","        165.50","        165.45","        164.91","    2663417","           439228985.10","      15918","    1767845","         66.38"
"MCLEODRUSS","EQ","27-Feb-2017","        165.45","        166.45","        173.50","        166.45","        171.30","        171.85","        171.13","     826637","           141458834.45","       8195","     418403","         50.62"
"MCLEODRUSS","EQ","28-Feb-2017","        171.85","        172.25","        173.00","        169.65","        171.00","        172.40","        171.84","     257784","            44297980.00","       2431","     102836","         39.89"
"MCLEODRUSS","EQ","01-Mar-2017","        172.40","        173.00","        177.85","        172.75","        176.00","        175.70","        175.76","     774238","           136082734.35","       7054","     415329","         53.64"
"MCLEODRUSS","EQ","02-Mar-2017","        175.70","        178.00","        179.75","        170.20","        170.55","        171.30","        175.66","     484160","            85049092.20","       4209","     261249","         53.96"
"MCLEODRUSS","EQ","03-Mar-2017","        171.30","        170.00","        173.55","        169.10","        170.60","        170.85","        171.46","     171006","            29320558.95","       2004","      69600","         40.70"
"MCLEODRUSS","EQ","06-Mar-2017","        170.85","        171.00","        174.80","        170.70","        173.70","        173.65","        173.18","     145195","            25144294.60","       1962","      71291","         49.10"
"MCLEODRUSS","EQ","07-Mar-2017","        173.65","        173.65","        174.85","        172.00","        173.20","        173.20","        173.26","     110990","            19230125.10","       1060","      63286","         57.02"
"MCLEODRUSS","EQ","08-Mar-2017","        173.20","        173.45","        173.65","        170.10","        171.30","        171.80","        172.07","     101016","            17381475.40","       1414","      57855","         57.27"
"MCLEODRUSS","EQ","09-Mar-2017","        171.80","        171.00","        172.20","        169.50","        169.65","        170.35","        170.81","     105865","            18082870.90","       1215","      75831","         71.63"
"MCLEODRUSS","EQ","10-Mar-2017","        170.35","        170.00","        171.50","        166.85","        168.05","        168.00","        168.30","     244829","            41204471.90","       2105","     175836","         71.82"
"MCLEODRUSS","EQ","14-Mar-2017","        168.00","        172.00","        172.50","        167.80","        168.45","        168.40","        169.13","      69380","            11734182.85","       1941","      40032","         57.70"
"MCLEODRUSS","EQ","15-Mar-2017","        168.40","        168.10","        171.35","        167.55","        169.00","        168.20","        169.48","     140571","            23824032.20","       1364","      78086","         55.55"
"MCLEODRUSS","EQ","16-Mar-2017","        168.20","        169.00","        171.95","        168.50","        169.05","        169.20","        170.28","     280051","            47687353.75","       2513","     182476","         65.16"
"MCLEODRUSS","EQ","17-Mar-2017","        169.20","        168.50","        173.25","        168.50","        171.00","        170.05","        170.95","     260238","            44487154.95","       3532","     150195","         57.71"
"MCLEODRUSS","EQ","20-Mar-2017","        170.05","        170.05","        170.80","        167.25","        167.70","        167.95","        168.46","     178550","            30078045.30","       1971","     116695","         65.36"
"MCLEODRUSS","EQ","21-Mar-2017","        167.95","        168.00","        168.65","        165.05","        165.85","        165.85","        166.29","     142107","            23630431.90","       1619","      88775","         62.47"
"MCLEODRUSS","EQ","22-Mar-2017","        165.85","        164.60","        167.45","        162.00","        165.00","        165.10","        165.03","     204157","            33691516.85","       2932","     113913","         55.80"
"MCLEODRUSS","EQ","23-Mar-2017","        165.10","        166.45","        169.10","        165.10","        167.55","        167.95","        167.53","     249865","            41860011.30","       3250","     127353","         50.97"
"MCLEODRUSS","EQ","24-Mar-2017","        167.95","        168.50","        169.75","        164.00","        164.90","        165.10","        167.33","     188000","            31458643.15","       2379","     127758","         67.96"
"MCLEODRUSS","EQ","27-Mar-2017","        165.10","        164.50","        165.90","        162.10","        163.35","        163.80","        164.13","     123371","            20249256.75","       1225","      76683","         62.16"
"MCLEODRUSS","EQ","28-Mar-2017","        163.80","        164.50","        165.90","        162.50","        165.00","        165.10","        164.40","     156382","            25708992.50","       1748","      99911","         63.89"
