"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MELSTAR","EQ","02-Jan-2017","          4.30","          4.20","          4.30","          4.20","          4.30","          4.30","          4.20","       2188","                9189.70","          5","       2187","         99.95"
"MELSTAR","EQ","03-Jan-2017","          4.30","          4.50","          4.50","          4.50","          4.50","          4.50","          4.50","       1000","                4500.00","          2","       1000","        100.00"
"MELSTAR","EQ","04-Jan-2017","          4.50","          4.65","          4.65","          4.65","          4.65","          4.65","          4.65","         10","                  46.50","          1","         10","        100.00"
"MELSTAR","EQ","11-Jan-2017","          4.65","          4.45","          4.45","          4.45","          4.45","          4.45","          4.45","        500","                2225.00","          1","        500","        100.00"
"MELSTAR","EQ","12-Jan-2017","          4.45","          4.30","          4.65","          4.30","          4.65","          4.65","          4.33","        430","                1863.00","          3","        390","         90.70"
"MELSTAR","EQ","23-Jan-2017","          4.65","          4.45","          4.45","          4.45","          4.45","          4.45","          4.45","         40","                 178.00","          1","         40","        100.00"
"MELSTAR","EQ","06-Feb-2017","          4.45","          4.25","          4.25","          4.25","          4.25","          4.25","          4.25","        100","                 425.00","          1","        100","        100.00"
"MELSTAR","EQ","09-Feb-2017","          4.25","          4.25","          4.25","          4.20","          4.20","          4.20","          4.24","       1550","                6575.00","          4","       1550","        100.00"
"MELSTAR","EQ","15-Feb-2017","          4.20","          4.30","          4.30","          4.30","          4.30","          4.30","          4.30","         25","                 107.50","          2","         25","        100.00"
"MELSTAR","EQ","23-Feb-2017","          4.30","          4.10","          4.15","          4.10","          4.15","          4.15","          4.11","       2050","                8417.50","          5","       1548","         75.51"
"MELSTAR","EQ","01-Mar-2017","          4.15","          4.15","          4.15","          4.15","          4.15","          4.15","          4.15","        200","                 830.00","          1","        200","        100.00"
"MELSTAR","EQ","07-Mar-2017","          4.15","          4.15","          4.15","          4.15","          4.15","          4.15","          4.15","       2000","                8300.00","          3","       2000","        100.00"
"MELSTAR","EQ","16-Mar-2017","          4.15","          4.20","          4.20","          4.20","          4.20","          4.20","          4.20","        240","                1008.00","          1","        240","        100.00"
