"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"N100","EQ","02-Jan-2017","        355.01","        361.00","        365.00","        358.00","        359.00","        359.00","        360.57","       1713","              617659.52","        112","       1231","         71.86"
"N100","EQ","03-Jan-2017","        359.00","        362.99","        362.99","        359.00","        359.00","        359.09","        360.73","       1109","              400049.35","         60","        890","         80.25"
"N100","EQ","04-Jan-2017","        359.09","        360.00","        364.89","        360.00","        361.55","        361.55","        362.09","       5059","             1831825.30","         65","       5004","         98.91"
"N100","EQ","05-Jan-2017","        361.55","        360.00","        365.95","        360.00","        364.50","        364.50","        364.19","        620","              225797.10","         52","        546","         88.06"
"N100","EQ","06-Jan-2017","        364.50","        366.00","        366.00","        357.51","        360.50","        358.02","        361.04","        825","              297861.62","         58","        728","         88.24"
"N100","EQ","09-Jan-2017","        358.02","        372.30","        374.99","        359.21","        366.10","        366.04","        363.32","       1430","              519551.85","        135","       1184","         82.80"
"N100","EQ","10-Jan-2017","        366.04","        365.99","        377.95","        356.00","        363.00","        360.35","        368.09","       3385","             1245990.56","        242","       2375","         70.16"
"N100","EQ","11-Jan-2017","        360.35","        365.98","        367.10","        364.70","        367.10","        366.83","        365.32","        791","              288968.15","         39","        749","         94.69"
"N100","EQ","12-Jan-2017","        366.83","        369.00","        370.90","        367.00","        370.85","        370.65","        369.07","        386","              142460.60","         33","        356","         92.23"
"N100","EQ","13-Jan-2017","        370.65","        374.00","        374.00","        361.00","        366.50","        366.50","        366.81","        740","              271437.89","         87","        591","         79.86"
"N100","EQ","16-Jan-2017","        366.50","        369.00","        376.85","        365.00","        369.02","        371.17","        370.78","        909","              337034.75","        135","        779","         85.70"
"N100","EQ","17-Jan-2017","        371.17","        375.90","        375.90","        365.00","        375.90","        374.99","        371.56","       1122","              416889.52","         79","        708","         63.10"
"N100","EQ","18-Jan-2017","        374.99","        375.90","        375.90","        370.12","        374.00","        374.04","        374.03","        815","              304831.77","         51","        548","         67.24"
"N100","EQ","19-Jan-2017","        374.04","        375.90","        375.95","        369.00","        375.00","        375.47","        374.38","       1100","              411821.79","         67","        710","         64.55"
"N100","EQ","20-Jan-2017","        375.47","        375.89","        375.89","        369.00","        375.00","        374.14","        373.51","        639","              238671.67","         65","        352","         55.09"
"N100","EQ","23-Jan-2017","        374.14","        375.45","        375.50","        369.00","        371.00","        374.37","        371.79","       1120","              416405.86","         69","        947","         84.55"
"N100","EQ","24-Jan-2017","        374.37","        375.49","        379.00","        374.99","        375.50","        375.49","        376.43","        504","              189718.94","         48","        407","         80.75"
"N100","EQ","25-Jan-2017","        375.49","        378.98","        378.98","        372.00","        377.00","        376.89","        375.89","        446","              167648.29","         55","        276","         61.88"
"N100","EQ","27-Jan-2017","        376.89","        377.00","        387.90","        377.00","        381.00","        383.96","        384.17","       2120","              814443.32","        106","       1883","         88.82"
"N100","EQ","30-Jan-2017","        383.96","        385.00","        387.90","        380.15","        384.95","        384.95","        385.83","       1358","              523951.98","         94","       1029","         75.77"
"N100","EQ","31-Jan-2017","        384.95","        387.95","        390.00","        373.10","        375.00","        375.00","        380.19","       1469","              558493.00","         75","       1389","         94.55"
"N100","EQ","01-Feb-2017","        375.00","        372.00","        381.90","        372.00","        375.00","        375.00","        377.20","       1568","              591447.85","        105","       1231","         78.51"
"N100","EQ","02-Feb-2017","        375.00","        382.95","        382.95","        372.50","        377.98","        377.98","        376.84","        448","              168823.22","         44","        268","         59.82"
"N100","EQ","03-Feb-2017","        377.98","        375.00","        375.00","        361.10","        361.10","        366.69","        366.98","       3481","             1277448.83","        164","       2755","         79.14"
"N100","EQ","06-Feb-2017","        366.69","        365.00","        372.55","        360.00","        369.00","        368.84","        366.70","       1734","              635849.30","        122","       1341","         77.34"
"N100","EQ","07-Feb-2017","        368.84","        368.00","        373.00","        363.06","        369.65","        369.65","        369.66","       1295","              478708.39","        110","        832","         64.25"
"N100","EQ","08-Feb-2017","        369.65","        371.96","        372.98","        367.01","        371.89","        371.89","        371.47","        334","              124072.34","         35","        261","         78.14"
"N100","EQ","09-Feb-2017","        371.89","        372.00","        378.00","        372.00","        375.00","        375.29","        375.68","       1508","              566528.56","        157","        954","         63.26"
"N100","EQ","10-Feb-2017","        375.29","        377.00","        384.50","        377.00","        380.95","        380.95","        381.51","       1315","              501688.31","        109","        856","         65.10"
"N100","EQ","13-Feb-2017","        380.95","        390.00","        397.00","        383.01","        383.50","        386.08","        388.84","       2433","              946040.84","        190","       1889","         77.64"
"N100","EQ","14-Feb-2017","        386.08","        388.00","        400.00","        388.00","        399.85","        399.55","        397.13","       2542","             1009500.10","        141","       2111","         83.04"
"N100","EQ","15-Feb-2017","        399.55","        393.00","        405.80","        393.00","        405.80","        405.80","        403.96","       2787","             1125824.28","        122","       2305","         82.71"
"N100","EQ","16-Feb-2017","        405.80","        405.94","        412.90","        405.01","        412.80","        412.65","        409.59","        696","              285075.91","         67","        635","         91.24"
"N100","EQ","17-Feb-2017","        412.65","        415.00","        417.49","        410.00","        410.10","        411.32","        414.34","       1652","              684483.84","         86","       1134","         68.64"
"N100","EQ","20-Feb-2017","        411.32","        416.00","        416.00","        410.00","        416.00","        415.81","        414.95","        839","              348142.76","         68","        641","         76.40"
"N100","EQ","21-Feb-2017","        415.81","        415.00","        422.74","        413.00","        422.00","        420.87","        418.63","       1031","              431603.30","         79","        793","         76.92"
"N100","EQ","22-Feb-2017","        420.87","        413.00","        424.40","        413.00","        422.00","        423.44","        423.29","        589","              249317.28","         64","        392","         66.55"
"N100","EQ","23-Feb-2017","        423.44","        420.00","        423.51","        420.00","        423.50","        422.32","        422.06","        472","              199212.00","         39","        442","         93.64"
"N100","EQ","27-Feb-2017","        422.32","        423.00","        425.66","        421.00","        425.66","        425.66","        424.46","        907","              384982.50","         71","        735","         81.04"
