"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MPHASIS","EQ","02-Jan-2017","        565.25","        555.10","        566.40","        555.00","        555.30","        557.65","        559.28","      13995","             7827159.15","       1567","       5712","         40.81"
"MPHASIS","EQ","03-Jan-2017","        557.65","        559.00","        560.60","        526.30","        544.00","        537.45","        540.20","      64167","            34663253.95","       2096","      32129","         50.07"
"MPHASIS","EQ","04-Jan-2017","        537.45","        543.85","        543.85","        532.10","        534.00","        534.30","        537.35","      38861","            20882150.80","       3508","      18556","         47.75"
"MPHASIS","EQ","05-Jan-2017","        534.30","        535.05","        545.95","        534.50","        535.90","        538.25","        539.61","      43844","            23658602.50","       6100","      19420","         44.29"
"MPHASIS","EQ","06-Jan-2017","        538.25","        538.00","        540.00","        525.00","        526.20","        527.15","        530.91","      38577","            20480748.80","       3676","      22530","         58.40"
"MPHASIS","EQ","09-Jan-2017","        527.15","        527.55","        538.75","        527.50","        530.00","        529.85","        533.76","      27114","            14472341.75","       3623","      10148","         37.43"
"MPHASIS","EQ","10-Jan-2017","        529.85","        533.50","        536.90","        529.10","        534.00","        534.10","        533.07","      38233","            20380936.70","       6915","      26135","         68.36"
"MPHASIS","EQ","11-Jan-2017","        534.10","        534.10","        538.45","        527.10","        527.65","        529.20","        532.08","      57508","            30598754.90","       2760","      42116","         73.24"
"MPHASIS","EQ","12-Jan-2017","        529.20","        530.00","        532.05","        523.05","        528.00","        528.15","        527.97","     126324","            66694671.00","      12657","      87638","         69.38"
"MPHASIS","EQ","13-Jan-2017","        528.15","        525.00","        528.00","        517.10","        520.00","        522.20","        523.83","      52872","            27695805.60","       6190","      33044","         62.50"
"MPHASIS","EQ","16-Jan-2017","        522.20","        522.90","        525.90","        517.00","        519.05","        519.70","        520.76","      72653","            37834648.90","       5660","      49390","         67.98"
"MPHASIS","EQ","17-Jan-2017","        519.70","        518.00","        524.90","        516.00","        520.15","        520.35","        520.69","     258629","           134666635.10","       5475","     229952","         88.91"
"MPHASIS","EQ","18-Jan-2017","        520.35","        523.00","        531.50","        520.60","        525.00","        526.10","        526.30","      63006","            33159791.25","       7818","      38538","         61.17"
"MPHASIS","EQ","19-Jan-2017","        526.10","        530.00","        531.90","        526.15","        527.30","        527.15","        528.54","     115233","            60905744.85","      11573","      68506","         59.45"
"MPHASIS","EQ","20-Jan-2017","        527.15","        527.15","        528.85","        518.40","        522.30","        523.90","        522.86","      99687","            52121895.35","       6490","      72643","         72.87"
"MPHASIS","EQ","23-Jan-2017","        523.90","        524.00","        531.85","        517.05","        528.15","        529.00","        525.77","      90477","            47570117.15","       7498","      57517","         63.57"
"MPHASIS","EQ","24-Jan-2017","        529.00","        528.00","        532.55","        526.20","        528.15","        529.35","        529.07","      29720","            15723957.55","       3580","      23579","         79.34"
"MPHASIS","EQ","25-Jan-2017","        529.35","        530.00","        543.00","        529.25","        539.10","        538.35","        536.30","      71123","            38143584.00","       6229","      58846","         82.74"
"MPHASIS","EQ","27-Jan-2017","        538.35","        557.00","        565.00","        551.05","        561.00","        560.55","        558.92","     280690","           156883255.20","       9195","     140988","         50.23"
"MPHASIS","EQ","30-Jan-2017","        560.55","        563.00","        580.00","        561.95","        577.00","        578.60","        573.05","     199747","           114465740.50","       6895","     111659","         55.90"
"MPHASIS","EQ","31-Jan-2017","        578.60","        576.00","        578.90","        551.40","        557.00","        559.25","        560.17","     271728","           152214756.40","       7074","     194853","         71.71"
"MPHASIS","EQ","01-Feb-2017","        559.25","        575.00","        575.00","        559.00","        562.20","        563.85","        567.42","     521693","           296017355.65","      18853","     339037","         64.99"
"MPHASIS","EQ","02-Feb-2017","        563.85","        568.00","        572.50","        561.10","        565.00","        564.20","        565.41","     258189","           145983159.30","      12154","     187625","         72.67"
"MPHASIS","EQ","03-Feb-2017","        564.20","        565.00","        569.85","        559.10","        561.55","        560.05","        562.22","     409772","           230382315.95","      11174","     359369","         87.70"
"MPHASIS","EQ","06-Feb-2017","        560.05","        565.90","        573.00","        562.00","        564.00","        564.55","        567.55","     197934","           112336942.35","       9785","     141722","         71.60"
"MPHASIS","EQ","07-Feb-2017","        564.55","        564.90","        576.60","        564.90","        572.00","        572.00","        572.52","     303913","           173996979.90","      13451","     193165","         63.56"
"MPHASIS","EQ","08-Feb-2017","        572.00","        573.90","        575.45","        564.05","        565.00","        565.00","        566.47","     305131","           172848306.60","      11563","     244434","         80.11"
"MPHASIS","EQ","09-Feb-2017","        565.00","        566.60","        568.90","        561.00","        564.00","        564.60","        564.94","     138336","            78151490.40","       8173","     110670","         80.00"
"MPHASIS","EQ","10-Feb-2017","        564.60","        565.50","        566.00","        558.00","        559.30","        558.95","        560.98","     191100","           107202700.90","      10547","     166279","         87.01"
"MPHASIS","EQ","13-Feb-2017","        558.95","        559.90","        566.90","        559.55","        566.00","        562.15","        562.08","     289180","           162541331.35","       3697","     271981","         94.05"
"MPHASIS","EQ","14-Feb-2017","        562.15","        565.90","        582.40","        565.30","        578.00","        579.50","        576.29","     363048","           209222166.15","       9087","     194679","         53.62"
"MPHASIS","EQ","15-Feb-2017","        579.50","        580.00","        583.50","        570.25","        573.70","        574.65","        575.93","     238268","           137226866.05","      16692","     162687","         68.28"
"MPHASIS","EQ","16-Feb-2017","        574.65","        573.10","        580.00","        569.35","        573.00","        573.95","        576.76","     294952","           170115738.25","      12949","     190617","         64.63"
"MPHASIS","EQ","17-Feb-2017","        573.95","        574.90","        584.00","        572.50","        578.55","        581.20","        579.31","     178492","           103401788.15","       4661","     136376","         76.40"
"MPHASIS","EQ","20-Feb-2017","        581.20","        581.20","        583.00","        575.20","        576.00","        576.80","        577.75","     107593","            62162082.85","       3000","      55255","         51.36"
"MPHASIS","EQ","21-Feb-2017","        576.80","        578.00","        581.80","        575.20","        577.80","        577.25","        578.51","      42997","            24874286.45","       1495","      23068","         53.65"
"MPHASIS","EQ","22-Feb-2017","        577.25","        577.90","        585.00","        573.85","        581.00","        580.70","        580.73","     131498","            76364592.40","       5067","      75507","         57.42"
"MPHASIS","EQ","23-Feb-2017","        580.70","        581.20","        590.55","        580.30","        587.95","        588.00","        587.04","     256850","           150781850.35","       7646","     124992","         48.66"
"MPHASIS","EQ","27-Feb-2017","        588.00","        589.40","        597.90","        584.05","        591.00","        593.50","        593.27","     142388","            84474933.80","       7830","      93991","         66.01"
"MPHASIS","EQ","28-Feb-2017","        593.50","        595.00","        597.40","        589.55","        597.00","        595.10","        593.82","      63072","            37453561.30","       2654","      47832","         75.84"
"MPHASIS","EQ","01-Mar-2017","        595.10","        597.50","        598.70","        590.60","        591.00","        592.10","        593.84","      44082","            26177858.20","       1437","      23440","         53.17"
