"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MUKTAARTS","EQ","02-Jan-2017","         90.95","         90.20","         92.50","         88.60","         89.60","         89.60","         90.43","      43413","             3925867.65","        585","      14230","         32.78"
"MUKTAARTS","EQ","03-Jan-2017","         89.60","         90.90","         91.95","         89.20","         90.00","         89.60","         90.17","      17122","             1543953.95","        330","       6266","         36.60"
"MUKTAARTS","EQ","04-Jan-2017","         89.60","         89.70","         93.50","         88.50","         90.30","         90.35","         91.07","      36880","             3358817.75","        618","      11926","         32.34"
"MUKTAARTS","EQ","05-Jan-2017","         90.35","         90.75","        104.90","         90.45","        101.50","        101.60","        101.84","     791598","            80614241.85","      10747","     137702","         17.40"
"MUKTAARTS","EQ","06-Jan-2017","        101.60","        102.50","        102.80","         97.00","         98.50","         98.65","        100.47","     171854","            17266820.05","       2280","      57447","         33.43"
"MUKTAARTS","EQ","09-Jan-2017","         98.65","         99.70","        100.25","         98.00","         98.60","         98.45","         99.12","      43672","             4328984.10","        744","      17734","         40.61"
"MUKTAARTS","EQ","10-Jan-2017","         98.45","         99.00","         99.95","         97.20","         97.55","         97.50","         98.48","      29662","             2921101.95","        594","      10555","         35.58"
"MUKTAARTS","EQ","11-Jan-2017","         97.50","         97.95","        102.45","         96.60","         98.45","         98.30","        100.33","     228651","            22940414.75","       2184","      64932","         28.40"
"MUKTAARTS","EQ","12-Jan-2017","         98.30","         98.20","         99.00","         96.30","         96.75","         96.75","         97.56","      42652","             4161080.30","        572","      23697","         55.56"
"MUKTAARTS","EQ","13-Jan-2017","         96.75","         98.65","        101.70","         98.00","         98.40","         98.30","         99.06","     102281","            10131561.80","       1167","      46241","         45.21"
"MUKTAARTS","EQ","16-Jan-2017","         98.30","         98.00","         99.00","         96.35","         96.75","         96.80","         97.22","      32383","             3148124.85","        597","      15473","         47.78"
"MUKTAARTS","EQ","17-Jan-2017","         96.80","         96.90","         99.45","         96.40","         97.50","         97.15","         97.96","      57001","             5583625.95","        827","      23937","         41.99"
"MUKTAARTS","EQ","18-Jan-2017","         97.15","         97.45","        100.50","         97.25","         99.75","         99.60","         99.38","     122676","            12191766.55","        912","      75985","         61.94"
"MUKTAARTS","EQ","19-Jan-2017","         99.60","        100.30","        102.65","         98.10","         98.35","         99.15","        100.13","      77193","             7728953.35","        791","      42528","         55.09"
"MUKTAARTS","EQ","20-Jan-2017","         99.15","         98.35","         99.50","         95.55","         96.00","         96.00","         97.36","      37601","             3660807.00","        571","      23305","         61.98"
"MUKTAARTS","EQ","23-Jan-2017","         96.00","         96.95","        101.00","         96.10","        100.00","         99.85","         99.64","     235062","            23422474.75","       1910","     101859","         43.33"
"MUKTAARTS","EQ","24-Jan-2017","         99.85","        100.00","        100.45","         98.10","         99.00","         98.70","         98.97","      34594","             3423718.25","        461","      18233","         52.71"
"MUKTAARTS","EQ","25-Jan-2017","         98.70","         99.45","         99.90","         95.70","         96.95","         96.05","         97.05","      72825","             7067896.00","        694","      45658","         62.70"
"MUKTAARTS","EQ","27-Jan-2017","         96.05","         96.90","         99.50","         96.45","         96.95","         97.15","         97.78","      43299","             4233893.55","        953","      17471","         40.35"
