"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NOCIL","EQ","02-Jan-2017","         67.15","         67.45","         68.90","         67.45","         68.80","         68.50","         68.20","     499488","            34063163.40","       3426","     205649","         41.17"
"NOCIL","EQ","03-Jan-2017","         68.50","         69.05","         70.80","         68.40","         70.20","         70.00","         70.01","    1708251","           119602430.50","       6737","     656663","         38.44"
"NOCIL","EQ","04-Jan-2017","         70.00","         70.50","         72.70","         70.25","         72.40","         72.15","         71.58","    1741691","           124665184.60","       7598","     821348","         47.16"
"NOCIL","EQ","05-Jan-2017","         72.15","         72.90","         73.15","         71.25","         72.00","         71.95","         72.31","    1314399","            95045125.80","       8638","     498861","         37.95"
"NOCIL","EQ","06-Jan-2017","         71.95","         72.70","         72.80","         70.80","         71.00","         71.20","         71.43","     817065","            58364098.95","       3736","     450976","         55.19"
"NOCIL","EQ","09-Jan-2017","         71.20","         71.25","         74.20","         71.00","         73.75","         73.70","         73.29","    1858550","           136204034.15","       8076","     616152","         33.15"
"NOCIL","EQ","10-Jan-2017","         73.70","         73.70","         74.30","         71.05","         72.60","         72.55","         72.87","     854292","            62251803.75","       4790","     406063","         47.53"
"NOCIL","EQ","11-Jan-2017","         72.55","         72.85","         73.25","         71.50","         72.55","         72.75","         72.78","     698387","            50827291.35","       3172","     315827","         45.22"
"NOCIL","EQ","12-Jan-2017","         72.75","         73.10","         73.55","         71.05","         71.30","         71.30","         72.03","     609431","            43896261.55","       2844","     341375","         56.02"
"NOCIL","EQ","13-Jan-2017","         71.30","         71.55","         75.50","         70.90","         73.80","         74.05","         73.93","    2618073","           193562279.30","      11080","    1135073","         43.36"
"NOCIL","EQ","16-Jan-2017","         74.05","         74.25","         75.80","         73.70","         74.75","         74.60","         74.88","     879432","            65855325.15","       5335","     324985","         36.95"
"NOCIL","EQ","17-Jan-2017","         74.60","         74.90","         76.50","         72.90","         75.80","         75.85","         75.23","    1427742","           107412270.55","       5883","     510680","         35.77"
"NOCIL","EQ","18-Jan-2017","         75.85","         76.50","         76.80","         74.40","         74.60","         75.00","         75.77","    1537664","           116502093.45","       7633","     658417","         42.82"
"NOCIL","EQ","19-Jan-2017","         75.00","         75.40","         77.50","         75.20","         77.40","         77.10","         76.42","    1582975","           120969406.75","       7181","     721220","         45.56"
"NOCIL","EQ","20-Jan-2017","         77.10","         76.80","         78.20","         75.60","         76.10","         76.15","         76.99","    1571331","           120980683.80","       7865","     704433","         44.83"
