"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NAHARSPING","EQ","03-Jul-2017","        122.15","        124.45","        124.60","        121.15","        123.30","        123.55","        123.52","      15322","             1892615.75","        174","       9792","         63.91"
"NAHARSPING","EQ","04-Jul-2017","        123.55","        124.80","        124.90","        121.05","        121.05","        121.90","        122.43","      35789","             4381688.90","        343","      20913","         58.43"
"NAHARSPING","EQ","05-Jul-2017","        121.90","        122.45","        125.90","        121.35","        123.45","        123.70","        123.89","      53159","             6585995.85","        589","      25804","         48.54"
"NAHARSPING","EQ","06-Jul-2017","        123.70","        123.60","        127.00","        122.30","        124.00","        123.90","        125.04","      44128","             5517746.65","        516","      24955","         56.55"
"NAHARSPING","EQ","07-Jul-2017","        123.90","        124.90","        127.60","        122.25","        124.30","        124.45","        124.98","      31497","             3936641.95","        566","      15378","         48.82"
"NAHARSPING","EQ","10-Jul-2017","        124.45","        125.00","        125.45","        124.15","        124.50","        125.15","        125.14","       7795","              975476.15","         53","       7556","         96.93"
"NAHARSPING","EQ","11-Jul-2017","        125.15","        126.35","        126.35","        123.45","        124.00","        124.15","        124.15","      28551","             3544720.60","        282","      18851","         66.03"
"NAHARSPING","EQ","12-Jul-2017","        124.15","        124.80","        124.95","        122.35","        124.95","        124.25","        124.01","      29302","             3633650.10","        393","      18837","         64.29"
"NAHARSPING","EQ","13-Jul-2017","        124.25","        123.80","        134.35","        123.80","        131.80","        131.50","        131.17","     206039","            27026190.75","       2467","      91807","         44.56"
"NAHARSPING","EQ","14-Jul-2017","        131.50","        132.60","        133.30","        127.00","        127.55","        128.20","        129.85","      46509","             6039340.55","        640","      31983","         68.77"
"NAHARSPING","EQ","17-Jul-2017","        128.20","        130.50","        135.25","        128.00","        131.40","        130.85","        132.32","     123947","            16400246.40","       1508","      31056","         25.06"
"NAHARSPING","EQ","18-Jul-2017","        130.85","        133.80","        134.00","        128.20","        132.00","        131.75","        132.66","      43880","             5821211.25","        660","      27197","         61.98"
"NAHARSPING","EQ","19-Jul-2017","        131.75","        132.90","        136.85","        132.00","        134.00","        133.80","        134.75","      61204","             8247229.80","        695","      39352","         64.30"
"NAHARSPING","EQ","20-Jul-2017","        133.80","        134.95","        134.95","        131.15","        132.00","        131.95","        132.61","      21658","             2872047.10","        345","      12659","         58.45"
"NAHARSPING","EQ","21-Jul-2017","        131.95","        132.50","        133.75","        130.55","        131.90","        131.55","        131.99","      24126","             3184434.45","        247","      15783","         65.42"
"NAHARSPING","EQ","24-Jul-2017","        131.55","        133.80","        135.80","        131.60","        132.40","        132.10","        133.08","      26957","             3587496.20","        359","      10394","         38.56"
"NAHARSPING","EQ","25-Jul-2017","        132.10","        133.70","        133.70","        128.50","        130.25","        130.55","        130.55","      24497","             3198012.90","        475","      12403","         50.63"
"NAHARSPING","EQ","26-Jul-2017","        130.55","        130.10","        133.30","        127.80","        128.00","        128.55","        130.29","      36329","             4733374.50","        362","      23709","         65.26"
"NAHARSPING","EQ","27-Jul-2017","        128.55","        128.10","        129.85","        125.60","        126.30","        126.15","        127.14","      28538","             3628303.40","        347","      20879","         73.16"
