"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NDL","EQ","02-Jan-2017","        111.20","        113.40","        113.40","        109.00","        109.75","        110.00","        110.04","      25694","             2827304.55","        373","      20120","         78.31"
"NDL","EQ","03-Jan-2017","        110.00","        110.80","        111.50","        109.10","        109.80","        109.70","        110.16","      55411","             6103887.10","        737","      34284","         61.87"
"NDL","EQ","04-Jan-2017","        109.70","        115.00","        126.80","        115.00","        121.95","        121.75","        122.99","     776110","            95450392.80","      11255","     137724","         17.75"
"NDL","EQ","05-Jan-2017","        121.75","        122.05","        123.60","        119.05","        119.50","        119.70","        120.76","      99810","            12052863.30","       1824","      41308","         41.39"
"NDL","EQ","06-Jan-2017","        119.70","        121.95","        121.95","        117.00","        117.65","        117.85","        118.96","      57352","             6822495.05","        955","      32175","         56.10"
"NDL","EQ","09-Jan-2017","        117.85","        119.90","        119.90","        115.55","        117.10","        116.75","        117.09","      28568","             3344937.25","       1203","      17787","         62.26"
"NDL","EQ","10-Jan-2017","        116.75","        118.50","        121.90","        115.35","        120.25","        120.05","        119.79","      50444","             6042652.30","       1648","      29097","         57.68"
"NDL","EQ","11-Jan-2017","        120.05","        122.95","        123.80","        120.30","        121.15","        121.65","        122.22","      64004","             7822253.55","       1728","      42651","         66.64"
"NDL","EQ","12-Jan-2017","        121.65","        121.70","        122.60","        118.00","        119.50","        119.20","        119.77","      29557","             3539994.25","       1303","      19267","         65.19"
"NDL","EQ","13-Jan-2017","        119.20","        121.20","        121.20","        117.55","        118.00","        118.80","        119.36","      28340","             3382735.20","        792","      21772","         76.82"
"NDL","EQ","16-Jan-2017","        118.80","        119.15","        123.15","        119.00","        121.45","        121.90","        121.55","      64411","             7829362.90","       1573","      41850","         64.97"
"NDL","EQ","17-Jan-2017","        121.90","        123.15","        123.15","        120.40","        121.00","        120.95","        121.47","      22316","             2710684.00","        353","      16699","         74.83"
"NDL","EQ","18-Jan-2017","        120.95","        120.00","        121.70","        117.70","        120.60","        120.55","        120.18","      30513","             3667028.00","        359","      19952","         65.39"
"NDL","EQ","19-Jan-2017","        120.55","        120.65","        120.95","        117.00","        119.00","        119.40","        119.25","      48102","             5736252.50","       1155","      21646","         45.00"
"NDL","EQ","20-Jan-2017","        119.40","        119.90","        119.90","        117.10","        117.50","        117.60","        118.46","      21051","             2493748.65","        448","      14206","         67.48"
"NDL","EQ","23-Jan-2017","        117.60","        117.60","        120.00","        116.80","        119.70","        119.45","        118.63","      18615","             2208211.90","        486","       9651","         51.85"
"NDL","EQ","24-Jan-2017","        119.45","        118.80","        122.50","        118.20","        119.30","        119.95","        120.77","      34778","             4200068.75","        491","      12505","         35.96"
"NDL","EQ","25-Jan-2017","        119.95","        119.95","        122.00","        118.65","        119.10","        119.45","        120.02","      23523","             2823213.55","        456","      14882","         63.27"
"NDL","EQ","27-Jan-2017","        119.45","        120.00","        121.45","        117.55","        119.50","        119.60","        119.15","      76574","             9123850.80","        935","      43728","         57.11"
"NDL","EQ","30-Jan-2017","        119.60","        120.55","        120.75","        119.00","        119.65","        119.30","        119.88","      21157","             2536404.50","        460","      16705","         78.96"
"NDL","EQ","31-Jan-2017","        119.30","        119.90","        120.00","        118.00","        119.00","        118.45","        118.84","      42843","             5091615.05","        780","      27559","         64.33"
"NDL","EQ","01-Feb-2017","        118.45","        117.60","        120.05","        117.60","        119.50","        119.25","        119.20","      34009","             4053735.45","        616","      20512","         60.31"
"NDL","EQ","02-Feb-2017","        119.25","        119.25","        124.45","        117.10","        122.90","        123.25","        121.36","      71330","             8656578.55","       1058","      40496","         56.77"
"NDL","EQ","03-Feb-2017","        123.25","        123.45","        129.00","        123.40","        125.80","        126.15","        126.31","     117947","            14897450.00","       1654","      70472","         59.75"
"NDL","EQ","06-Feb-2017","        126.15","        125.10","        129.65","        125.10","        125.65","        126.05","        127.25","      91300","            11617916.40","       1458","      53616","         58.73"
"NDL","EQ","07-Feb-2017","        126.05","        126.60","        132.00","        125.00","        126.15","        126.25","        128.48","     169142","            21730763.00","       2255","      48980","         28.96"
"NDL","EQ","08-Feb-2017","        126.25","        125.80","        128.05","        125.00","        125.75","        125.70","        126.59","      25094","             3176711.90","        387","      13490","         53.76"
"NDL","EQ","09-Feb-2017","        125.70","        126.00","        127.00","        120.85","        121.10","        121.50","        123.06","      58197","             7161730.55","        898","      39453","         67.79"
"NDL","EQ","10-Feb-2017","        121.50","        118.50","        119.75","        111.20","        117.50","        117.60","        116.56","     250725","            29224506.20","       2674","     113393","         45.23"
"NDL","EQ","13-Feb-2017","        117.60","        117.35","        122.65","        117.00","        118.00","        118.90","        118.93","      94198","            11202671.95","        895","      33372","         35.43"
"NDL","EQ","14-Feb-2017","        118.90","        118.00","        119.45","        117.00","        117.00","        118.00","        118.34","      38083","             4506878.35","        402","      13274","         34.86"
"NDL","EQ","15-Feb-2017","        118.00","        117.10","        118.95","        113.80","        114.90","        114.60","        115.50","      73213","             8456454.40","        715","      31604","         43.17"
"NDL","EQ","16-Feb-2017","        114.60","        114.00","        118.50","        114.00","        117.35","        116.70","        115.86","      54058","             6263134.85","        369","      15334","         28.37"
"NDL","EQ","17-Feb-2017","        116.70","        117.80","        118.50","        116.40","        118.50","        118.05","        117.62","      55787","             6561709.45","        417","      18607","         33.35"
"NDL","EQ","20-Feb-2017","        118.05","        118.50","        119.20","        117.20","        119.20","        118.60","        118.50","     108392","            12843979.00","        399","      68735","         63.41"
"NDL","EQ","21-Feb-2017","        118.60","        117.65","        119.20","        116.50","        118.00","        118.20","        117.88","      36622","             4317111.30","        303","      23896","         65.25"
"NDL","EQ","22-Feb-2017","        118.20","        118.00","        120.20","        117.25","        118.50","        118.10","        118.25","      26416","             3123680.00","        459","      11857","         44.89"
