"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NH","EQ","03-Apr-2017","        313.85","        314.95","        323.00","        313.25","        315.00","        315.90","        317.88","     246023","            78204889.55","       1608","     232268","         94.41"
"NH","EQ","05-Apr-2017","        315.90","        315.15","        335.70","        311.10","        320.00","        321.45","        324.23","     149655","            48521920.45","       5685","      55220","         36.90"
"NH","EQ","06-Apr-2017","        321.45","        317.20","        324.45","        317.20","        318.65","        319.85","        320.77","      18388","             5898330.15","        815","      10072","         54.77"
"NH","EQ","07-Apr-2017","        319.85","        318.65","        326.60","        318.65","        322.90","        324.05","        324.62","      65941","            21405471.00","        935","      56700","         85.99"
"NH","EQ","10-Apr-2017","        324.05","        321.15","        328.00","        321.15","        323.40","        323.65","        324.90","      29429","             9561496.10","       1485","      20911","         71.06"
"NH","EQ","11-Apr-2017","        323.65","        324.00","        326.80","        317.60","        320.90","        322.15","        323.02","      29397","             9495807.00","       1276","      22913","         77.94"
"NH","EQ","12-Apr-2017","        322.15","        323.90","        324.00","        319.10","        322.25","        321.80","        322.07","      29573","             9524627.50","       1171","      17250","         58.33"
"NH","EQ","13-Apr-2017","        321.80","        322.85","        325.05","        321.10","        323.10","        323.45","        324.46","      85327","            27685136.95","       1508","      75776","         88.81"
"NH","EQ","17-Apr-2017","        323.45","        320.80","        324.50","        319.95","        321.10","        321.95","        322.40","      17306","             5579471.85","        492","      10467","         60.48"
"NH","EQ","18-Apr-2017","        321.95","        321.95","        323.60","        318.10","        318.15","        319.20","        321.58","      21713","             6982487.30","        597","      16623","         76.56"
"NH","EQ","19-Apr-2017","        319.20","        319.20","        322.80","        316.25","        320.00","        319.85","        319.07","      19693","             6283407.30","       1213","      13487","         68.49"
"NH","EQ","20-Apr-2017","        319.85","        321.05","        321.95","        318.05","        320.00","        319.25","        319.65","      14884","             4757665.30","       1929","      10678","         71.74"
"NH","EQ","21-Apr-2017","        319.25","        320.00","        322.05","        315.95","        317.00","        316.80","        318.93","      23895","             7620822.55","        993","      16990","         71.10"
"NH","EQ","24-Apr-2017","        316.80","        319.85","        323.90","        316.80","        318.75","        318.35","        319.96","     156643","            50118882.05","       8656","      99558","         63.56"
"NH","EQ","25-Apr-2017","        318.35","        318.75","        323.05","        316.10","        316.20","        316.95","        319.75","     131923","            42182718.30","       9522","     104964","         79.56"
"NH","EQ","26-Apr-2017","        316.95","        319.90","        321.45","        315.10","        317.10","        317.30","        318.96","      91538","            29197318.95","      19694","      57066","         62.34"
"NH","EQ","27-Apr-2017","        317.30","        324.95","        327.05","        320.10","        320.80","        322.65","        323.58","      88296","            28570648.95","       3836","      48709","         55.17"
"NH","EQ","28-Apr-2017","        322.65","        324.00","        324.15","        319.00","        324.00","        322.00","        321.05","      29068","             9332360.60","       1119","      16884","         58.08"
"NH","EQ","02-May-2017","        322.00","        323.00","        323.45","        317.10","        318.00","        318.00","        318.59","      24747","             7884063.30","        937","      18125","         73.24"
"NH","EQ","03-May-2017","        318.00","        318.35","        320.55","        315.00","        315.65","        316.00","        316.55","      44085","            13955176.00","       4429","      29972","         67.99"
"NH","EQ","04-May-2017","        316.00","        317.00","        322.25","        311.25","        312.70","        313.80","        315.98","      34801","            10996494.10","       2406","      23337","         67.06"
