"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NFL","EQ","02-Jan-2017","         35.20","         35.50","         36.45","         34.90","         36.45","         36.15","         35.76","     394163","            14095458.55","       1818","     188274","         47.77"
"NFL","EQ","03-Jan-2017","         36.15","         35.95","         36.40","         35.60","         35.90","         35.90","         36.00","     217757","             7839775.35","       1126","     127555","         58.58"
"NFL","EQ","04-Jan-2017","         35.90","         36.25","         38.40","         36.00","         38.00","         38.05","         37.51","    2113440","            79273067.25","       8707","     698758","         33.06"
"NFL","EQ","05-Jan-2017","         38.05","         38.25","         39.65","         37.45","         38.80","         38.95","         38.76","    2332403","            90405502.70","       8945","     622615","         26.69"
"NFL","EQ","06-Jan-2017","         38.95","         38.90","         40.40","         37.60","         40.00","         40.05","         39.25","    2472387","            97037759.65","       9594","     650049","         26.29"
"NFL","EQ","09-Jan-2017","         40.05","         40.00","         43.25","         39.85","         42.90","         43.00","         41.66","    3378834","           140761348.95","      11679","    1155523","         34.20"
"NFL","EQ","10-Jan-2017","         43.00","         42.95","         43.90","         41.70","         43.50","         43.60","         42.91","    2151991","            92336805.80","       9341","     732158","         34.02"
"NFL","EQ","11-Jan-2017","         43.60","         43.50","         44.40","         42.40","         43.00","         43.00","         43.40","    1211782","            52593740.15","       6356","     584157","         48.21"
"NFL","EQ","12-Jan-2017","         43.00","         43.15","         43.80","         42.40","         43.10","         42.95","         43.07","     594029","            25585601.85","       2969","     276863","         46.61"
"NFL","EQ","13-Jan-2017","         42.95","         43.90","         45.45","         43.20","         44.30","         44.70","         44.46","    2352097","           104568177.40","       9745","     596800","         25.37"
"NFL","EQ","16-Jan-2017","         44.70","         44.40","         47.70","         44.05","         47.05","         47.15","         46.49","    1907822","            88703172.60","       8082","     801226","         42.00"
"NFL","EQ","17-Jan-2017","         47.15","         47.35","         47.65","         45.40","         46.75","         46.80","         46.87","    2479105","           116184782.15","       8686","     617473","         24.91"
"NFL","EQ","18-Jan-2017","         46.80","         47.00","         47.75","         45.95","         46.10","         46.20","         46.92","    1452431","            68145071.10","       5509","     451562","         31.09"
"NFL","EQ","19-Jan-2017","         46.20","         46.20","         47.30","         45.80","         45.95","         46.15","         46.46","    1080005","            50173308.35","       3976","     339639","         31.45"
"NFL","EQ","20-Jan-2017","         46.15","         45.90","         46.40","         43.60","         43.70","         43.85","         45.15","     770361","            34782480.95","       3337","     347406","         45.10"
"NFL","EQ","23-Jan-2017","         43.85","         43.75","         45.00","         43.75","         43.90","         43.95","         44.41","     479101","            21277709.95","       2271","     199811","         41.71"
"NFL","EQ","24-Jan-2017","         43.95","         44.40","         46.55","         44.05","         45.95","         45.50","         45.10","     834215","            37626035.05","       3292","     514508","         61.68"
"NFL","EQ","25-Jan-2017","         45.50","         45.70","         46.95","         45.70","         46.95","         46.65","         46.31","     917952","            42508958.45","       3186","     487745","         53.13"
"NFL","EQ","27-Jan-2017","         46.65","         46.95","         48.20","         46.75","         47.20","         47.30","         47.53","    1480657","            70370269.85","       4450","     788346","         53.24"
"NFL","EQ","30-Jan-2017","         47.30","         47.65","         54.70","         46.80","         53.20","         52.40","         51.92","    8950610","           464682510.40","      28309","    2510572","         28.05"
"NFL","EQ","31-Jan-2017","         52.40","         52.85","         54.70","         51.00","         51.00","         51.50","         52.65","    4370925","           230112653.55","      12890","    1371150","         31.37"
"NFL","EQ","01-Feb-2017","         51.50","         51.40","         55.00","         51.05","         54.85","         54.75","         53.69","    7489639","           402145513.65","      18774","    2398185","         32.02"
"NFL","EQ","02-Feb-2017","         54.75","         55.40","         57.50","         55.30","         57.00","         56.95","         56.20","    6056719","           340364600.25","      13517","    2228282","         36.79"
"NFL","EQ","03-Feb-2017","         56.95","         57.35","         63.45","         56.10","         61.00","         61.25","         59.92","    8411241","           504009997.20","      19321","    2057043","         24.46"
"NFL","EQ","06-Feb-2017","         61.25","         61.65","         63.85","         60.15","         61.00","         60.60","         62.10","    2845864","           176720617.90","       8270","    1061030","         37.28"
"NFL","EQ","07-Feb-2017","         60.60","         61.20","         62.75","         59.20","         61.70","         60.75","         61.60","    1681407","           103568306.35","       5832","     587191","         34.92"
"NFL","EQ","08-Feb-2017","         60.75","         61.40","         65.75","         61.00","         64.50","         64.80","         64.06","    3607395","           231082188.35","      12226","    1423825","         39.47"
"NFL","EQ","09-Feb-2017","         64.80","         64.90","         66.30","         63.20","         65.70","         65.50","         65.01","    1578681","           102634644.05","       6831","     477884","         30.27"
"NFL","EQ","10-Feb-2017","         65.50","         65.70","         65.90","         62.75","         63.50","         63.85","         64.49","    1364894","            88026375.70","       3605","     865940","         63.44"
"NFL","EQ","13-Feb-2017","         63.85","         64.35","         70.20","         63.50","         70.00","         69.90","         68.17","    6076508","           414258434.90","      20084","    1625518","         26.75"
"NFL","EQ","14-Feb-2017","         69.90","         69.90","         71.50","         65.60","         66.60","         66.75","         68.49","    3506856","           240198011.05","      15460","     946799","         27.00"
"NFL","EQ","15-Feb-2017","         66.75","         66.30","         68.25","         63.50","         67.25","         67.50","         66.71","    4050562","           270228650.45","      17105","     981545","         24.23"
"NFL","EQ","16-Feb-2017","         67.50","         67.00","         68.75","         66.00","         67.25","         66.70","         67.25","    1769912","           119026238.00","       8737","     298723","         16.88"
