"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NAVKARCORP","EQ","02-Jan-2017","        165.05","        165.25","        170.00","        165.25","        167.50","        167.60","        167.97","      12260","             2059312.00","        414","       6653","         54.27"
"NAVKARCORP","EQ","03-Jan-2017","        167.60","        169.70","        173.45","        168.50","        170.75","        170.35","        170.86","      25602","             4374403.55","       1453","      13495","         52.71"
"NAVKARCORP","EQ","04-Jan-2017","        170.35","        172.00","        174.00","        168.00","        168.20","        168.65","        170.95","      23287","             3980817.25","       1142","      13749","         59.04"
"NAVKARCORP","EQ","05-Jan-2017","        168.65","        171.60","        173.90","        169.75","        173.90","        173.35","        172.24","      21363","             3679562.50","        610","      14585","         68.27"
"NAVKARCORP","EQ","06-Jan-2017","        173.35","        174.65","        178.00","        172.90","        173.00","        173.30","        174.31","      27945","             4871176.50","        884","      21150","         75.68"
"NAVKARCORP","EQ","09-Jan-2017","        173.30","        175.65","        178.75","        172.15","        177.90","        177.75","        177.60","      56561","            10045488.10","       7248","      36340","         64.25"
"NAVKARCORP","EQ","10-Jan-2017","        177.75","        177.60","        178.00","        175.00","        177.85","        176.00","        176.15","      11517","             2028701.45","        541","       6074","         52.74"
"NAVKARCORP","EQ","11-Jan-2017","        176.00","        175.15","        181.55","        175.10","        176.60","        177.25","        177.95","      19326","             3439010.55","       1063","      10387","         53.75"
"NAVKARCORP","EQ","12-Jan-2017","        177.25","        175.85","        177.70","        175.00","        176.50","        176.15","        176.15","       9320","             1641725.50","        402","       6644","         71.29"
"NAVKARCORP","EQ","13-Jan-2017","        176.15","        177.40","        179.00","        175.55","        177.50","        176.90","        177.25","       9998","             1772131.95","        395","       5652","         56.53"
"NAVKARCORP","EQ","16-Jan-2017","        176.90","        179.95","        179.95","        175.50","        175.80","        176.05","        177.23","      27269","             4832867.30","        772","      15219","         55.81"
"NAVKARCORP","EQ","17-Jan-2017","        176.05","        178.35","        178.40","        176.20","        176.20","        176.65","        177.17","       8405","             1489134.80","        226","       6753","         80.35"
"NAVKARCORP","EQ","18-Jan-2017","        176.65","        177.80","        178.80","        176.15","        176.20","        176.80","        177.62","      32945","             5851817.80","        678","      26306","         79.85"
