"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NITESHEST","EQ","02-Jan-2017","          9.90","         10.30","         10.30","          9.90","         10.25","         10.15","         10.15","      92101","              934965.00","        194","      53489","         58.08"
"NITESHEST","EQ","03-Jan-2017","         10.15","         10.30","         10.45","         10.25","         10.45","         10.40","         10.36","      79373","              822024.55","        159","      55328","         69.71"
"NITESHEST","EQ","04-Jan-2017","         10.40","         10.65","         10.65","         10.00","         10.10","         10.05","         10.19","     161884","             1650071.15","       2413","     112926","         69.76"
"NITESHEST","EQ","05-Jan-2017","         10.05","         10.10","         10.30","          9.75","          9.85","          9.80","          9.91","     338761","             3357221.10","       2854","     220430","         65.07"
"NITESHEST","EQ","06-Jan-2017","          9.80","          9.95","         10.20","          9.85","         10.05","         10.00","         10.01","      61452","              615378.80","        153","      40555","         65.99"
"NITESHEST","EQ","09-Jan-2017","         10.00","         10.15","         10.15","          9.65","          9.80","          9.75","          9.78","     265105","             2593353.65","       2457","     206976","         78.07"
"NITESHEST","EQ","10-Jan-2017","          9.75","          9.95","         10.00","          9.60","          9.75","          9.70","          9.73","     284804","             2771101.90","       2627","     207078","         72.71"
"NITESHEST","EQ","11-Jan-2017","          9.70","          9.95","          9.95","          9.55","          9.70","          9.70","          9.67","     341456","             3302257.80","       2620","     217350","         63.65"
"NITESHEST","EQ","12-Jan-2017","          9.70","          9.80","          9.80","          9.30","          9.40","          9.30","          9.45","     520631","             4919755.70","       2837","     406398","         78.06"
"NITESHEST","EQ","13-Jan-2017","          9.30","          9.40","          9.50","          9.15","          9.20","          9.20","          9.24","     505902","             4674139.75","       2740","     314256","         62.12"
"NITESHEST","EQ","16-Jan-2017","          9.20","          9.25","          9.50","          9.10","          9.30","          9.20","          9.29","     497306","             4620862.40","       2527","     370568","         74.52"
"NITESHEST","EQ","17-Jan-2017","          9.20","          9.30","          9.30","          9.05","          9.20","          9.25","          9.15","     529795","             4846820.35","       1326","     388556","         73.34"
"NITESHEST","EQ","18-Jan-2017","          9.25","          9.40","          9.60","          9.05","          9.15","          9.15","          9.20","     503956","             4637831.20","       1060","     390233","         77.43"
"NITESHEST","EQ","19-Jan-2017","          9.15","          9.15","          9.25","          9.05","          9.10","          9.10","          9.09","     594010","             5401956.40","       1105","     398474","         67.08"
"NITESHEST","EQ","20-Jan-2017","          9.10","          9.15","          9.20","          8.80","          9.00","          8.90","          8.96","     588460","             5271599.55","       1647","     433652","         73.69"
"NITESHEST","EQ","23-Jan-2017","          8.90","          9.10","          9.10","          8.60","          8.65","          8.65","          8.70","     668535","             5819008.85","       1656","     486053","         72.70"
"NITESHEST","EQ","24-Jan-2017","          8.65","          8.80","          8.80","          8.25","          8.35","          8.30","          8.46","     669334","             5660490.30","       1565","     427814","         63.92"
"NITESHEST","EQ","25-Jan-2017","          8.30","          8.30","          8.60","          8.25","          8.40","          8.30","          8.35","     751924","             6278597.05","       2840","     547447","         72.81"
"NITESHEST","EQ","27-Jan-2017","          8.30","          8.45","          9.65","          8.20","          9.25","          9.15","          8.87","    1737847","            15419297.05","       2711","     824323","         47.43"
"NITESHEST","EQ","30-Jan-2017","          9.15","          9.15","          9.45","          9.00","          9.25","          9.20","          9.24","     279317","             2579684.45","        695","     160944","         57.62"
"NITESHEST","EQ","31-Jan-2017","          9.20","          9.25","          9.25","          8.80","          9.05","          9.05","          8.98","     223775","             2009845.70","        394","     127670","         57.05"
"NITESHEST","EQ","01-Feb-2017","          9.05","          9.30","          9.50","          8.85","          9.05","          9.00","          9.16","     628508","             5754604.10","       1069","     356585","         56.74"
"NITESHEST","EQ","02-Feb-2017","          9.00","          9.10","          9.25","          8.80","          8.80","          8.85","          8.91","     482033","             4294539.70","       1518","     326580","         67.75"
"NITESHEST","EQ","03-Feb-2017","          8.85","          8.95","          9.05","          8.65","          8.80","          8.80","          8.78","     744363","             6539063.15","       3172","     415683","         55.84"
"NITESHEST","EQ","06-Feb-2017","          8.80","          8.90","          9.40","          8.90","          9.00","          8.95","          9.11","     993125","             9042961.00","       1801","     600661","         60.48"
"NITESHEST","EQ","07-Feb-2017","          8.95","          9.05","          9.25","          8.75","          9.00","          9.00","          8.95","    1197500","            10716133.00","       3102","     722264","         60.31"
"NITESHEST","EQ","08-Feb-2017","          9.00","          9.20","          9.20","          8.65","          8.65","          8.65","          8.79","    1320671","            11604494.85","       2366","     853920","         64.66"
"NITESHEST","EQ","09-Feb-2017","          8.65","          8.80","          8.90","          8.50","          8.60","          8.60","          8.67","    1153767","             9997470.45","       1909","     783842","         67.94"
"NITESHEST","EQ","10-Feb-2017","          8.60","          8.50","          8.55","          8.20","          8.20","          8.20","          8.28","    1501402","            12435753.05","       2562","     921167","         61.35"
"NITESHEST","EQ","13-Feb-2017","          8.20","          8.45","          8.45","          7.75","          7.85","          7.80","          8.00","    1413126","            11304174.15","       2056","    1054970","         74.66"
"NITESHEST","EQ","14-Feb-2017","          7.80","          7.95","          8.05","          7.45","          7.75","          7.65","          7.66","    1134501","             8685494.80","       1939","     819287","         72.22"
"NITESHEST","EQ","15-Feb-2017","          7.65","          7.65","          7.70","          7.40","          7.70","          7.60","          7.52","    1316826","             9897151.45","       2049","     961554","         73.02"
