"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NITINFIRE","EQ","03-Apr-2017","         22.55","         24.05","         25.45","         23.85","         25.05","         25.05","         24.71","    4087620","           101023571.65","      10141","    2122335","         51.92"
"NITINFIRE","EQ","05-Apr-2017","         25.05","         25.35","         26.45","         25.00","         25.90","         25.85","         25.88","    1906620","            49334480.30","       7088","    1104338","         57.92"
"NITINFIRE","EQ","06-Apr-2017","         25.85","         25.90","         26.30","         25.20","         25.75","         25.85","         25.86","     789951","            20430877.50","       2082","     425762","         53.90"
"NITINFIRE","EQ","07-Apr-2017","         25.85","         25.85","         26.00","         24.80","         25.05","         25.00","         25.50","     623166","            15887680.95","       1999","     415206","         66.63"
"NITINFIRE","EQ","10-Apr-2017","         25.00","         25.15","         25.70","         23.90","         24.95","         24.85","         25.07","     604610","            15157208.70","       1666","     356908","         59.03"
"NITINFIRE","EQ","11-Apr-2017","         24.85","         24.80","         25.30","         24.30","         24.70","         24.65","         24.86","     523240","            13007960.95","       2557","     343429","         65.64"
"NITINFIRE","EQ","12-Apr-2017","         24.65","         24.70","         24.95","         23.95","         24.25","         24.15","         24.20","     586109","            14184799.75","       3205","     360486","         61.50"
"NITINFIRE","EQ","13-Apr-2017","         24.15","         23.95","         24.20","         23.40","         23.50","         23.80","         23.90","    1189455","            28423021.35","       1841","     622161","         52.31"
"NITINFIRE","EQ","17-Apr-2017","         23.80","         24.00","         24.00","         23.30","         23.60","         23.55","         23.58","     455474","            10739603.65","       1268","     316171","         69.42"
"NITINFIRE","EQ","18-Apr-2017","         23.55","         23.70","         24.55","         23.25","         23.75","         23.65","         24.04","     590685","            14198759.90","       1512","     348407","         58.98"
"NITINFIRE","EQ","19-Apr-2017","         23.65","         23.80","         24.30","         23.75","         24.00","         23.95","         23.93","     267044","             6390717.00","        768","     166881","         62.49"
"NITINFIRE","EQ","20-Apr-2017","         23.95","         24.20","         24.30","         24.00","         24.20","         24.10","         24.13","     330107","             7964497.00","        938","     209472","         63.46"
"NITINFIRE","EQ","21-Apr-2017","         24.10","         24.35","         25.40","         24.10","         24.30","         24.30","         24.78","     994363","            24644647.25","       3263","     529686","         53.27"
"NITINFIRE","EQ","24-Apr-2017","         24.30","         24.50","         24.95","         24.10","         24.35","         24.25","         24.48","     386649","             9463656.25","       1140","     236050","         61.05"
"NITINFIRE","EQ","25-Apr-2017","         24.25","         24.45","         24.60","         24.00","         24.20","         24.20","         24.23","     352318","             8537659.40","       1119","     187447","         53.20"
"NITINFIRE","EQ","26-Apr-2017","         24.20","         24.20","         24.45","         23.70","         23.90","         23.85","         24.03","     354582","             8519440.05","        898","     235130","         66.31"
"NITINFIRE","EQ","27-Apr-2017","         23.85","         23.95","         24.10","         23.50","         23.65","         23.60","         23.67","     261627","             6193760.55","        748","     182397","         69.72"
"NITINFIRE","EQ","28-Apr-2017","         23.60","         23.80","         24.00","         23.25","         23.80","         23.65","         23.59","     396573","             9354213.40","       1048","     233665","         58.92"
"NITINFIRE","EQ","02-May-2017","         23.65","         23.95","         24.20","         23.55","         23.80","         23.75","         23.85","     311682","             7432909.35","        901","     199209","         63.91"
"NITINFIRE","EQ","03-May-2017","         23.75","         24.10","         24.10","         23.55","         23.65","         23.65","         23.78","     202182","             4807421.95","        893","     135664","         67.10"
"NITINFIRE","EQ","04-May-2017","         23.65","         23.65","         23.85","         23.50","         23.60","         23.60","         23.65","     203392","             4810575.25","       1100","     135959","         66.85"
"NITINFIRE","EQ","05-May-2017","         23.60","         23.60","         23.60","         22.70","         23.10","         23.10","         23.12","     420094","             9714483.80","       1295","     262881","         62.58"
"NITINFIRE","EQ","08-May-2017","         23.10","         23.30","         23.80","         22.90","         23.10","         23.00","         23.25","     477379","            11100704.10","       1793","     245184","         51.36"
"NITINFIRE","EQ","09-May-2017","         23.00","         23.10","         23.45","         22.80","         23.00","         22.95","         23.11","     527305","            12184144.55","       1405","     301757","         57.23"
"NITINFIRE","EQ","10-May-2017","         22.95","         23.05","         23.50","         22.95","         23.30","         23.10","         23.23","     392798","             9125175.00","        930","     215032","         54.74"
"NITINFIRE","EQ","11-May-2017","         23.10","         23.45","         23.45","         22.65","         22.80","         22.80","         22.97","     437077","            10038377.80","       1243","     304115","         69.58"
"NITINFIRE","EQ","12-May-2017","         22.80","         22.95","         22.95","         22.00","         22.15","         22.15","         22.22","     958667","            21298944.65","       2575","     608960","         63.52"
"NITINFIRE","EQ","15-May-2017","         22.15","         22.25","         22.55","         21.40","         21.50","         21.45","         21.70","    1080468","            23446305.00","       3734","     880153","         81.46"
"NITINFIRE","EQ","16-May-2017","         21.45","         21.70","         22.30","         21.25","         21.45","         21.45","         21.74","    1706088","            37093446.65","       3477","    1011286","         59.28"
"NITINFIRE","EQ","17-May-2017","         21.45","         21.80","         21.85","         21.50","         21.75","         21.60","         21.63","     587461","            12704037.10","       1405","     363328","         61.85"
"NITINFIRE","EQ","18-May-2017","         21.60","         21.20","         21.85","         21.20","         21.60","         21.55","         21.60","     411989","             8898172.75","        993","     259804","         63.06"
