"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NECCLTD","EQ","03-Jul-2017","         46.50","         46.60","         47.50","         46.45","         46.70","         46.70","         46.98","      43324","             2035359.90","        368","      25030","         57.77"
"NECCLTD","EQ","04-Jul-2017","         46.70","         47.00","         47.10","         45.40","         45.85","         46.00","         46.13","      50883","             2347460.40","        487","      33695","         66.22"
"NECCLTD","EQ","05-Jul-2017","         46.00","         46.40","         47.00","         45.70","         45.90","         46.05","         46.17","      72446","             3344948.70","        483","      54199","         74.81"
"NECCLTD","EQ","06-Jul-2017","         46.05","         45.90","         47.95","         45.65","         47.15","         47.05","         47.15","     122611","             5780594.05","        737","      78711","         64.20"
"NECCLTD","EQ","07-Jul-2017","         47.05","         47.05","         48.00","         46.40","         46.50","         46.60","         46.80","      82747","             3872246.10","        563","      57964","         70.05"
"NECCLTD","EQ","10-Jul-2017","         46.60","         46.15","         47.00","         45.20","         47.00","         46.45","         46.54","      18025","              838926.95","        125","      14168","         78.60"
"NECCLTD","EQ","11-Jul-2017","         46.45","         46.25","         55.40","         46.05","         53.65","         53.70","         52.12","    1568567","            81754306.40","      10889","     499491","         31.84"
"NECCLTD","EQ","12-Jul-2017","         53.70","         54.60","         58.20","         54.05","         57.20","         56.85","         56.84","    1654013","            94019670.40","      12317","     635500","         38.42"
"NECCLTD","EQ","13-Jul-2017","         56.85","         57.85","         59.70","         57.00","         58.50","         58.65","         58.77","     965781","            56761867.95","       6217","     442874","         45.86"
"NECCLTD","EQ","14-Jul-2017","         58.65","         58.90","         59.15","         52.40","         55.00","         55.25","         55.04","     777575","            42798199.05","       5831","     319906","         41.14"
"NECCLTD","EQ","17-Jul-2017","         55.25","         55.75","         55.85","         53.15","         54.65","         54.75","         54.82","     316544","            17354277.75","       2295","     141885","         44.82"
"NECCLTD","EQ","18-Jul-2017","         54.75","         54.50","         55.00","         53.50","         53.70","         54.30","         54.69","     476577","            26064304.10","       3076","     189761","         39.82"
"NECCLTD","EQ","19-Jul-2017","         54.30","         54.00","         54.95","         53.00","         53.15","         53.20","         53.40","     296445","            15829234.55","       1937","     146670","         49.48"
"NECCLTD","EQ","20-Jul-2017","         53.20","         53.10","         53.75","         52.20","         52.50","         52.50","         52.93","     159132","             8423190.10","       1459","      90990","         57.18"
"NECCLTD","EQ","21-Jul-2017","         52.50","         52.05","         52.80","         50.60","         51.00","         50.85","         51.43","     184696","             9499339.90","       1719","     110238","         59.69"
"NECCLTD","EQ","24-Jul-2017","         50.85","         51.15","         51.65","         49.55","         49.90","         49.90","         50.23","     218112","            10954855.00","       1764","     116187","         53.27"
"NECCLTD","EQ","25-Jul-2017","         49.90","         50.20","         52.40","         50.20","         51.55","         51.60","         51.66","    1706160","            88135868.65","       4029","     498287","         29.21"
"NECCLTD","EQ","26-Jul-2017","         51.60","         52.00","         53.20","         51.80","         52.00","         52.00","         52.33","    1026618","            53719588.05","       2734","     337408","         32.87"
"NECCLTD","EQ","27-Jul-2017","         52.00","         52.50","         52.50","         49.80","         50.80","         50.85","         51.24","    1065991","            54619019.80","       3822","     318028","         29.83"
"NECCLTD","EQ","28-Jul-2017","         50.85","         51.75","         51.75","         49.10","         50.50","         49.80","         50.02","     548436","            27431549.25","       3548","     160100","         29.19"
"NECCLTD","EQ","31-Jul-2017","         49.80","         49.95","         50.00","         48.25","         48.50","         48.55","         48.90","     400948","            19606313.70","       1841","     178390","         44.49"
"NECCLTD","EQ","01-Aug-2017","         48.55","         48.90","         48.90","         47.35","         47.50","         47.50","         47.71","     199486","             9516692.60","       1350","     121877","         61.10"
"NECCLTD","EQ","02-Aug-2017","         47.50","         47.50","         48.00","         46.60","         47.30","         47.20","         47.37","     340271","            16119663.10","       1095","     134860","         39.63"
"NECCLTD","EQ","03-Aug-2017","         47.20","         47.90","         47.90","         46.00","         46.05","         46.10","         46.49","     231890","            10781558.40","       1148","     107891","         46.53"
"NECCLTD","EQ","04-Aug-2017","         46.10","         46.80","         46.80","         45.25","         45.50","         45.45","         45.64","     306139","            13973410.15","       1187","     177628","         58.02"
"NECCLTD","EQ","07-Aug-2017","         45.45","         45.80","         45.95","         45.00","         45.05","         45.10","         45.28","     244238","            11058357.40","       1045","     141008","         57.73"
"NECCLTD","EQ","08-Aug-2017","         45.10","         44.95","         45.10","         44.25","         44.25","         44.55","         44.65","     139290","             6218659.15","        792","      78057","         56.04"
"NECCLTD","EQ","09-Aug-2017","         44.55","         44.05","         44.75","         44.00","         44.00","         44.10","         44.29","     113888","             5043553.70","        745","      68378","         60.04"
"NECCLTD","EQ","10-Aug-2017","         44.10","         44.50","         44.50","         41.50","         42.90","         42.05","         42.88","     155261","             6657632.90","        877","      86149","         55.49"
"NECCLTD","EQ","11-Aug-2017","         42.05","         41.50","         41.60","         34.40","         40.50","         40.15","         40.05","     249903","            10007663.95","       1807","     108585","         43.45"
"NECCLTD","EQ","14-Aug-2017","         40.15","         41.50","         45.60","         41.45","         43.95","         43.80","         43.16","     134068","             5786497.65","       1184","      70688","         52.73"
"NECCLTD","EQ","16-Aug-2017","         43.80","         44.95","         44.95","         43.45","         43.55","         43.55","         43.85","      79649","             3492377.00","        729","      50992","         64.02"
"NECCLTD","EQ","17-Aug-2017","         43.55","         45.00","         45.00","         43.50","         43.70","         43.80","         43.94","      74930","             3292165.65","        549","      34920","         46.60"
"NECCLTD","EQ","18-Aug-2017","         43.80","         44.00","         44.00","         41.95","         42.50","         42.35","         42.71","     138068","             5897516.40","        832","      54964","         39.81"
"NECCLTD","EQ","21-Aug-2017","         42.35","         42.55","         43.40","         41.00","         41.10","         41.25","         42.13","     199680","             8411971.65","       1180","      50870","         25.48"
"NECCLTD","EQ","22-Aug-2017","         41.25","         41.05","         41.70","         39.45","         40.10","         39.80","         40.24","     294657","            11858397.10","       1407","      96907","         32.89"
"NECCLTD","EQ","23-Aug-2017","         39.80","         41.00","         42.55","         39.75","         40.20","         40.05","         40.09","     170641","             6841799.45","        704","      80218","         47.01"
