"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"OMKARCHEM","EQ","03-Jul-2017","         78.25","         78.85","         93.90","         76.50","         93.90","         92.75","         88.77","    1589318","           141079701.75","       9403","     376151","         23.67"
"OMKARCHEM","EQ","04-Jul-2017","         92.75","         92.40","         94.65","         86.10","         86.45","         86.70","         90.21","    1149892","           103726722.15","       7514","     307493","         26.74"
"OMKARCHEM","EQ","05-Jul-2017","         86.70","         87.00","         91.30","         87.00","         88.45","         88.55","         89.02","     633858","            56429165.35","       2853","     185833","         29.32"
"OMKARCHEM","EQ","06-Jul-2017","         88.55","         89.35","        100.80","         88.35","         96.50","         96.75","         94.49","    1056288","            99809094.35","       6471","     319115","         30.21"
"OMKARCHEM","EQ","07-Jul-2017","         96.75","         98.00","        102.40","         96.65","         97.10","         97.55","         98.94","     751684","            74372976.70","       6483","     252235","         33.56"
"OMKARCHEM","EQ","10-Jul-2017","         97.55","         97.50","        114.00","         97.50","        104.50","        105.60","        105.87","     825135","            87358492.05","       5340","     251390","         30.47"
"OMKARCHEM","EQ","11-Jul-2017","        105.60","        106.35","        111.50","         99.80","        102.70","        102.10","        105.24","     642108","            67574114.60","       5600","     233138","         36.31"
"OMKARCHEM","EQ","12-Jul-2017","        102.10","        103.05","        106.45","         98.95","        102.00","        101.60","        102.43","     215401","            22063543.50","       2336","      71556","         33.22"
"OMKARCHEM","EQ","13-Jul-2017","        101.60","        102.60","        114.50","         99.80","        109.60","        110.30","        108.38","    1562122","           169309059.85","      10567","     400917","         25.66"
"OMKARCHEM","EQ","14-Jul-2017","        110.30","        111.25","        121.90","        110.50","        114.90","        116.35","        115.51","    1842631","           212843050.80","      12182","     315204","         17.11"
"OMKARCHEM","EQ","17-Jul-2017","        116.35","        116.70","        117.40","        109.00","        109.20","        110.40","        111.38","     834727","            92969892.10","       6157","     319422","         38.27"
"OMKARCHEM","EQ","18-Jul-2017","        110.40","        109.70","        109.70","        101.65","        102.70","        102.65","        105.33","     542011","            57090524.95","       5070","     213843","         39.45"
"OMKARCHEM","EQ","19-Jul-2017","        102.65","        103.40","        106.90","        101.10","        105.10","        103.85","        104.10","     336813","            35063114.55","       3828","     137497","         40.82"
"OMKARCHEM","EQ","20-Jul-2017","        103.85","        104.40","        107.00","         96.50","         97.40","         97.50","        100.04","     826665","            82702421.80","       4673","     282343","         34.15"
"OMKARCHEM","EQ","21-Jul-2017","         97.50","         98.00","        102.90","         94.60","         94.95","         95.40","         97.97","     793735","            77765337.00","       4692","     283189","         35.68"
"OMKARCHEM","EQ","24-Jul-2017","         95.40","         95.00","         97.00","         92.55","         96.70","         96.15","         95.45","     469201","            44785686.10","       4330","     167259","         35.65"
"OMKARCHEM","EQ","25-Jul-2017","         96.15","         96.60","         99.70","         93.20","         93.80","         94.10","         95.50","     486989","            46505902.75","       2429","     216915","         44.54"
"OMKARCHEM","EQ","26-Jul-2017","         94.10","         94.00","         96.60","         92.00","         92.25","         92.20","         93.56","     394871","            36944626.70","       2617","     140584","         35.60"
"OMKARCHEM","EQ","27-Jul-2017","         92.20","         94.00","         95.50","         91.20","         92.20","         92.30","         93.48","     546521","            51088701.25","       4519","     144823","         26.50"
"OMKARCHEM","EQ","28-Jul-2017","         92.30","         92.75","         92.75","         89.20","         89.45","         89.95","         90.32","     286180","            25848137.20","       2640","     132488","         46.30"
"OMKARCHEM","EQ","31-Jul-2017","         89.95","         90.15","         91.10","         88.65","         89.40","         89.20","         90.01","      96839","             8716310.50","        931","      62636","         64.68"
"OMKARCHEM","EQ","01-Aug-2017","         89.20","         89.85","         95.90","         88.50","         89.05","         89.30","         91.23","     877330","            80035603.35","       4081","     221554","         25.25"
"OMKARCHEM","EQ","02-Aug-2017","         89.30","         89.90","         90.50","         85.65","         86.60","         87.05","         88.60","     243668","            21588247.20","       1460","      85013","         34.89"
"OMKARCHEM","EQ","03-Aug-2017","         87.05","         87.40","         88.00","         85.35","         86.40","         86.35","         86.21","     209398","            18053130.80","       1607","      63543","         30.35"
"OMKARCHEM","EQ","04-Aug-2017","         86.35","         86.95","         86.95","         84.55","         85.00","         84.90","         85.31","      87502","             7465154.10","        992","      51327","         58.66"
"OMKARCHEM","EQ","07-Aug-2017","         84.90","         85.25","         86.90","         84.25","         86.10","         85.95","         85.89","      52383","             4499064.45","        648","      24572","         46.91"
"OMKARCHEM","EQ","08-Aug-2017","         85.95","         86.10","         86.65","         81.40","         82.00","         82.10","         83.32","     110095","             9172976.50","       1034","      78106","         70.94"
"OMKARCHEM","EQ","09-Aug-2017","         82.10","         82.00","         82.60","         78.50","         79.00","         78.95","         80.38","     124605","            10015708.70","       1247","      76237","         61.18"
"OMKARCHEM","EQ","10-Aug-2017","         78.95","         79.40","         79.40","         75.80","         78.00","         76.95","         76.95","     156852","            12070448.85","       1314","     108657","         69.27"
"OMKARCHEM","EQ","11-Aug-2017","         76.95","         75.50","         76.95","         73.00","         76.95","         75.95","         75.58","     105925","             8006313.65","        987","      66882","         63.14"
"OMKARCHEM","EQ","14-Aug-2017","         75.95","         77.50","         83.80","         77.50","         80.35","         80.45","         80.88","     110185","             8911831.65","       1649","      45225","         41.04"
"OMKARCHEM","EQ","16-Aug-2017","         80.45","         82.75","         89.85","         82.75","         88.40","         87.85","         87.38","     418247","            36545125.85","       3790","     157364","         37.62"
"OMKARCHEM","EQ","17-Aug-2017","         87.85","         88.45","         92.50","         88.40","         89.60","         89.20","         90.42","     278457","            25176714.00","       2327","     101944","         36.61"
"OMKARCHEM","EQ","18-Aug-2017","         89.20","         88.20","         88.20","         85.50","         87.80","         87.20","         87.16","      95653","             8337315.90","        871","      55177","         57.68"
"OMKARCHEM","EQ","21-Aug-2017","         87.20","         87.60","         96.00","         87.60","         88.20","         88.10","         90.90","     949610","            86321569.80","       5936","     179200","         18.87"
"OMKARCHEM","EQ","22-Aug-2017","         88.10","         88.65","         91.25","         86.45","         88.10","         87.45","         88.77","     228461","            20279821.50","       1750","      57864","         25.33"
"OMKARCHEM","EQ","23-Aug-2017","         87.45","         87.90","         91.00","         87.40","         88.20","         88.25","         88.49","     388047","            34336709.65","       2433","     153849","         39.65"
"OMKARCHEM","EQ","24-Aug-2017","         88.25","         89.00","         90.50","         87.30","         87.60","         87.85","         88.36","     283951","            25088638.95","       1296","     111774","         39.36"
"OMKARCHEM","EQ","28-Aug-2017","         87.85","         87.30","         88.10","         85.75","         86.70","         86.00","         86.90","      79734","             6928913.70","        916","      52168","         65.43"
"OMKARCHEM","EQ","29-Aug-2017","         86.00","         85.50","         86.70","         85.05","         86.00","         85.60","         85.74","      68669","             5887766.60","        665","      44716","         65.12"
"OMKARCHEM","EQ","30-Aug-2017","         85.60","         85.65","         88.65","         85.10","         86.50","         86.45","         87.01","      81532","             7093980.90","        883","      45479","         55.78"
"OMKARCHEM","EQ","31-Aug-2017","         86.45","         87.10","         89.00","         84.10","         87.55","         87.65","         87.15","     133479","            11633204.80","       1306","      50223","         37.63"
"OMKARCHEM","EQ","01-Sep-2017","         87.65","         87.45","         88.45","         87.15","         87.40","         87.45","         87.70","      87213","             7648236.15","        676","      62627","         71.81"
"OMKARCHEM","EQ","04-Sep-2017","         87.45","         88.00","         94.00","         86.10","         91.00","         90.15","         89.62","     415508","            37239235.25","       2261","     184104","         44.31"
"OMKARCHEM","EQ","05-Sep-2017","         90.15","         90.50","         91.80","         88.25","         88.70","         88.60","         89.59","     256881","            23012830.50","       1856","     151099","         58.82"
"OMKARCHEM","EQ","06-Sep-2017","         88.60","         88.00","         89.20","         86.00","         87.65","         87.80","         87.82","     113754","             9990319.70","       1022","      70595","         62.06"
"OMKARCHEM","EQ","07-Sep-2017","         87.80","         88.45","         90.90","         87.70","         88.15","         88.15","         88.96","     119088","            10593494.05","       1064","      64695","         54.33"
"OMKARCHEM","EQ","08-Sep-2017","         88.15","         88.60","         91.80","         86.85","         87.00","         87.45","         88.73","     422866","            37522692.20","       2549","     127149","         30.07"
"OMKARCHEM","EQ","11-Sep-2017","         87.45","         88.45","         95.90","         87.20","         87.55","         87.70","         91.06","    1790397","           163037213.25","       9171","     377064","         21.06"
"OMKARCHEM","EQ","12-Sep-2017","         87.70","         88.40","         90.90","         87.25","         87.35","         87.55","         88.38","     549812","            48593258.80","       2290","     217060","         39.48"
"OMKARCHEM","EQ","13-Sep-2017","         87.55","         88.00","         90.00","         85.00","         86.00","         85.65","         87.64","     489127","            42868991.85","       2786","     153362","         31.35"
"OMKARCHEM","EQ","14-Sep-2017","         85.65","         86.00","         87.90","         85.85","         87.25","         87.05","         86.83","     394024","            34214600.75","       1966","     148399","         37.66"
"OMKARCHEM","EQ","15-Sep-2017","         87.05","         87.30","         87.85","         85.55","         85.55","         86.00","         86.42","     138215","            11944594.20","       1208","      70304","         50.87"
"OMKARCHEM","EQ","18-Sep-2017","         86.00","         87.30","         89.75","         84.05","         84.40","         84.30","         86.18","     556843","            47986623.30","       2849","     189264","         33.99"
"OMKARCHEM","EQ","19-Sep-2017","         84.30","         84.80","         86.00","         84.00","         85.20","         85.05","         85.00","     202528","            17214843.80","       1369","      90617","         44.74"
