"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ORBTEXP","EQ","03-Jul-2017","        162.15","        163.00","        164.60","        158.50","        158.50","        159.30","        160.60","       7579","             1217176.05","        253","       5015","         66.17"
"ORBTEXP","EQ","04-Jul-2017","        159.30","        158.00","        162.95","        157.00","        157.00","        158.25","        159.42","       6746","             1075418.60","        163","       4301","         63.76"
"ORBTEXP","EQ","05-Jul-2017","        158.25","        157.15","        161.90","        157.15","        159.50","        159.50","        159.74","       6087","              972330.10","        183","       3556","         58.42"
"ORBTEXP","EQ","06-Jul-2017","        159.50","        161.20","        163.80","        159.00","        163.00","        162.35","        161.86","       9082","             1470038.45","        255","       5822","         64.10"
"ORBTEXP","EQ","07-Jul-2017","        162.35","        164.00","        164.00","        159.05","        159.05","        160.35","        161.31","       8920","             1438844.50","        196","       6504","         72.91"
"ORBTEXP","EQ","10-Jul-2017","        160.35","        161.00","        165.00","        155.50","        158.25","        159.25","        160.66","       4565","              733421.65","        104","       3158","         69.18"
"ORBTEXP","EQ","11-Jul-2017","        159.25","        158.00","        159.95","        152.05","        154.10","        155.30","        156.28","      13177","             2059306.05","        469","       8755","         66.44"
"ORBTEXP","EQ","12-Jul-2017","        155.30","        154.05","        156.50","        153.00","        153.50","        153.70","        154.55","      14243","             2201212.40","        403","       9527","         66.89"
"ORBTEXP","EQ","13-Jul-2017","        153.70","        155.00","        158.90","        152.80","        155.00","        154.60","        155.53","      10788","             1677870.65","        336","       8586","         79.59"
"ORBTEXP","EQ","14-Jul-2017","        154.60","        158.00","        158.00","        151.00","        152.70","        152.15","        152.60","       7020","             1071227.65","        241","       5488","         78.18"
"ORBTEXP","EQ","17-Jul-2017","        152.15","        152.15","        153.25","        149.90","        150.00","        150.10","        150.96","       8839","             1334323.55","        283","       6677","         75.54"
"ORBTEXP","EQ","18-Jul-2017","        150.10","        151.25","        154.00","        149.00","        149.50","        150.80","        151.55","       7384","             1119052.20","        200","       4523","         61.25"
"ORBTEXP","EQ","19-Jul-2017","        150.80","        150.10","        153.40","        146.00","        150.95","        150.20","        149.62","      21588","             3229967.20","        579","      10860","         50.31"
"ORBTEXP","EQ","20-Jul-2017","        150.20","        151.25","        152.65","        148.60","        150.50","        150.95","        150.46","       7176","             1079715.35","        179","       5369","         74.82"
"ORBTEXP","EQ","21-Jul-2017","        150.95","        150.00","        154.90","        150.00","        151.45","        151.35","        151.96","       6241","              948370.35","        236","       2844","         45.57"
"ORBTEXP","EQ","24-Jul-2017","        151.35","        151.50","        153.10","        149.50","        149.50","        149.55","        150.47","       3271","              492177.15","        161","       2404","         73.49"
"ORBTEXP","EQ","25-Jul-2017","        149.55","        149.60","        151.95","        146.00","        146.95","        146.35","        147.40","      23575","             3474912.55","        751","      11539","         48.95"
"ORBTEXP","EQ","26-Jul-2017","        146.35","        149.75","        149.80","        145.30","        147.90","        147.20","        147.89","       5404","              799216.15","        191","       2935","         54.31"
"ORBTEXP","EQ","27-Jul-2017","        147.20","        146.25","        149.50","        146.25","        147.00","        146.80","        147.37","       5620","              828219.35","        137","       3605","         64.15"
"ORBTEXP","EQ","28-Jul-2017","        146.80","        146.60","        150.00","        146.30","        148.95","        149.50","        147.75","       5897","              871283.40","        164","       3626","         61.49"
"ORBTEXP","EQ","31-Jul-2017","        149.50","        149.50","        149.50","        145.40","        146.05","        146.90","        147.16","       6360","              935940.10","        187","       3568","         56.10"
"ORBTEXP","EQ","01-Aug-2017","        146.90","        147.00","        148.95","        145.00","        146.55","        147.20","        146.77","      10640","             1561632.35","        325","       4841","         45.50"
"ORBTEXP","EQ","02-Aug-2017","        147.20","        148.00","        148.00","        145.10","        145.50","        145.75","        145.81","       4805","              700610.90","         99","       3793","         78.94"
"ORBTEXP","EQ","03-Aug-2017","        145.75","        147.55","        147.80","        140.50","        142.95","        142.10","        144.87","      11254","             1630326.80","        406","       5469","         48.60"
"ORBTEXP","EQ","04-Aug-2017","        142.10","        142.90","        148.85","        141.00","        148.70","        147.05","        145.60","       8213","             1195795.55","        368","       5374","         65.43"
"ORBTEXP","EQ","07-Aug-2017","        147.05","        151.10","        151.10","        142.65","        145.30","        144.95","        145.42","       3733","              542863.70","        218","       1844","         49.40"
"ORBTEXP","EQ","08-Aug-2017","        144.95","        146.10","        148.30","        141.90","        142.25","        142.15","        143.12","       7056","             1009856.95","        196","       4258","         60.35"
"ORBTEXP","EQ","09-Aug-2017","        142.15","        142.15","        143.90","        139.60","        143.50","        143.05","        141.10","       8177","             1153783.70","        212","       5724","         70.00"
"ORBTEXP","EQ","10-Aug-2017","        143.05","        143.95","        146.00","        139.00","        142.90","        141.75","        141.22","      12666","             1788670.65","        363","       8834","         69.75"
"ORBTEXP","EQ","11-Aug-2017","        141.75","        141.75","        141.95","        137.00","        139.20","        140.25","        139.18","      11120","             1547729.50","        378","       6756","         60.76"
