"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ORIENTABRA","EQ","02-Jan-2017","         31.85","         32.40","         34.45","         31.10","         32.60","         32.95","         33.60","      93656","             3146743.15","        744","      29307","         31.29"
"ORIENTABRA","EQ","03-Jan-2017","         32.95","         33.25","         33.60","         32.85","         33.00","         33.00","         33.32","      18879","              629107.55","         87","      15194","         80.48"
"ORIENTABRA","EQ","04-Jan-2017","         33.00","         33.25","         33.25","         32.30","         32.75","         32.60","         32.86","      15542","              510750.70","        148","      10767","         69.28"
"ORIENTABRA","EQ","05-Jan-2017","         32.60","         32.50","         33.35","         32.25","         32.90","         32.75","         32.95","      18977","              625208.65","        127","      13622","         71.78"
"ORIENTABRA","EQ","06-Jan-2017","         32.75","         32.75","         32.90","         32.45","         32.60","         32.60","         32.62","      10191","              332415.20","         65","       7758","         76.13"
"ORIENTABRA","EQ","09-Jan-2017","         32.60","         33.00","         33.40","         32.70","         33.00","         32.85","         33.01","      20224","              667590.25","         78","      16365","         80.92"
"ORIENTABRA","EQ","10-Jan-2017","         32.85","         33.60","         33.75","         32.20","         33.00","         33.00","         32.87","      13804","              453730.65","        101","       8208","         59.46"
"ORIENTABRA","EQ","11-Jan-2017","         33.00","         33.15","         33.15","         32.40","         33.05","         33.00","         32.77","      38721","             1268969.35","        185","      19839","         51.24"
"ORIENTABRA","EQ","12-Jan-2017","         33.00","         33.20","         33.70","         32.00","         32.65","         32.55","         32.48","      22000","              714635.75","        146","      13507","         61.40"
"ORIENTABRA","EQ","13-Jan-2017","         32.55","         32.40","         33.25","         32.35","         33.05","         33.10","         32.88","      13808","              453957.60","        107","       8773","         63.54"
"ORIENTABRA","EQ","16-Jan-2017","         33.10","         32.70","         34.00","         32.10","         34.00","         33.75","         33.62","      35648","             1198459.15","        258","      30054","         84.31"
"ORIENTABRA","EQ","17-Jan-2017","         33.75","         33.50","         34.35","         33.10","         33.60","         33.45","         33.44","      15499","              518274.30","        154","      12676","         81.79"
