"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GREENPOWER","EQ","02-Jan-2017","          9.40","          9.25","          9.80","          9.25","          9.60","          9.60","          9.57","      66182","              633219.25","        126","      39972","         60.40"
"GREENPOWER","EQ","03-Jan-2017","          9.60","          9.65","         10.50","          9.45","          9.65","          9.65","          9.95","    1346366","            13400300.90","       1940","     664506","         49.36"
"GREENPOWER","EQ","04-Jan-2017","          9.65","          9.70","          9.95","          9.70","          9.95","          9.85","          9.85","     153141","             1508014.20","        319","     109258","         71.34"
"GREENPOWER","EQ","05-Jan-2017","          9.85","          9.85","         10.15","          9.85","         10.10","         10.05","         10.02","     208090","             2084690.25","        368","     142263","         68.37"
"GREENPOWER","EQ","06-Jan-2017","         10.05","         10.10","         10.15","          9.90","          9.90","          9.90","          9.99","     235222","             2350153.85","        210","     215679","         91.69"
"GREENPOWER","EQ","09-Jan-2017","          9.90","         10.05","         10.45","         10.00","         10.05","         10.10","         10.18","     243567","             2480208.85","        289","     165645","         68.01"
"GREENPOWER","EQ","10-Jan-2017","         10.10","         10.15","         10.30","          9.85","          9.90","          9.90","         10.06","     566612","             5700209.00","        472","     381452","         67.32"
"GREENPOWER","EQ","11-Jan-2017","          9.90","         10.00","         10.10","          9.95","         10.00","         10.00","         10.01","     133587","             1337640.90","        211","     106182","         79.49"
"GREENPOWER","EQ","12-Jan-2017","         10.00","         10.00","         10.20","          9.90","          9.95","          9.95","         10.03","     375758","             3767164.45","        462","     233309","         62.09"
"GREENPOWER","EQ","13-Jan-2017","          9.95","         10.00","         10.00","          9.80","          9.90","          9.90","          9.90","     188042","             1861628.45","        274","     131441","         69.90"
"GREENPOWER","EQ","16-Jan-2017","          9.90","          9.95","          9.95","          9.80","          9.95","          9.90","          9.90","      85108","              842522.90","        175","      53735","         63.14"
"GREENPOWER","EQ","17-Jan-2017","          9.90","         10.00","         10.10","          9.95","          9.95","         10.00","         10.02","     107704","             1079027.85","        176","      71128","         66.04"
