"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ORIENTPPR","EQ","03-Apr-2017","         80.85","         80.85","         83.65","         80.55","         82.60","         82.60","         82.68","     559243","            46237343.60","       3481","     300419","         53.72"
"ORIENTPPR","EQ","05-Apr-2017","         82.60","         83.00","         87.80","         83.00","         87.15","         87.05","         85.98","     662510","            56964897.45","       2810","     474052","         71.55"
"ORIENTPPR","EQ","06-Apr-2017","         87.05","         86.80","         94.70","         85.75","         92.85","         92.65","         91.51","    1241006","           113570490.90","       6970","     553361","         44.59"
"ORIENTPPR","EQ","07-Apr-2017","         92.65","         92.50","         93.20","         88.80","         91.30","         91.10","         91.26","     315682","            28808005.10","       2354","     184422","         58.42"
"ORIENTPPR","EQ","10-Apr-2017","         91.10","         96.00","         96.00","         92.40","         92.95","         93.00","         94.28","     800387","            75458232.80","       6631","     405193","         50.62"
"ORIENTPPR","EQ","11-Apr-2017","         93.00","         93.00","         94.40","         92.50","         94.00","         93.75","         93.29","     685056","            63906709.35","       3691","     585698","         85.50"
"ORIENTPPR","EQ","12-Apr-2017","         93.75","         96.20","         96.80","         92.50","         93.00","         93.40","         93.94","     534437","            50204258.90","       6954","     217203","         40.64"
"ORIENTPPR","EQ","13-Apr-2017","         93.40","         93.45","         93.80","         91.75","         92.35","         92.55","         92.88","     163483","            15184974.20","       1415","     104403","         63.86"
"ORIENTPPR","EQ","17-Apr-2017","         92.55","         93.00","         95.00","         90.10","         92.50","         92.10","         93.46","     545238","            50957783.75","       4724","     287389","         52.71"
"ORIENTPPR","EQ","18-Apr-2017","         92.10","         92.10","         93.45","         90.35","         91.00","         90.75","         91.46","     290802","            26597357.60","       2583","     201198","         69.19"
"ORIENTPPR","EQ","19-Apr-2017","         90.75","         90.05","         92.05","         88.10","         91.10","         91.20","         90.16","     178979","            16137548.35","       1845","     107017","         59.79"
"ORIENTPPR","EQ","20-Apr-2017","         91.20","         92.00","         92.75","         91.40","         92.75","         92.40","         92.14","     196462","            18102204.20","       1760","     125980","         64.12"
"ORIENTPPR","EQ","21-Apr-2017","         92.40","         92.85","         94.50","         91.75","         94.50","         93.70","         93.08","     263931","            24566150.85","       2404","     197333","         74.77"
"ORIENTPPR","EQ","24-Apr-2017","         93.70","         94.00","         94.45","         92.25","         92.50","         92.60","         92.84","     114864","            10664371.95","        840","      80182","         69.81"
"ORIENTPPR","EQ","25-Apr-2017","         92.60","         92.55","         93.05","         89.40","         89.85","         90.40","         91.50","     167299","            15308409.25","       1481","     123064","         73.56"
"ORIENTPPR","EQ","26-Apr-2017","         90.40","         89.50","         90.95","         85.15","         87.80","         87.70","         88.30","     229711","            20282656.60","       2242","     163228","         71.06"
"ORIENTPPR","EQ","27-Apr-2017","         87.70","         88.85","         90.90","         84.80","         84.95","         85.00","         85.88","     322481","            27695003.85","       3704","     265727","         82.40"
"ORIENTPPR","EQ","28-Apr-2017","         85.00","         86.00","         87.80","         84.50","         86.90","         85.75","         85.78","     927662","            79571472.15","       2626","     822317","         88.64"
"ORIENTPPR","EQ","02-May-2017","         85.75","         88.50","         88.50","         84.55","         85.60","         85.55","         85.85","     119141","            10228378.20","       1226","      77955","         65.43"
"ORIENTPPR","EQ","03-May-2017","         85.55","         86.50","         87.30","         85.95","         86.00","         86.00","         86.19","     157859","            13606458.30","       1013","     120746","         76.49"
"ORIENTPPR","EQ","04-May-2017","         86.00","         86.20","         88.85","         86.00","         87.30","         87.80","         87.71","     135847","            11915451.00","       1353","      87870","         64.68"
