"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ORIENTLTD","EQ","04-Jul-2017","         80.00","         81.45","         81.45","         76.70","         77.00","         77.00","         77.03","        250","               19256.45","         15","        125","         50.00"
"ORIENTLTD","EQ","05-Jul-2017","         77.00","         78.10","         85.00","         77.15","         85.00","         84.25","         81.65","      35587","             2905665.85","        258","        959","          2.69"
"ORIENTLTD","EQ","06-Jul-2017","         84.25","         93.00","         99.05","         85.40","         96.50","         96.80","         90.21","      41383","             3732961.05","        600","       6306","         15.24"
"ORIENTLTD","EQ","07-Jul-2017","         96.80","         99.90","        103.55","         96.10","         99.00","         97.25","         97.68","       8139","              795030.90","        155","       5048","         62.02"
"ORIENTLTD","EQ","10-Jul-2017","         97.25","        100.00","        100.00","         92.40","         93.75","         98.70","         98.31","        331","               32542.25","         15","        252","         76.13"
"ORIENTLTD","EQ","11-Jul-2017","         98.70","         96.20","        101.70","         94.05","         94.50","         94.80","         94.92","       3228","              306404.35","         53","       2104","         65.18"
"ORIENTLTD","EQ","12-Jul-2017","         94.80","         94.10","         96.70","         93.05","         96.70","         94.50","         93.89","       2499","              234639.50","         28","       1873","         74.95"
"ORIENTLTD","EQ","13-Jul-2017","         94.50","         94.50","         98.00","         91.00","         91.85","         91.70","         92.95","       2771","              257557.10","         48","       2280","         82.28"
"ORIENTLTD","EQ","14-Jul-2017","         91.70","         94.50","         94.50","         86.50","         89.00","         89.05","         88.82","       3336","              296308.65","        103","       1651","         49.49"
"ORIENTLTD","EQ","17-Jul-2017","         89.05","         86.45","         91.90","         85.00","         85.00","         86.95","         87.08","       1517","              132103.75","         28","       1117","         73.63"
"ORIENTLTD","EQ","18-Jul-2017","         86.95","         87.00","         87.95","         86.00","         86.00","         86.00","         86.03","        745","               64089.85","         17","        707","         94.90"
"ORIENTLTD","EQ","19-Jul-2017","         86.00","         84.05","         91.75","         84.05","         86.00","         86.05","         86.09","       2158","              185792.50","         48","       1430","         66.27"
"ORIENTLTD","EQ","20-Jul-2017","         86.05","         89.70","         89.70","         80.00","         80.00","         81.50","         84.14","       3575","              300790.40","         92","       1565","         43.78"
"ORIENTLTD","EQ","21-Jul-2017","         81.50","         80.15","         85.00","         80.10","         82.00","         82.25","         82.50","        559","               46118.95","         23","        157","         28.09"
"ORIENTLTD","EQ","24-Jul-2017","         82.25","         83.95","         83.95","         82.00","         83.90","         83.90","         82.85","         54","                4473.65","          6","         52","         96.30"
"ORIENTLTD","EQ","25-Jul-2017","         83.90","         84.00","         88.85","         81.10","         83.50","         83.80","         83.16","       1300","              108102.70","         43","        360","         27.69"
"ORIENTLTD","EQ","26-Jul-2017","         83.80","         81.05","         84.40","         81.05","         82.10","         82.15","         82.19","        514","               42243.70","         10","        252","         49.03"
