"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"OCCL","EQ","03-Apr-2017","        915.20","        940.00","       1052.50","        940.00","        983.00","        990.95","        995.30","      37362","            37186289.65","       2138","      14917","         39.93"
"OCCL","EQ","05-Apr-2017","        990.95","        999.90","       1005.00","        963.00","        970.05","        972.40","        983.95","      17285","            17007605.90","       1233","      10544","         61.00"
"OCCL","EQ","06-Apr-2017","        972.40","        973.00","       1003.00","        958.00","        975.05","        985.20","        974.83","       6734","             6564516.65","        473","       5355","         79.52"
"OCCL","EQ","07-Apr-2017","        985.20","        990.00","        999.95","        965.05","        976.00","        981.95","        986.45","       3228","             3184254.55","        200","       2409","         74.63"
"OCCL","EQ","10-Apr-2017","        981.95","        990.00","       1000.00","        979.00","        979.00","        984.70","        994.47","       8292","             8246175.60","        592","       6103","         73.60"
"OCCL","EQ","11-Apr-2017","        984.70","        979.00","        997.45","        975.10","        980.00","        984.00","        987.24","       2695","             2660622.35","        225","       1753","         65.05"
"OCCL","EQ","12-Apr-2017","        984.00","        980.00","        994.00","        955.00","        960.00","        958.25","        964.38","       7118","             6864457.60","        463","       4765","         66.94"
"OCCL","EQ","13-Apr-2017","        958.25","        950.40","        977.00","        950.40","        963.55","        968.60","        969.04","       2475","             2398372.60","        207","       1317","         53.21"
"OCCL","EQ","17-Apr-2017","        968.60","        973.70","        974.80","        950.00","        963.90","        960.20","        961.88","       2887","             2776937.85","        256","       1717","         59.47"
"OCCL","EQ","18-Apr-2017","        960.20","        974.80","        976.00","        940.05","        940.05","        944.80","        955.01","       5052","             4824719.75","        384","       3085","         61.06"
"OCCL","EQ","19-Apr-2017","        944.80","        940.00","        964.00","        930.10","        945.50","        945.60","        951.54","       1558","             1482504.90","        170","        863","         55.39"
"OCCL","EQ","20-Apr-2017","        945.60","        940.00","        964.95","        940.00","        959.80","        954.70","        952.73","       3658","             3485098.20","        265","       2272","         62.11"
"OCCL","EQ","21-Apr-2017","        954.70","        947.15","        969.90","        947.15","        954.00","        954.40","        957.50","       2574","             2464617.40","        176","       1637","         63.60"
"OCCL","EQ","24-Apr-2017","        954.40","        955.25","        973.95","        944.00","        953.10","        962.10","        961.90","       5707","             5489565.00","        209","       3259","         57.11"
"OCCL","EQ","25-Apr-2017","        962.10","        955.50","        962.20","        948.00","        950.80","        949.30","        952.90","       4328","             4124140.55","        268","       2551","         58.94"
"OCCL","EQ","26-Apr-2017","        949.30","        955.00","        962.95","        950.00","        950.05","        951.35","        954.85","       1429","             1364473.90","        158","        756","         52.90"
"OCCL","EQ","27-Apr-2017","        951.35","        950.00","        955.00","        935.00","        940.00","        940.60","        945.93","        897","              848496.25","        132","        647","         72.13"
"OCCL","EQ","28-Apr-2017","        940.60","        950.00","        953.00","        933.00","        940.00","        939.30","        940.00","       2763","             2597224.95","        232","       2048","         74.12"
"OCCL","EQ","02-May-2017","        939.30","        933.00","        940.00","        930.05","        940.00","        937.30","        935.95","       3173","             2969756.50","        203","       2290","         72.17"
"OCCL","EQ","03-May-2017","        937.30","        941.00","        948.90","        930.10","        938.00","        933.50","        936.02","       1582","             1480783.65","        189","        886","         56.01"
"OCCL","EQ","04-May-2017","        933.50","        933.00","        960.00","        928.05","        946.00","        946.50","        945.41","       3060","             2892957.70","        234","       2069","         67.61"
"OCCL","EQ","05-May-2017","        946.50","        950.00","        957.00","        931.05","        936.50","        938.05","        946.90","       3255","             3082157.65","        642","       2274","         69.86"
"OCCL","EQ","08-May-2017","        938.05","        940.00","        957.00","        936.40","        955.45","        954.00","        951.22","       3067","             2917392.70","        185","       1808","         58.95"
"OCCL","EQ","09-May-2017","        954.00","        954.90","        979.90","        950.00","        972.50","        975.35","        962.06","       3433","             3302764.20","        208","       2890","         84.18"
"OCCL","EQ","10-May-2017","        975.35","        961.00","        986.90","        960.20","        983.00","        981.30","        976.48","       3015","             2944093.30","        221","       2189","         72.60"
"OCCL","EQ","11-May-2017","        981.30","        990.00","        991.00","        965.10","        965.10","        970.00","        981.85","       4687","             4601918.40","        149","       4076","         86.96"
"OCCL","EQ","12-May-2017","        970.00","        983.75","        984.80","        960.00","        970.00","        963.55","        970.26","       1057","             1025561.60","        176","        716","         67.74"
"OCCL","EQ","15-May-2017","        963.55","        954.05","        978.55","        950.00","        950.00","        951.25","        960.11","       2648","             2542369.20","        207","       2162","         81.65"
"OCCL","EQ","16-May-2017","        951.25","        969.80","        969.80","        935.05","        954.00","        945.35","        944.02","       4082","             3853499.90","        486","       2652","         64.97"
"OCCL","EQ","17-May-2017","        945.35","        957.15","        964.85","        947.10","        956.00","        954.95","        957.83","       3864","             3701045.60","        143","       3023","         78.23"
"OCCL","EQ","18-May-2017","        954.95","        940.05","        966.00","        934.00","        944.55","        950.80","        952.26","       3980","             3789999.75","        394","       2077","         52.19"
"OCCL","EQ","19-May-2017","        950.80","        973.95","        973.95","        930.05","        942.00","        940.50","        945.17","       4658","             4402595.45","        379","       2142","         45.99"
"OCCL","EQ","22-May-2017","        940.50","        942.40","        960.85","        940.00","        940.00","        947.65","        949.52","       1282","             1217282.60","        162","        672","         52.42"
"OCCL","EQ","23-May-2017","        947.65","        941.30","        941.30","        920.00","        920.00","        923.95","        930.25","       1961","             1824212.45","        190","        868","         44.26"
"OCCL","EQ","24-May-2017","        923.95","        924.00","        933.00","        887.00","        924.00","        921.30","        919.79","       4378","             4026846.20","        474","       2607","         59.55"
"OCCL","EQ","25-May-2017","        921.30","        908.00","        959.65","        900.05","        945.00","        950.25","        929.73","       6096","             5667608.30","        864","       3481","         57.10"
"OCCL","EQ","26-May-2017","        950.25","        935.00","        962.00","        918.90","        958.00","        955.35","        947.93","      11582","            10978964.05","       1079","       5550","         47.92"
"OCCL","EQ","29-May-2017","        955.35","        969.80","        969.80","        920.00","        937.90","        931.20","        939.20","       2429","             2281313.15","        236","       1642","         67.60"
"OCCL","EQ","30-May-2017","        931.20","        942.00","        942.00","        911.10","        935.00","        921.85","        920.77","       5401","             4973076.40","        561","       3589","         66.45"
"OCCL","EQ","31-May-2017","        921.85","        920.00","       1004.75","        920.00","       1000.00","        997.30","        987.94","      29183","            28831024.15","       1391","      25670","         87.96"
"OCCL","EQ","01-Jun-2017","        997.30","        994.00","       1015.00","        984.00","       1005.00","       1000.00","       1000.24","      11301","            11303743.10","        573","      10043","         88.87"
"OCCL","EQ","02-Jun-2017","       1000.00","       1021.00","       1023.90","        971.65","       1009.90","        995.55","       1008.10","       6841","             6896402.50","        556","       4879","         71.32"
"OCCL","EQ","05-Jun-2017","        995.55","        995.00","       1009.90","        978.80","        980.05","        981.40","        990.38","       2492","             2468019.70","        451","       1058","         42.46"
"OCCL","EQ","06-Jun-2017","        981.40","        983.05","        992.75","        972.05","        980.00","        979.15","        979.40","        843","              825636.65","        122","        364","         43.18"
"OCCL","EQ","07-Jun-2017","        979.15","        980.60","        983.05","        953.10","        979.70","        964.45","        971.76","       2320","             2254489.95","        207","       1690","         72.84"
"OCCL","EQ","08-Jun-2017","        964.45","        979.70","        996.90","        960.00","        995.00","        988.45","        970.43","       3069","             2978243.70","        415","       2183","         71.13"
"OCCL","EQ","09-Jun-2017","        988.45","        994.00","       1000.00","        960.00","        995.00","        988.45","        979.43","       2741","             2684610.55","        480","       1596","         58.23"
"OCCL","EQ","12-Jun-2017","        988.45","        984.85","        991.00","        975.10","        990.00","        988.25","        986.39","       3572","             3523390.65","        574","       2721","         76.18"
"OCCL","EQ","13-Jun-2017","        988.25","        994.95","        995.00","        971.05","        975.00","        977.85","        978.23","       1314","             1285400.00","        193","        692","         52.66"
"OCCL","EQ","14-Jun-2017","        977.85","        980.10","        980.10","        952.00","        960.00","        959.30","        961.95","      19830","            19075550.60","        317","      17868","         90.11"
"OCCL","EQ","15-Jun-2017","        959.30","        970.00","        976.75","        950.05","        951.00","        957.70","        962.36","       4674","             4498054.20","        401","       3845","         82.26"
"OCCL","EQ","16-Jun-2017","        957.70","        955.00","        959.00","        950.00","        950.00","        951.50","        953.00","       1920","             1829759.75","        266","       1114","         58.02"
"OCCL","EQ","19-Jun-2017","        951.50","        951.20","        995.00","        951.00","        984.85","        985.95","        979.32","       7614","             7456523.35","        510","       5404","         70.97"
"OCCL","EQ","20-Jun-2017","        985.95","       1003.90","       1004.00","        980.00","        980.00","        984.85","        996.03","       8399","             8365680.55","        393","       6114","         72.79"
"OCCL","EQ","21-Jun-2017","        984.85","        990.95","       1001.00","        980.00","        989.90","        986.30","        994.94","       5632","             5603492.60","        395","       4239","         75.27"
"OCCL","EQ","22-Jun-2017","        986.30","        980.05","        989.00","        963.90","        968.00","        968.05","        971.48","       3593","             3490529.05","        642","       2436","         67.80"
"OCCL","EQ","23-Jun-2017","        968.05","        968.10","        970.35","        954.15","        954.40","        955.90","        961.31","       2580","             2480192.25","        268","       1660","         64.34"
"OCCL","EQ","27-Jun-2017","        955.90","        968.00","        968.00","        927.20","        945.55","        936.55","        937.78","       4065","             3812075.05","        282","       3064","         75.38"
"OCCL","EQ","28-Jun-2017","        936.55","        948.05","        962.00","        938.00","        951.00","        955.75","        950.06","        795","              755294.00","        130","        464","         58.36"
"OCCL","EQ","29-Jun-2017","        955.75","        956.95","        961.15","        951.00","        951.00","        954.90","        958.42","        456","              437039.05","         69","        272","         59.65"
"OCCL","EQ","30-Jun-2017","        954.90","        960.00","        986.00","        957.10","        975.50","        981.70","        975.04","       2709","             2641391.95","        307","       1929","         71.21"
