"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BINDALAGRO","EQ","02-Jan-2017","         25.20","         25.20","         25.80","         25.15","         25.40","         25.60","         25.55","      38266","              977538.70","        152","      24993","         65.31"
"BINDALAGRO","EQ","03-Jan-2017","         25.60","         25.75","         26.30","         25.55","         26.10","         25.95","         26.03","      55574","             1446388.10","        337","      30774","         55.37"
"BINDALAGRO","EQ","04-Jan-2017","         25.95","         26.50","         27.75","         25.65","         27.25","         27.30","         27.00","     247626","             6686409.00","        969","     123563","         49.90"
"BINDALAGRO","EQ","05-Jan-2017","         27.30","         27.30","         28.35","         27.05","         27.50","         27.70","         27.71","     182888","             5068273.20","        990","      74472","         40.72"
"BINDALAGRO","EQ","06-Jan-2017","         27.70","         28.25","         28.25","         26.90","         27.30","         27.35","         27.37","     137306","             3757859.60","        602","      54848","         39.95"
"BINDALAGRO","EQ","09-Jan-2017","         27.35","         27.60","         28.35","         27.10","         27.70","         27.65","         27.80","     132087","             3672524.15","        624","      60162","         45.55"
"BINDALAGRO","EQ","10-Jan-2017","         27.65","         27.95","         28.15","         27.30","         27.30","         27.40","         27.76","      92058","             2555479.00","        438","      52155","         56.65"
"BINDALAGRO","EQ","11-Jan-2017","         27.40","         27.55","         28.80","         27.55","         27.75","         27.75","         28.27","     447215","            12644648.15","       1644","     149917","         33.52"
"BINDALAGRO","EQ","12-Jan-2017","         27.75","         27.95","         28.10","         27.30","         27.60","         27.40","         27.62","      84302","             2328011.25","        329","      50734","         60.18"
"BINDALAGRO","EQ","13-Jan-2017","         27.40","         27.60","         28.45","         27.10","         27.65","         27.70","         27.80","     147523","             4101576.10","        857","      42944","         29.11"
"BINDALAGRO","EQ","16-Jan-2017","         27.70","         28.10","         29.30","         27.75","         28.60","         28.65","         28.60","     237245","             6785371.25","       1109","      92594","         39.03"
"BINDALAGRO","EQ","17-Jan-2017","         28.65","         28.75","         29.90","         28.15","         28.90","         29.05","         29.13","     328963","             9583555.95","       1520","     131469","         39.96"
"BINDALAGRO","EQ","18-Jan-2017","         29.05","         29.00","         29.80","         28.20","         28.40","         28.50","         29.16","     245928","             7172146.85","       1129","     129069","         52.48"
"BINDALAGRO","EQ","19-Jan-2017","         28.50","         28.85","         31.15","         28.35","         29.10","         29.15","         29.84","     789074","            23548832.35","       2887","     246788","         31.28"
"BINDALAGRO","EQ","20-Jan-2017","         29.15","         29.30","         29.50","         27.90","         28.10","         28.10","         28.57","     148931","             4255342.50","        775","      84132","         56.49"
"BINDALAGRO","EQ","23-Jan-2017","         28.10","         28.20","         28.55","         27.60","         27.70","         27.75","         28.06","      69962","             1962825.60","        323","      38693","         55.31"
"BINDALAGRO","EQ","24-Jan-2017","         27.75","         28.10","         28.35","         27.65","         27.85","         27.80","         27.99","     102545","             2869861.85","        348","      62639","         61.08"
"BINDALAGRO","EQ","25-Jan-2017","         27.80","         27.60","         28.50","         27.60","         27.70","         27.95","         27.99","      79650","             2229639.95","        300","      59117","         74.22"
"BINDALAGRO","EQ","27-Jan-2017","         27.95","         28.25","         28.35","         27.55","         27.60","         27.65","         27.98","      96370","             2696392.05","        345","      62207","         64.55"
"BINDALAGRO","EQ","30-Jan-2017","         27.65","         27.75","         28.70","         27.75","         27.90","         27.95","         28.25","     132246","             3735616.60","        617","      46114","         34.87"
"BINDALAGRO","EQ","31-Jan-2017","         27.95","         28.20","         28.20","         26.70","         27.00","         27.00","         27.34","      66226","             1810848.05","        329","      45645","         68.92"
"BINDALAGRO","EQ","01-Feb-2017","         27.00","         27.30","         27.55","         27.00","         27.25","         27.30","         27.33","      86896","             2374911.15","        361","      38833","         44.69"
