"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PILITA","BE","03-Apr-2017","         14.10","         14.35","         14.40","         13.90","         14.10","         13.95","         14.13","      14794","              209020.90","         59","-","-"
"PILITA","BE","05-Apr-2017","         13.95","         14.15","         14.50","         14.00","         14.10","         14.20","         14.21","      15584","              221473.40","         55","-","-"
"PILITA","BE","06-Apr-2017","         14.20","         14.00","         14.55","         14.00","         14.50","         14.45","         14.37","      26917","              386891.10","         73","-","-"
"PILITA","BE","07-Apr-2017","         14.45","         14.70","         15.15","         14.70","         15.15","         15.15","         15.06","      25398","              382575.20","         46","-","-"
"PILITA","BE","10-Apr-2017","         15.15","         15.60","         15.90","         15.40","         15.50","         15.50","         15.63","      40897","              639337.40","        110","-","-"
"PILITA","BE","11-Apr-2017","         15.50","         16.25","         16.25","         14.80","         15.10","         14.90","         15.32","      32378","              495951.85","        100","-","-"
"PILITA","BE","12-Apr-2017","         14.90","         15.60","         15.60","         14.90","         14.90","         14.90","         15.10","       9690","              146292.40","         51","-","-"
"PILITA","BE","13-Apr-2017","         14.90","         15.20","         15.30","         14.85","         15.10","         15.10","         14.99","      32648","              489437.30","         40","-","-"
"PILITA","BE","17-Apr-2017","         15.10","         15.05","         15.35","         14.80","         15.00","         14.80","         14.92","       4894","               73038.90","         32","-","-"
"PILITA","BE","18-Apr-2017","         14.80","         15.10","         15.20","         14.55","         14.55","         14.75","         14.83","      15647","              232082.10","         44","-","-"
"PILITA","BE","19-Apr-2017","         14.75","         14.80","         15.00","         14.35","         14.70","         14.45","         14.65","      10017","              146766.90","         57","-","-"
"PILITA","BE","20-Apr-2017","         14.45","         14.40","         14.75","         14.00","         14.25","         14.25","         14.42","      32658","              471054.30","         62","-","-"
"PILITA","BE","21-Apr-2017","         14.25","         14.50","         14.75","         14.30","         14.75","         14.60","         14.53","      16201","              235440.75","         70","-","-"
"PILITA","BE","24-Apr-2017","         14.60","         14.60","         14.60","         14.20","         14.45","         14.40","         14.44","       7501","              108283.65","         41","-","-"
"PILITA","BE","25-Apr-2017","         14.40","         14.40","         15.10","         14.25","         15.10","         15.10","         14.89","      33913","              504950.70","         43","-","-"
"PILITA","BE","26-Apr-2017","         15.10","         15.40","         15.70","         15.40","         15.50","         15.50","         15.57","      11010","              171449.10","         26","-","-"
"PILITA","BE","27-Apr-2017","         15.50","         16.00","         16.00","         15.50","         16.00","         15.90","         15.83","      37122","              587784.05","         84","-","-"
"PILITA","BE","28-Apr-2017","         15.90","         16.00","         16.45","         16.00","         16.30","         16.20","         16.23","      37517","              608778.90","        110","-","-"
"PILITA","BE","02-May-2017","         16.20","         16.50","         16.70","         16.25","         16.60","         16.45","         16.50","      32648","              538636.30","         59","-","-"
"PILITA","BE","03-May-2017","         16.45","         17.00","         17.25","         16.50","         17.15","         17.10","         16.92","      55989","              947573.30","        134","-","-"
"PILITA","BE","04-May-2017","         17.10","         17.40","         17.95","         17.40","         17.95","         17.95","         17.85","      33745","              602298.05","         99","-","-"
"PILITA","BE","05-May-2017","         17.95","         18.55","         18.65","         18.00","         18.35","         18.30","         18.32","      54353","              995667.10","        102","-","-"
"PILITA","BE","08-May-2017","         18.30","         18.70","         19.20","         18.20","         19.20","         19.15","         18.71","      65428","             1224461.65","        128","-","-"
"PILITA","BE","09-May-2017","         19.15","         19.90","         19.90","         19.45","         19.70","         19.65","         19.59","      40747","              798045.55","        110","-","-"
