"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PNBGILTS","EQ","02-Jan-2017","         45.70","         47.95","         47.95","         47.95","         47.95","         47.95","         47.95","     191148","             9165546.60","        352","     177147","         92.68"
"PNBGILTS","EQ","03-Jan-2017","         47.95","         50.30","         50.30","         48.60","         49.45","         49.50","         49.97","    3101755","           154985508.70","       5814","     904832","         29.17"
"PNBGILTS","EQ","04-Jan-2017","         49.50","         50.10","         50.15","         48.00","         48.10","         48.30","         48.73","     602639","            29367334.75","       2533","     361127","         59.92"
"PNBGILTS","EQ","05-Jan-2017","         48.30","         48.50","         50.10","         48.20","         49.40","         49.30","         49.24","     743750","            36623730.10","       2516","     367084","         49.36"
"PNBGILTS","EQ","06-Jan-2017","         49.30","         49.80","         49.80","         48.30","         48.60","         48.65","         48.91","     400726","            19598243.45","       1948","     227418","         56.75"
"PNBGILTS","EQ","09-Jan-2017","         48.65","         48.65","         49.10","         47.70","         48.50","         48.20","         48.46","     297541","            14420129.65","       1341","     187344","         62.96"
"PNBGILTS","EQ","10-Jan-2017","         48.20","         48.75","         49.80","         48.75","         48.90","         48.95","         49.20","     625623","            30780274.60","       2753","     328075","         52.44"
"PNBGILTS","EQ","11-Jan-2017","         48.95","         48.95","         49.30","         48.60","         48.65","         48.80","         48.90","     344203","            16832451.60","       1542","     189618","         55.09"
"PNBGILTS","EQ","12-Jan-2017","         48.80","         48.95","         49.30","         48.60","         49.00","         48.85","         48.91","     410154","            20062402.95","       1583","     228517","         55.71"
"PNBGILTS","EQ","13-Jan-2017","         48.85","         48.85","         49.25","         48.40","         49.25","         49.05","         48.92","     401206","            19625041.35","       1285","     228765","         57.02"
"PNBGILTS","EQ","16-Jan-2017","         49.05","         49.20","         49.80","         48.95","         49.05","         49.10","         49.29","     285139","            14053879.00","       1301","     170960","         59.96"
"PNBGILTS","EQ","17-Jan-2017","         49.10","         49.10","         49.75","         48.80","         49.00","         48.95","         49.19","     255560","            12571617.55","       1007","     155159","         60.71"
"PNBGILTS","EQ","18-Jan-2017","         48.95","         49.00","         49.25","         48.60","         48.75","         48.70","         48.82","     220192","            10750871.30","        859","     134027","         60.87"
"PNBGILTS","EQ","19-Jan-2017","         48.70","         48.90","         49.30","         48.55","         49.30","         49.10","         49.02","     267060","            13091094.65","       1140","     163966","         61.40"
"PNBGILTS","EQ","20-Jan-2017","         49.10","         49.10","         49.10","         48.00","         48.20","         48.25","         48.70","     435752","            21222443.90","       1267","     309474","         71.02"
"PNBGILTS","EQ","23-Jan-2017","         48.25","         47.70","         49.50","         47.70","         48.75","         48.85","         48.97","     411643","            20157626.15","       1097","     191331","         46.48"
"PNBGILTS","EQ","24-Jan-2017","         48.85","         48.90","         49.20","         48.80","         48.90","         48.90","         48.97","     303754","            14875545.30","        968","     161121","         53.04"
"PNBGILTS","EQ","25-Jan-2017","         48.90","         48.90","         51.30","         48.90","         51.30","         51.25","         50.55","    2458980","           124307087.35","       5882","     984001","         40.02"
"PNBGILTS","EQ","27-Jan-2017","         51.25","         51.90","         53.00","         51.50","         52.15","         52.00","         52.15","    1236950","            64503223.45","       5617","     612015","         49.48"
"PNBGILTS","EQ","30-Jan-2017","         52.00","         51.90","         54.60","         51.70","         54.60","         54.60","         53.82","    2305445","           124071001.20","       5796","    1037854","         45.02"
"PNBGILTS","EQ","31-Jan-2017","         54.60","         57.25","         57.30","         54.70","         55.20","         55.40","         56.37","    4650560","           262137462.50","      12227","    1899466","         40.84"
"PNBGILTS","EQ","01-Feb-2017","         55.40","         56.50","         57.45","         54.60","         56.40","         56.45","         55.93","    2078972","           116271388.20","       6072","    1058249","         50.90"
"PNBGILTS","EQ","02-Feb-2017","         56.45","         56.40","         59.25","         55.50","         58.30","         58.25","         58.02","    3030554","           175827411.10","      10319","    1077972","         35.57"
"PNBGILTS","EQ","03-Feb-2017","         58.25","         58.30","         59.75","         57.80","         58.80","         58.90","         58.83","    1174649","            69103916.35","       4063","     661444","         56.31"
"PNBGILTS","EQ","06-Feb-2017","         58.90","         59.90","         61.80","         59.35","         61.80","         61.80","         61.23","    2844891","           174205662.45","       7943","    1387975","         48.79"
"PNBGILTS","EQ","07-Feb-2017","         61.80","         62.90","         64.70","         60.35","         62.00","         61.50","         62.96","    3903505","           245776760.40","      13194","    1578088","         40.43"
"PNBGILTS","EQ","08-Feb-2017","         61.50","         62.40","         62.55","         55.45","         58.05","         58.40","         58.71","    3295359","           193457330.65","      10245","    1337024","         40.57"
"PNBGILTS","EQ","09-Feb-2017","         58.40","         57.95","         57.95","         53.70","         53.95","         54.00","         55.22","    3021946","           166884758.35","      11461","    1475693","         48.83"
"PNBGILTS","EQ","10-Feb-2017","         54.00","         54.00","         56.35","         52.35","         55.90","         56.05","         54.71","    2671395","           146156359.00","      11286","    1250998","         46.83"
"PNBGILTS","EQ","13-Feb-2017","         56.05","         56.55","         56.55","         53.95","         54.30","         54.55","         54.75","    1133646","            62071945.00","       5767","     546255","         48.19"
"PNBGILTS","EQ","14-Feb-2017","         54.55","         54.10","         54.90","         52.80","         53.05","         53.05","         53.69","     548751","            29462990.05","       2848","     289186","         52.70"
"PNBGILTS","EQ","15-Feb-2017","         53.05","         53.00","         53.70","         50.55","         50.70","         50.90","         51.57","     951349","            49063126.60","       4482","     513279","         53.95"
"PNBGILTS","EQ","16-Feb-2017","         50.90","         51.10","         58.75","         51.10","         57.35","         57.65","         56.94","    5573574","           317355413.05","      25130","    2028999","         36.40"
"PNBGILTS","EQ","17-Feb-2017","         57.65","         57.75","         58.20","         56.00","         56.10","         56.35","         56.86","    1235206","            70228823.65","       5685","     436602","         35.35"
"PNBGILTS","EQ","20-Feb-2017","         56.35","         56.35","         56.65","         54.85","         55.30","         55.45","         55.68","     606165","            33751597.15","       3025","     266510","         43.97"
"PNBGILTS","EQ","21-Feb-2017","         55.45","         55.55","         58.95","         55.55","         56.90","         56.95","         57.71","    1405772","            81123463.70","       6182","     451518","         32.12"
"PNBGILTS","EQ","22-Feb-2017","         56.95","         57.40","         57.40","         55.50","         56.20","         55.95","         56.30","     781966","            44023772.45","       3516","     356655","         45.61"
"PNBGILTS","EQ","23-Feb-2017","         55.95","         56.15","         56.80","         55.25","         55.60","         55.50","         55.99","     528913","            29613300.00","       1772","     261806","         49.50"
"PNBGILTS","EQ","27-Feb-2017","         55.50","         55.50","         55.75","         54.25","         54.65","         54.45","         54.78","     349250","            19133274.45","       1654","     224835","         64.38"
"PNBGILTS","EQ","28-Feb-2017","         54.45","         54.50","         55.25","         54.05","         54.40","         54.30","         54.61","     386854","            21127808.75","       1611","     203420","         52.58"
"PNBGILTS","EQ","01-Mar-2017","         54.30","         54.40","         56.75","         53.80","         55.00","         55.10","         55.42","     650228","            36035896.75","       3118","     253691","         39.02"
"PNBGILTS","EQ","02-Mar-2017","         55.10","         55.50","         56.55","         54.00","         54.25","         54.35","         55.12","     940173","            51826601.80","       3544","     327939","         34.88"
"PNBGILTS","EQ","03-Mar-2017","         54.35","         54.00","         54.80","         53.60","         54.00","         54.10","         54.03","     449020","            24259734.55","       1698","     194658","         43.35"
"PNBGILTS","EQ","06-Mar-2017","         54.10","         54.25","         55.75","         53.10","         54.45","         54.50","         54.82","     583148","            31969972.80","       2932","     215634","         36.98"
"PNBGILTS","EQ","07-Mar-2017","         54.50","         54.40","         54.90","         53.30","         53.65","         53.50","         54.00","     364947","            19706715.60","       1561","     205077","         56.19"
"PNBGILTS","EQ","08-Mar-2017","         53.50","         53.60","         54.80","         52.50","         53.25","         53.20","         53.46","     517722","            27675982.45","       2181","     225785","         43.61"
"PNBGILTS","EQ","09-Mar-2017","         53.20","         53.20","         53.75","         52.60","         52.60","         52.90","         53.24","     341210","            18165851.40","       1601","     107040","         31.37"
"PNBGILTS","EQ","10-Mar-2017","         52.90","         53.15","         53.95","         52.50","         52.60","         52.70","         53.22","     511946","            27245586.75","       2107","     234820","         45.87"
"PNBGILTS","EQ","14-Mar-2017","         52.70","         53.00","         54.40","         52.40","         52.65","         52.55","         53.17","     571438","            30384771.75","       2543","     289717","         50.70"
"PNBGILTS","EQ","15-Mar-2017","         52.55","         52.85","         53.45","         52.00","         52.40","         52.50","         52.73","     489988","            25839376.00","       2180","     238194","         48.61"
"PNBGILTS","EQ","16-Mar-2017","         52.50","         52.75","         54.50","         52.05","         53.45","         53.55","         53.42","     983776","            52552857.70","       3572","     365840","         37.19"
"PNBGILTS","EQ","17-Mar-2017","         53.55","         53.80","         54.70","         53.00","         53.10","         53.25","         53.63","     536742","            28786703.25","       3009","     234676","         43.72"
"PNBGILTS","EQ","20-Mar-2017","         53.25","         53.05","         53.80","         52.75","         52.85","         53.00","         53.11","     300835","            15977167.55","       1224","     174108","         57.87"
"PNBGILTS","EQ","21-Mar-2017","         53.00","         53.10","         53.40","         52.25","         52.50","         52.40","         52.64","     236533","            12451307.85","       1155","     141432","         59.79"
"PNBGILTS","EQ","22-Mar-2017","         52.40","         52.35","         52.80","         51.50","         51.60","         51.65","         51.94","     370007","            19216708.25","       1738","     247978","         67.02"
"PNBGILTS","EQ","23-Mar-2017","         51.65","         51.90","         55.50","         51.60","         54.05","         54.00","         54.22","    2273061","           123238130.40","      10214","     858797","         37.78"
"PNBGILTS","EQ","24-Mar-2017","         54.00","         54.05","         54.75","         53.80","         54.00","         54.10","         54.29","     500786","            27186511.80","       2309","     280878","         56.09"
"PNBGILTS","EQ","27-Mar-2017","         54.10","         53.10","         54.25","         52.60","         52.75","         52.90","         53.28","     345885","            18429501.65","       1584","     212172","         61.34"
"PNBGILTS","EQ","28-Mar-2017","         52.90","         53.00","         54.85","         53.00","         53.70","         53.60","         53.92","     502045","            27070372.45","       2444","     258737","         51.54"
"PNBGILTS","EQ","29-Mar-2017","         53.60","         53.25","         53.90","         52.50","         53.30","         53.10","         53.13","     508954","            27038476.60","       2009","     326548","         64.16"
"PNBGILTS","EQ","30-Mar-2017","         53.10","         53.20","         53.85","         52.90","         53.15","         53.20","         53.36","     256334","            13677449.70","       1284","     136661","         53.31"
"PNBGILTS","EQ","31-Mar-2017","         53.20","         53.50","         53.80","         52.70","         53.05","         53.05","         53.14","     428427","            22764807.05","       1412","     312084","         72.84"
