"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PNCINFRA","EQ","03-Apr-2017","        117.15","        117.95","        127.00","        117.65","        126.00","        125.95","        123.83","    1776444","           219976924.80","       9341","    1141536","         64.26"
"PNCINFRA","EQ","05-Apr-2017","        125.95","        126.15","        129.50","        126.00","        128.25","        128.05","        127.79","    1228616","           157004652.60","       5245","     894092","         72.77"
"PNCINFRA","EQ","06-Apr-2017","        128.05","        127.50","        127.90","        125.10","        126.25","        126.75","        126.21","     970071","           122437467.75","       4147","     732226","         75.48"
"PNCINFRA","EQ","07-Apr-2017","        126.75","        125.50","        129.25","        125.10","        128.50","        127.95","        128.16","     961368","           123212728.10","       3546","     727009","         75.62"
"PNCINFRA","EQ","10-Apr-2017","        127.95","        128.90","        132.85","        127.95","        130.00","        130.05","        130.17","    1088144","           141645351.70","       6814","     696796","         64.04"
"PNCINFRA","EQ","11-Apr-2017","        130.05","        130.60","        132.90","        129.60","        131.50","        131.05","        131.29","    1031566","           135431342.65","       4679","     714858","         69.30"
"PNCINFRA","EQ","12-Apr-2017","        131.05","        135.00","        142.25","        131.40","        138.30","        137.75","        136.59","    4993560","           682081965.10","      33989","    2212029","         44.30"
"PNCINFRA","EQ","13-Apr-2017","        137.75","        138.40","        144.00","        136.00","        138.00","        137.30","        139.90","    1446201","           202320559.75","      11440","     662295","         45.80"
"PNCINFRA","EQ","17-Apr-2017","        137.30","        138.40","        141.60","        138.00","        139.90","        139.50","        139.54","     981377","           136942992.25","       6707","     527273","         53.73"
"PNCINFRA","EQ","18-Apr-2017","        139.50","        140.75","        143.50","        133.65","        136.85","        136.00","        140.32","    1365514","           191615581.60","      10594","     632901","         46.35"
"PNCINFRA","EQ","19-Apr-2017","        136.00","        137.50","        139.90","        135.55","        139.80","        138.65","        138.11","     881869","           121791215.50","       5337","     586619","         66.52"
"PNCINFRA","EQ","20-Apr-2017","        138.65","        140.40","        152.75","        138.65","        148.00","        148.05","        147.86","    2604628","           385111728.35","      27108","    1237370","         47.51"
"PNCINFRA","EQ","21-Apr-2017","        148.05","        149.25","        154.00","        149.00","        151.15","        151.10","        151.18","    1156432","           174828600.90","      11441","     601372","         52.00"
"PNCINFRA","EQ","24-Apr-2017","        151.10","        152.00","        159.65","        152.00","        159.60","        158.95","        156.86","    1129082","           177103238.45","      10439","     564319","         49.98"
"PNCINFRA","EQ","25-Apr-2017","        158.95","        162.40","        168.50","        162.00","        164.00","        163.40","        164.88","    1330867","           219435232.80","      13996","     529766","         39.81"
"PNCINFRA","EQ","26-Apr-2017","        163.40","        164.40","        165.20","        152.50","        155.50","        155.15","        157.49","    1086283","           171078043.50","      10924","     629302","         57.93"
"PNCINFRA","EQ","27-Apr-2017","        155.15","        156.15","        158.20","        155.00","        156.75","        156.15","        156.58","     426252","            66744324.35","       4713","     214638","         50.35"
"PNCINFRA","EQ","28-Apr-2017","        156.15","        157.00","        159.00","        152.50","        158.80","        157.55","        156.04","     388785","            60665608.75","       5091","     190841","         49.09"
"PNCINFRA","EQ","02-May-2017","        157.55","        158.60","        162.50","        156.00","        159.50","        159.00","        158.17","    2992594","           473330242.90","       6708","    2622438","         87.63"
"PNCINFRA","EQ","03-May-2017","        159.00","        160.60","        161.50","        156.55","        159.60","        159.60","        158.62","     680798","           107989336.65","       4917","     421071","         61.85"
"PNCINFRA","EQ","04-May-2017","        159.60","        160.35","        163.50","        159.45","        160.85","        160.65","        161.58","     556469","            89911970.20","       5231","     283633","         50.97"
"PNCINFRA","EQ","05-May-2017","        160.65","        161.00","        161.65","        157.00","        159.50","        159.40","        159.03","     399016","            63454561.40","       3121","     254056","         63.67"
