"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PANAMAPET","EQ","02-Jan-2017","         88.50","         90.00","         98.90","         87.25","         96.80","         96.40","         94.84","     129631","            12293918.20","       1395","      68671","         52.97"
"PANAMAPET","EQ","03-Jan-2017","         96.40","         97.85","         97.90","         93.50","         95.15","         95.70","         95.92","      12563","             1205079.75","        306","       8691","         69.18"
"PANAMAPET","EQ","04-Jan-2017","         95.70","         96.95","         99.00","         94.25","         97.00","         96.20","         96.91","      26651","             2582703.30","        203","      15562","         58.39"
"PANAMAPET","EQ","05-Jan-2017","         96.20","         98.50","        101.70","         97.10","        100.90","        100.10","         99.83","     119510","            11930172.55","        705","      77187","         64.59"
"PANAMAPET","EQ","06-Jan-2017","        100.10","        101.60","        107.40","        100.60","        105.65","        104.05","        104.01","     113325","            11787370.60","        852","      59402","         52.42"
"PANAMAPET","EQ","09-Jan-2017","        104.05","        106.00","        122.00","        106.00","        121.80","        120.05","        117.02","     433111","            50681967.60","       4659","     184097","         42.51"
"PANAMAPET","EQ","10-Jan-2017","        120.05","        120.00","        123.00","        113.60","        116.00","        117.85","        118.12","     123309","            14564864.55","       2860","      56172","         45.55"
"PANAMAPET","EQ","11-Jan-2017","        117.85","        118.50","        118.50","        112.55","        115.00","        115.05","        114.90","      31894","             3664599.30","        743","      17297","         54.23"
"PANAMAPET","EQ","12-Jan-2017","        115.05","        117.00","        117.00","        110.35","        111.00","        111.10","        112.51","      35469","             3990530.80","        543","      22624","         63.79"
"PANAMAPET","EQ","13-Jan-2017","        111.10","        115.50","        115.50","        105.30","        107.95","        108.05","        109.64","      40236","             4411669.85","        565","      25498","         63.37"
"PANAMAPET","EQ","16-Jan-2017","        108.05","        109.90","        111.20","        106.70","        110.40","        110.35","        109.40","      29737","             3253368.05","        505","      18760","         63.09"
"PANAMAPET","EQ","17-Jan-2017","        110.35","        111.40","        111.45","        105.45","        108.30","        107.35","        107.12","      38167","             4088626.95","        490","      25635","         67.17"
