"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PILANIINVS","BE","03-Apr-2017","       2148.50","       2200.00","       2200.00","       2156.00","       2180.00","       2180.00","       2186.68","        141","              308321.80","         19","-","-"
"PILANIINVS","BE","05-Apr-2017","       2180.00","       2180.00","       2249.00","       2157.50","       2249.00","       2247.65","       2217.69","        634","             1406012.90","         85","-","-"
"PILANIINVS","BE","06-Apr-2017","       2247.65","       2297.95","       2297.95","       2161.00","       2240.00","       2205.35","       2217.43","        906","             2008989.70","         78","-","-"
"PILANIINVS","BE","07-Apr-2017","       2205.35","       2224.00","       2245.00","       2190.00","       2191.00","       2218.20","       2215.12","       1620","             3588495.65","         71","-","-"
"PILANIINVS","BE","10-Apr-2017","       2218.20","       2229.00","       2230.00","       2175.00","       2230.00","       2211.90","       2209.02","        805","             1778259.90","         64","-","-"
"PILANIINVS","BE","11-Apr-2017","       2211.90","       2224.50","       2225.00","       2180.00","       2222.00","       2210.25","       2208.01","        440","              971525.35","         52","-","-"
"PILANIINVS","BE","12-Apr-2017","       2210.25","       2190.00","       2239.95","       2180.00","       2185.00","       2186.75","       2189.20","        365","              799059.40","         34","-","-"
"PILANIINVS","BE","13-Apr-2017","       2186.75","       2219.00","       2219.00","       2190.00","       2210.00","       2207.75","       2203.52","        172","              379005.50","         27","-","-"
"PILANIINVS","BE","17-Apr-2017","       2207.75","       2248.50","       2248.50","       2201.05","       2205.00","       2212.70","       2213.56","        265","              586593.00","         25","-","-"
"PILANIINVS","BE","18-Apr-2017","       2212.70","       2190.10","       2238.85","       2151.15","       2210.00","       2208.30","       2201.86","        751","             1653597.45","         63","-","-"
"PILANIINVS","BE","19-Apr-2017","       2208.30","       2200.00","       2208.30","       2195.00","       2200.00","       2200.00","       2200.80","        468","             1029975.50","         55","-","-"
"PILANIINVS","BE","20-Apr-2017","       2200.00","       2203.00","       2250.00","       2203.00","       2235.00","       2230.65","       2230.68","        552","             1231333.05","         53","-","-"
"PILANIINVS","BE","21-Apr-2017","       2230.65","       2211.00","       2250.00","       2211.00","       2222.00","       2219.95","       2224.49","        276","              613959.05","         23","-","-"
"PILANIINVS","BE","24-Apr-2017","       2219.95","       2280.00","       2289.00","       2243.20","       2280.00","       2257.20","       2265.32","        354","              801922.30","         41","-","-"
"PILANIINVS","BE","25-Apr-2017","       2257.20","       2280.00","       2330.00","       2255.00","       2330.00","       2314.55","       2296.96","       1518","             3486787.50","        120","-","-"
"PILANIINVS","BE","26-Apr-2017","       2314.55","       2341.00","       2374.80","       2300.00","       2324.00","       2305.25","       2315.70","        604","             1398681.05","         57","-","-"
"PILANIINVS","BE","27-Apr-2017","       2305.25","       2305.25","       2350.00","       2280.00","       2280.00","       2280.00","       2302.61","        688","             1584195.05","         55","-","-"
"PILANIINVS","BE","28-Apr-2017","       2280.00","       2291.10","       2329.00","       2260.00","       2325.00","       2325.00","       2315.94","        687","             1591052.15","         71","-","-"
"PILANIINVS","BE","02-May-2017","       2325.00","       2325.00","       2341.00","       2275.00","       2338.00","       2338.80","       2324.46","        547","             1271481.05","         68","-","-"
"PILANIINVS","BE","03-May-2017","       2338.80","       2345.00","       2358.00","       2306.95","       2358.00","       2357.80","       2354.56","        903","             2126166.90","         99","-","-"
"PILANIINVS","BE","04-May-2017","       2357.80","       2357.80","       2358.00","       2280.00","       2330.00","       2329.40","       2323.28","        896","             2081661.45","        105","-","-"
"PILANIINVS","BE","05-May-2017","       2329.40","       2330.00","       2345.00","       2290.00","       2340.05","       2340.05","       2338.82","       1077","             2518910.85","         37","-","-"
