"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PLASTIBLEN","EQ","02-Jan-2017","        452.75","        453.95","        460.00","        442.75","        443.10","        444.70","        447.95","       3971","             1778804.25","        220","       2837","         71.44"
"PLASTIBLEN","EQ","03-Jan-2017","        444.70","        446.05","        468.80","        446.00","        467.00","        463.15","        460.77","       4702","             2166527.15","        400","       2922","         62.14"
"PLASTIBLEN","EQ","04-Jan-2017","        463.15","        469.00","        469.00","        451.20","        454.60","        456.00","        459.88","       2102","              966660.35","        173","       1467","         69.79"
"PLASTIBLEN","EQ","05-Jan-2017","        456.00","        464.95","        475.00","        456.30","        471.00","        471.70","        467.39","       7689","             3593738.25","        659","       4880","         63.47"
"PLASTIBLEN","EQ","06-Jan-2017","        471.70","        471.00","        479.90","        464.00","        479.90","        475.00","        471.01","       6593","             3105400.85","        393","       5792","         87.85"
"PLASTIBLEN","EQ","09-Jan-2017","        475.00","        471.05","        471.50","        465.00","        465.50","        468.05","        467.82","       2550","             1192946.60","        133","       1886","         73.96"
"PLASTIBLEN","EQ","10-Jan-2017","        468.05","        464.30","        473.95","        464.30","        469.00","        468.70","        469.22","       1045","              490337.80","         66","        800","         76.56"
"PLASTIBLEN","EQ","11-Jan-2017","        468.70","        477.00","        487.00","        472.15","        486.00","        484.00","        484.28","       5147","             2492582.20","        302","       3244","         63.03"
"PLASTIBLEN","EQ","12-Jan-2017","        484.00","        482.05","        485.30","        476.20","        484.50","        482.50","        481.51","       2339","             1126260.65","        179","       1686","         72.08"
"PLASTIBLEN","EQ","13-Jan-2017","        482.50","        483.25","        499.60","        480.00","        498.00","        497.25","        492.34","       4947","             2435627.45","        480","       3773","         76.27"
"PLASTIBLEN","EQ","16-Jan-2017","        497.25","        489.75","        500.00","        482.70","        500.00","        498.05","        495.46","       4025","             1994213.15","        475","       2269","         56.37"
"PLASTIBLEN","EQ","17-Jan-2017","        498.05","        500.00","        508.00","        495.00","        502.00","        498.20","        500.26","       2468","             1234651.50","        229","       1284","         52.03"
"PLASTIBLEN","EQ","18-Jan-2017","        498.20","        507.95","        507.95","        496.05","        502.95","        501.45","        500.60","       3849","             1926806.60","        204","       3166","         82.26"
"PLASTIBLEN","EQ","19-Jan-2017","        501.45","        496.05","        503.85","        495.00","        495.00","        495.10","        497.27","       2115","             1051717.80","        109","       1362","         64.40"
"PLASTIBLEN","EQ","20-Jan-2017","        495.10","        490.55","        502.90","        480.00","        490.00","        485.10","        490.89","       1860","              913049.40","        203","       1212","         65.16"
"PLASTIBLEN","EQ","23-Jan-2017","        485.10","        481.00","        492.00","        475.05","        489.60","        488.40","        486.70","       2795","             1360324.90","        295","       1674","         59.89"
