"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PODDARHOUS","EQ","10-Apr-2017","        939.80","        955.00","       1094.95","        916.00","        950.00","        950.05","        963.39","        104","              100192.20","         39","         54","         51.92"
"PODDARHOUS","EQ","11-Apr-2017","        950.05","        940.05","       1100.00","        899.00","        920.00","        922.90","        947.18","       3599","             3408912.15","         72","       3435","         95.44"
"PODDARHOUS","EQ","12-Apr-2017","        922.90","        910.05","        998.00","        905.00","        950.00","        950.00","        955.08","        494","              471810.95","         24","        324","         65.59"
"PODDARHOUS","EQ","13-Apr-2017","        950.00","        910.15","        950.35","        910.10","        939.80","        939.80","        949.25","       1651","             1567206.00","         30","       1256","         76.08"
"PODDARHOUS","EQ","17-Apr-2017","        939.80","        907.00","        940.00","        907.00","        911.00","        911.85","        935.67","        355","              332163.85","         11","        354","         99.72"
"PODDARHOUS","EQ","18-Apr-2017","        911.85","        925.05","        925.05","        912.00","        912.00","        912.00","        918.48","         29","               26636.05","         14","         20","         68.97"
"PODDARHOUS","EQ","19-Apr-2017","        912.00","        932.80","        932.80","        905.00","        920.00","        920.00","        918.59","         78","               71649.65","         15","         67","         85.90"
"PODDARHOUS","EQ","20-Apr-2017","        920.00","        920.00","        940.00","        909.95","        940.00","        926.05","        912.08","        427","              389459.85","         19","        401","         93.91"
"PODDARHOUS","EQ","21-Apr-2017","        926.05","        950.00","        980.00","        920.00","        932.00","        929.00","        943.47","        270","              254736.65","         26","        242","         89.63"
"PODDARHOUS","EQ","24-Apr-2017","        929.00","       1040.00","       1040.00","        915.00","        929.10","        957.60","        939.78","        333","              312948.00","         62","        211","         63.36"
"PODDARHOUS","EQ","25-Apr-2017","        957.60","        934.05","        950.00","        934.00","        940.00","        940.00","        940.09","        578","              543371.85","         24","        572","         98.96"
"PODDARHOUS","EQ","26-Apr-2017","        940.00","        976.95","        976.95","        870.00","        933.00","        934.55","        929.00","        172","              159787.55","         35","        113","         65.70"
"PODDARHOUS","EQ","27-Apr-2017","        934.55","        917.70","        939.95","        917.70","        929.00","        929.75","        929.06","        207","              192314.95","         31","        188","         90.82"
"PODDARHOUS","EQ","28-Apr-2017","        929.75","        965.00","        969.75","        920.00","        950.00","        949.20","        954.10","       1445","             1378667.90","         85","       1224","         84.71"
"PODDARHOUS","EQ","02-May-2017","        949.20","        950.00","        969.00","        950.00","        963.00","        962.15","        958.62","        764","              732385.45","         40","        741","         96.99"
"PODDARHOUS","EQ","03-May-2017","        962.15","        961.95","        994.00","        961.95","        965.00","        965.00","        969.14","        130","              125988.35","         15","        129","         99.23"
"PODDARHOUS","EQ","04-May-2017","        965.00","        961.00","        980.05","        961.00","        972.00","        972.00","        975.33","        233","              227252.20","         31","        212","         90.99"
"PODDARHOUS","EQ","05-May-2017","        972.00","        970.00","       1000.00","        921.00","        965.00","        965.00","        978.46","        490","              479447.70","         42","        397","         81.02"
"PODDARHOUS","EQ","08-May-2017","        965.00","        994.95","       1049.05","        994.95","       1030.00","       1036.25","       1014.88","       2099","             2130235.20","         78","       1953","         93.04"
"PODDARHOUS","EQ","09-May-2017","       1036.25","       1105.00","       1105.00","       1002.55","       1104.00","       1086.70","       1076.19","        599","              644638.55","        109","        443","         73.96"
"PODDARHOUS","EQ","10-May-2017","       1086.70","       1130.00","       1185.00","       1090.00","       1115.00","       1095.55","       1130.45","        952","             1076190.05","         90","        809","         84.98"
"PODDARHOUS","EQ","11-May-2017","       1095.55","       1144.00","       1150.05","       1060.00","       1072.00","       1072.00","       1120.73","       1855","             2078957.65","        134","       1289","         69.49"
"PODDARHOUS","EQ","12-May-2017","       1072.00","       1100.00","       1100.00","       1030.00","       1056.30","       1065.25","       1060.95","        113","              119887.55","         32","         75","         66.37"
"PODDARHOUS","EQ","15-May-2017","       1065.25","       1065.25","       1079.00","       1020.00","       1079.00","       1079.00","       1054.30","        204","              215077.15","         25","        191","         93.63"
"PODDARHOUS","EQ","16-May-2017","       1079.00","       1073.90","       1149.00","       1039.00","       1094.00","       1085.30","       1093.55","        561","              613480.65","        107","        337","         60.07"
"PODDARHOUS","EQ","17-May-2017","       1085.30","       1021.05","       1055.00","        999.45","       1021.00","       1032.65","       1024.43","       1561","             1599141.90","         94","       1240","         79.44"
"PODDARHOUS","EQ","18-May-2017","       1032.65","       1029.05","       1075.00","       1021.00","       1030.10","       1036.35","       1048.86","        155","              162573.45","         37","        140","         90.32"
"PODDARHOUS","EQ","19-May-2017","       1036.35","       1100.00","       1100.00","       1020.00","       1020.00","       1034.55","       1042.27","        427","              445049.50","         33","        417","         97.66"
"PODDARHOUS","EQ","22-May-2017","       1034.55","       1020.00","       1068.90","       1020.00","       1038.55","       1038.10","       1045.11","        234","              244555.25","         34","        217","         92.74"
"PODDARHOUS","EQ","23-May-2017","       1038.10","       1100.00","       1119.00","        962.15","       1005.00","       1008.95","        996.22","        866","              862723.45","         73","        767","         88.57"
"PODDARHOUS","EQ","24-May-2017","       1008.95","       1025.00","       1025.00","        981.00","        985.00","        985.35","        988.79","        378","              373762.85","         33","        362","         95.77"
"PODDARHOUS","EQ","25-May-2017","        985.35","       1020.00","       1021.65","        950.00","        988.00","        979.70","        982.78","        771","              757723.35","         33","        712","         92.35"
"PODDARHOUS","EQ","26-May-2017","        979.70","       1000.00","       1000.05","        890.00","       1000.00","        992.25","        962.61","        714","              687300.35","         55","        410","         57.42"
"PODDARHOUS","EQ","29-May-2017","        992.25","       1048.95","       1049.00","        961.60","        965.00","        965.00","       1010.72","         33","               33353.85","          7","         30","         90.91"
"PODDARHOUS","EQ","30-May-2017","        965.00","        960.05","        980.00","        960.00","        975.00","        979.45","        978.51","        430","              420759.00","         11","        422","         98.14"
"PODDARHOUS","EQ","31-May-2017","        979.45","        969.95","        975.00","        969.95","        974.95","        974.95","        972.09","         19","               18469.75","          5","         18","         94.74"
"PODDARHOUS","EQ","01-Jun-2017","        974.95","        951.60","        965.00","        930.00","        965.00","        945.00","        945.30","         71","               67116.60","          9","         64","         90.14"
"PODDARHOUS","EQ","02-Jun-2017","        945.00","        930.05","        970.00","        925.00","        930.00","        939.00","        937.05","        210","              196780.60","         33","        183","         87.14"
"PODDARHOUS","EQ","05-Jun-2017","        939.00","        967.95","        989.95","        952.00","        952.00","        955.15","        973.15","        756","              735704.55","         29","        747","         98.81"
"PODDARHOUS","EQ","06-Jun-2017","        955.15","        969.95","        970.00","        956.00","        970.00","        969.60","        959.18","         65","               62346.70","          9","         56","         86.15"
"PODDARHOUS","EQ","07-Jun-2017","        969.60","        965.00","        965.00","        909.00","        930.00","        921.25","        930.58","        371","              345245.60","         35","        310","         83.56"
"PODDARHOUS","EQ","08-Jun-2017","        921.25","        922.00","        955.00","        910.00","        954.00","        954.00","        922.33","         96","               88543.25","         20","         82","         85.42"
"PODDARHOUS","EQ","09-Jun-2017","        954.00","        960.00","        960.00","        916.55","        944.00","        928.80","        936.75","         64","               59952.10","         17","         48","         75.00"
"PODDARHOUS","EQ","12-Jun-2017","        928.80","        955.00","       1000.00","        933.25","        945.00","        947.50","        964.32","        452","              435871.80","         29","        263","         58.19"
"PODDARHOUS","EQ","13-Jun-2017","        947.50","        989.90","        989.95","        940.00","        975.00","        970.00","        950.83","        246","              233903.30","         29","        220","         89.43"
"PODDARHOUS","EQ","14-Jun-2017","        970.00","        945.00","        945.00","        945.00","        945.00","        945.00","        945.00","          5","                4725.00","          1","          5","        100.00"
"PODDARHOUS","EQ","15-Jun-2017","        945.00","        955.00","       1039.00","        955.00","       1039.00","       1039.00","        993.99","       1394","             1385618.85","         69","       1233","         88.45"
