"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PONNIERODE","EQ","02-Jan-2017","        206.20","        208.80","        226.00","        202.35","        217.00","        218.40","        215.04","      35351","             7601880.95","       1480","      14072","         39.81"
"PONNIERODE","EQ","03-Jan-2017","        218.40","        220.00","        225.00","        217.55","        221.00","        221.70","        222.15","      23801","             5287294.50","        890","       8413","         35.35"
"PONNIERODE","EQ","04-Jan-2017","        221.70","        223.70","        229.35","        212.65","        213.00","        214.15","        221.31","      12724","             2815925.10","        663","       6177","         48.55"
"PONNIERODE","EQ","05-Jan-2017","        214.15","        217.50","        219.90","        213.50","        218.00","        217.25","        217.62","       5777","             1257183.15","        206","       3589","         62.13"
"PONNIERODE","EQ","06-Jan-2017","        217.25","        220.00","        227.90","        217.05","        220.00","        221.15","        222.33","       9177","             2040295.50","        382","       5004","         54.53"
"PONNIERODE","EQ","09-Jan-2017","        221.15","        227.00","        240.00","        222.20","        237.55","        232.90","        230.09","      15511","             3568922.75","        551","       9687","         62.45"
"PONNIERODE","EQ","10-Jan-2017","        232.90","        239.00","        259.00","        236.50","        253.00","        254.10","        252.87","      75804","            19168732.85","       2240","      36200","         47.75"
"PONNIERODE","EQ","11-Jan-2017","        254.10","        256.60","        259.70","        244.05","        246.00","        245.90","        249.71","      19246","             4805826.90","        837","      11082","         57.58"
"PONNIERODE","EQ","12-Jan-2017","        245.90","        242.05","        250.85","        234.05","        238.90","        238.40","        240.85","      46422","            11180598.60","        503","      41856","         90.16"
"PONNIERODE","EQ","13-Jan-2017","        238.40","        236.00","        247.45","        232.65","        240.50","        241.55","        241.15","      16229","             3913646.60","        710","       6089","         37.52"
"PONNIERODE","EQ","16-Jan-2017","        241.55","        245.00","        248.00","        238.10","        243.10","        243.30","        242.76","       8124","             1972158.10","        448","       2676","         32.94"
"PONNIERODE","EQ","17-Jan-2017","        243.30","        244.95","        245.00","        237.95","        239.00","        239.35","        241.25","       4230","             1020491.55","        270","       2737","         64.70"
"PONNIERODE","EQ","18-Jan-2017","        239.35","        239.00","        241.00","        232.00","        232.50","        234.15","        236.21","       6258","             1478174.15","        384","       3589","         57.35"
"PONNIERODE","EQ","19-Jan-2017","        234.15","        234.60","        237.75","        227.50","        227.50","        229.20","        232.21","       5269","             1223498.65","        159","       3782","         71.78"
"PONNIERODE","EQ","20-Jan-2017","        229.20","        229.50","        229.50","        210.90","        219.65","        217.75","        223.11","      10237","             2283994.85","        397","       4266","         41.67"
"PONNIERODE","EQ","23-Jan-2017","        217.75","        214.00","        224.00","        214.00","        220.00","        221.65","        220.20","       5538","             1219466.75","        164","       1331","         24.03"
"PONNIERODE","EQ","24-Jan-2017","        221.65","        225.00","        242.00","        222.05","        233.50","        234.60","        235.34","      24119","             5676149.75","       1465","       9117","         37.80"
"PONNIERODE","EQ","25-Jan-2017","        234.60","        235.00","        236.00","        229.10","        235.00","        233.80","        232.96","       6212","             1447137.60","        256","       3668","         59.05"
"PONNIERODE","EQ","27-Jan-2017","        233.80","        235.00","        239.90","        232.10","        233.90","        233.70","        235.47","       5300","             1247968.50","        187","       2955","         55.75"
"PONNIERODE","EQ","30-Jan-2017","        233.70","        237.00","        241.25","        228.05","        234.00","        232.80","        233.60","       3126","              730237.55","        230","       1427","         45.65"
"PONNIERODE","EQ","31-Jan-2017","        232.80","        235.00","        235.00","        228.05","        230.00","        229.15","        229.56","       4033","              925801.40","        242","       2920","         72.40"
"PONNIERODE","EQ","01-Feb-2017","        229.15","        235.00","        241.00","        230.00","        238.95","        238.90","        237.85","       5437","             1293186.05","        297","       3765","         69.25"
"PONNIERODE","EQ","02-Feb-2017","        238.90","        242.90","        254.50","        237.75","        246.40","        245.55","        247.76","      28763","             7126339.25","        907","      17216","         59.85"
"PONNIERODE","EQ","03-Feb-2017","        245.55","        247.70","        259.00","        236.45","        236.45","        238.55","        245.38","     202334","            49648888.30","       6386","      47374","         23.41"
"PONNIERODE","EQ","06-Feb-2017","        238.55","        243.00","        244.90","        232.20","        233.00","        234.00","        239.30","      64539","            15444355.55","       2250","      31341","         48.56"
"PONNIERODE","EQ","07-Feb-2017","        234.00","        234.00","        239.00","        228.05","        228.10","        229.40","        233.74","      12505","             2922902.90","        671","       5584","         44.65"
"PONNIERODE","EQ","08-Feb-2017","        229.40","        227.50","        230.00","        222.00","        224.50","        224.80","        225.78","      12584","             2841217.50","        564","       7501","         59.61"
"PONNIERODE","EQ","09-Feb-2017","        224.80","        224.00","        228.80","        223.10","        223.25","        224.15","        225.75","       6497","             1466665.95","        370","       3643","         56.07"
"PONNIERODE","EQ","10-Feb-2017","        224.15","        223.25","        229.70","        221.00","        221.00","        221.90","        225.07","      15435","             3473895.80","        683","       6613","         42.84"
"PONNIERODE","EQ","13-Feb-2017","        221.90","        225.55","        225.60","        218.10","        220.15","        219.25","        221.66","       5890","             1305585.70","        190","       4365","         74.11"
"PONNIERODE","EQ","14-Feb-2017","        219.25","        220.05","        220.80","        216.10","        217.05","        218.15","        219.24","       3120","              684023.55","        139","       2137","         68.49"
"PONNIERODE","EQ","15-Feb-2017","        218.15","        216.00","        216.00","        206.50","        208.55","        208.85","        211.33","       7489","             1582646.10","        432","       4501","         60.10"
"PONNIERODE","EQ","16-Feb-2017","        208.85","        212.00","        214.00","        202.00","        207.55","        209.40","        208.66","      13808","             2881175.85","        720","       6552","         47.45"
"PONNIERODE","EQ","17-Feb-2017","        209.40","        209.15","        215.45","        208.60","        212.00","        213.10","        212.85","       5862","             1247745.00","        220","       4245","         72.42"
"PONNIERODE","EQ","20-Feb-2017","        213.10","        207.80","        218.40","        207.80","        214.50","        216.20","        214.52","       6208","             1331747.15","        242","       3786","         60.99"
"PONNIERODE","EQ","21-Feb-2017","        216.20","        214.05","        217.00","        211.30","        212.00","        213.00","        214.33","       3026","              648576.70","        110","       2295","         75.84"
"PONNIERODE","EQ","22-Feb-2017","        213.00","        211.45","        217.00","        208.00","        208.80","        208.75","        209.92","       8507","             1785781.65","        223","       6903","         81.14"
"PONNIERODE","EQ","23-Feb-2017","        208.75","        211.90","        211.90","        205.35","        206.00","        206.60","        208.45","       6412","             1336600.60","        196","       3380","         52.71"
"PONNIERODE","EQ","27-Feb-2017","        206.60","        206.00","        207.90","        205.00","        205.50","        205.50","        206.29","       5499","             1134381.55","        106","       4343","         78.98"
"PONNIERODE","EQ","28-Feb-2017","        205.50","        206.00","        210.85","        205.55","        207.80","        207.30","        207.54","       2771","              575104.20","        109","       1506","         54.35"
"PONNIERODE","EQ","01-Mar-2017","        207.30","        207.30","        210.00","        202.00","        205.00","        204.10","        205.01","       5093","             1044123.45","        255","       3222","         63.26"
"PONNIERODE","EQ","02-Mar-2017","        204.10","        203.05","        207.65","        201.50","        201.65","        202.50","        203.90","       3106","              633318.00","        145","       1908","         61.43"
"PONNIERODE","EQ","03-Mar-2017","        202.50","        201.15","        217.90","        201.10","        212.50","        213.55","        211.40","      17499","             3699373.60","        645","       6469","         36.97"
"PONNIERODE","EQ","06-Mar-2017","        213.55","        215.30","        223.60","        214.20","        215.00","        215.70","        217.20","      13408","             2912157.90","        460","       5408","         40.33"
"PONNIERODE","EQ","07-Mar-2017","        215.70","        217.35","        217.35","        210.10","        212.95","        212.75","        212.53","       4955","             1053092.15","        129","       2509","         50.64"
"PONNIERODE","EQ","08-Mar-2017","        212.75","        210.75","        210.75","        206.20","        207.50","        208.35","        207.72","       5061","             1051268.45","        139","       3910","         77.26"
"PONNIERODE","EQ","09-Mar-2017","        208.35","        212.85","        212.85","        206.25","        208.70","        208.95","        208.84","       1620","              338320.20","         95","        857","         52.90"
"PONNIERODE","EQ","10-Mar-2017","        208.95","        213.00","        213.00","        205.10","        206.00","        206.30","        208.71","       2310","              482111.75","        142","        963","         41.69"
"PONNIERODE","EQ","14-Mar-2017","        206.30","        210.15","        212.95","        207.00","        208.00","        209.10","        209.73","       4127","              865553.90","        151","       2472","         59.90"
"PONNIERODE","EQ","15-Mar-2017","        209.10","        208.00","        213.90","        205.10","        213.50","        210.90","        209.73","       5425","             1137796.20","        188","       3412","         62.89"
"PONNIERODE","EQ","16-Mar-2017","        210.90","        211.00","        215.00","        208.10","        210.00","        209.35","        211.15","       2069","              436871.85","         88","       1407","         68.00"
"PONNIERODE","EQ","17-Mar-2017","        209.35","        209.00","        216.90","        209.00","        213.00","        212.25","        214.19","      16168","             3463075.75","        429","       8060","         49.85"
"PONNIERODE","EQ","20-Mar-2017","        212.25","        212.05","        215.90","        209.10","        210.80","        210.45","        212.76","       7506","             1596981.50","        227","       3929","         52.34"
"PONNIERODE","EQ","21-Mar-2017","        210.45","        213.90","        217.00","        210.10","        217.00","        214.90","        213.53","       8991","             1919830.45","        315","       5614","         62.44"
"PONNIERODE","EQ","22-Mar-2017","        214.90","        213.00","        216.90","        211.10","        214.50","        213.90","        213.69","       7260","             1551380.20","        198","       5269","         72.58"
"PONNIERODE","EQ","23-Mar-2017","        213.90","        212.50","        216.70","        212.50","        216.00","        215.85","        215.33","       6452","             1389298.75","        141","       4657","         72.18"
"PONNIERODE","EQ","24-Mar-2017","        215.85","        214.50","        215.45","        212.50","        214.80","        213.60","        213.64","       3004","              641779.50","         65","       2121","         70.61"
"PONNIERODE","EQ","27-Mar-2017","        213.60","        212.05","        212.10","        207.55","        208.05","        208.75","        209.61","       4643","              973202.45","         90","       4209","         90.65"
"PONNIERODE","EQ","28-Mar-2017","        208.75","        208.25","        213.80","        206.25","        207.25","        207.40","        210.23","       6535","             1373856.80","         94","       5565","         85.16"
"PONNIERODE","EQ","29-Mar-2017","        207.40","        207.20","        209.50","        205.05","        205.50","        206.05","        207.03","       2629","              544279.45","        148","       2318","         88.17"
"PONNIERODE","EQ","30-Mar-2017","        206.05","        207.00","        209.40","        202.15","        209.35","        207.95","        206.89","      34233","             7082465.65","        195","      32267","         94.26"
"PONNIERODE","EQ","31-Mar-2017","        207.95","        206.65","        210.85","        206.65","        208.00","        208.20","        208.31","       4048","              843235.25","         66","       3384","         83.60"
