"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PRAENG","EQ","03-Apr-2017","         11.15","         11.45","         11.70","         11.20","         11.70","         11.70","         11.64","      73192","              851654.90","         88","      55995","         76.50"
"PRAENG","EQ","05-Apr-2017","         11.70","         12.00","         12.25","         11.85","         12.25","         12.25","         12.23","     234882","             2873229.75","        175","     116494","         49.60"
"PRAENG","EQ","06-Apr-2017","         12.25","         12.50","         12.80","         11.85","         12.75","         12.70","         12.32","      81008","              998223.45","        225","      46154","         56.97"
"PRAENG","EQ","07-Apr-2017","         12.70","         12.20","         13.00","         12.20","         12.75","         12.70","         12.78","      62835","              803310.10","        216","      36423","         57.97"
"PRAENG","EQ","10-Apr-2017","         12.70","         12.80","         13.95","         12.20","         13.95","         13.70","         13.73","     239822","             3292692.10","        478","     176119","         73.44"
"PRAENG","EQ","11-Apr-2017","         13.70","         14.00","         14.75","         13.40","         14.30","         14.20","         14.28","     134420","             1919610.35","        417","     102837","         76.50"
"PRAENG","EQ","12-Apr-2017","         14.20","         14.00","         14.30","         12.80","         13.00","         13.05","         13.29","      77458","             1029602.10","        286","      61075","         78.85"
"PRAENG","EQ","13-Apr-2017","         13.05","         13.00","         13.50","         12.65","         13.00","         13.10","         12.96","      24653","              319384.25","         92","      18743","         76.03"
"PRAENG","EQ","17-Apr-2017","         13.10","         13.00","         13.80","         13.00","         13.70","         13.65","         13.48","      28576","              385153.05","        109","      23635","         82.71"
"PRAENG","EQ","18-Apr-2017","         13.65","         14.00","         14.00","         13.15","         13.50","         13.20","         13.72","      83973","             1151736.65","        204","      69375","         82.62"
"PRAENG","EQ","19-Apr-2017","         13.20","         13.20","         14.40","         13.15","         14.20","         14.15","         14.05","     195209","             2743470.60","        434","     138809","         71.11"
"PRAENG","EQ","20-Apr-2017","         14.15","         14.00","         14.80","         13.85","         14.55","         14.40","         14.37","      71605","             1029263.35","        255","      49179","         68.68"
"PRAENG","EQ","21-Apr-2017","         14.40","         14.50","         15.40","         14.40","         15.10","         15.00","         14.93","     205525","             3068875.00","        542","     146709","         71.38"
"PRAENG","EQ","24-Apr-2017","         15.00","         15.75","         15.75","         14.15","         15.10","         15.00","         15.09","     129335","             1951981.60","        272","     105528","         81.59"
"PRAENG","EQ","25-Apr-2017","         15.00","         15.00","         15.40","         14.40","         15.00","         14.65","         14.78","     121239","             1792175.90","        297","      70146","         57.86"
"PRAENG","EQ","26-Apr-2017","         14.65","         14.95","         14.95","         13.80","         14.10","         14.15","         14.28","      69452","              992103.45","        320","      46913","         67.55"
"PRAENG","EQ","27-Apr-2017","         14.15","         14.75","         14.75","         13.40","         13.60","         13.60","         13.81","      57229","              790342.70","        225","      42588","         74.42"
"PRAENG","EQ","28-Apr-2017","         13.60","         13.15","         14.50","         13.15","         14.45","         14.25","         13.98","      62314","              871297.10","        220","      45159","         72.47"
