"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PRAKASH","EQ","02-Jan-2017","         45.10","         45.00","         48.75","         44.10","         48.75","         48.20","         47.19","     551904","            26047011.15","       2490","     266934","         48.37"
"PRAKASH","EQ","03-Jan-2017","         48.20","         48.80","         49.05","         48.00","         48.30","         48.65","         48.59","     301904","            14669135.20","       1239","     160589","         53.19"
"PRAKASH","EQ","04-Jan-2017","         48.65","         48.70","         50.20","         47.00","         49.60","         49.85","         49.22","     316464","            15576911.40","       1654","     202074","         63.85"
"PRAKASH","EQ","05-Jan-2017","         49.85","         50.00","         51.00","         48.85","         49.80","         49.75","         50.16","     314855","            15794377.75","       1579","     182352","         57.92"
"PRAKASH","EQ","06-Jan-2017","         49.75","         50.35","         51.70","         50.20","         51.50","         51.25","         50.94","     377971","            19251968.40","       1503","     225325","         59.61"
"PRAKASH","EQ","09-Jan-2017","         51.25","         52.00","         55.35","         51.30","         54.55","         54.60","         53.74","     571856","            30732302.70","       2544","     375970","         65.75"
"PRAKASH","EQ","10-Jan-2017","         54.60","         55.00","         59.65","         54.80","         59.30","         59.05","         57.51","    1088597","            62604928.95","       4946","     591025","         54.29"
"PRAKASH","EQ","11-Jan-2017","         59.05","         60.00","         64.20","         60.00","         63.70","         63.15","         62.24","    2379430","           148099091.90","      11449","    1226843","         51.56"
"PRAKASH","EQ","12-Jan-2017","         63.15","         67.90","         69.30","         65.30","         66.90","         66.60","         66.78","    2291033","           152991999.60","      12575","    1004302","         43.84"
"PRAKASH","EQ","13-Jan-2017","         66.60","         66.05","         66.65","         63.50","         63.85","         64.00","         64.78","     690165","            44707734.10","       3497","     364840","         52.86"
"PRAKASH","EQ","16-Jan-2017","         64.00","         63.70","         66.40","         63.10","         65.80","         65.60","         65.14","     544564","            35474590.55","       2828","     219079","         40.23"
"PRAKASH","EQ","17-Jan-2017","         65.60","         66.00","         66.75","         64.00","         64.30","         64.40","         65.08","     309040","            20111646.55","       1584","     161711","         52.33"
"PRAKASH","EQ","18-Jan-2017","         64.40","         64.80","         65.20","         64.00","         64.15","         64.15","         64.53","     406899","            26257298.00","       2108","     156873","         38.55"
"PRAKASH","EQ","19-Jan-2017","         64.15","         64.45","         66.00","         64.00","         65.80","         65.20","         64.87","     504842","            32751496.70","       1899","     316030","         62.60"
"PRAKASH","EQ","20-Jan-2017","         65.20","         65.65","         72.00","         65.00","         68.50","         68.50","         69.64","    3320448","           231229477.80","      14051","    1377346","         41.48"
"PRAKASH","EQ","23-Jan-2017","         68.50","         68.95","         72.85","         66.70","         69.75","         69.60","         70.11","    3427475","           240303457.95","      10826","    1739060","         50.74"
"PRAKASH","EQ","24-Jan-2017","         69.60","         70.30","         70.50","         66.80","         67.10","         67.10","         68.79","    1042024","            71677480.00","       4753","     508149","         48.77"
"PRAKASH","EQ","25-Jan-2017","         67.10","         67.70","         70.00","         67.25","         68.85","         68.90","         68.69","     866046","            59490676.10","       3861","     451309","         52.11"
"PRAKASH","EQ","27-Jan-2017","         68.90","         69.30","         75.75","         68.95","         75.40","         73.40","         72.26","    2768169","           200032965.15","      10355","    1291934","         46.67"
"PRAKASH","EQ","30-Jan-2017","         73.40","         74.00","         75.25","         71.65","         73.15","         73.40","         73.47","    2032926","           149355677.90","       9794","     884294","         43.50"
"PRAKASH","EQ","31-Jan-2017","         73.40","         73.00","         73.40","         71.30","         71.30","         71.40","         72.06","    1015112","            73152363.70","       3055","     636998","         62.75"
"PRAKASH","EQ","01-Feb-2017","         71.40","         72.20","         76.90","         69.00","         76.50","         75.90","         73.17","    2032237","           148694791.75","       6419","    1194825","         58.79"
"PRAKASH","EQ","02-Feb-2017","         75.90","         75.80","         77.30","         73.70","         74.95","         74.70","         75.06","     847095","            63582212.80","       4315","     394255","         46.54"
"PRAKASH","EQ","03-Feb-2017","         74.70","         74.95","         79.30","         74.10","         78.15","         78.20","         76.93","    1341952","           103232914.30","       6761","     643160","         47.93"
"PRAKASH","EQ","06-Feb-2017","         78.20","         80.40","         88.45","         80.40","         83.60","         83.55","         84.83","    5816620","           493413790.15","      22985","    2149480","         36.95"
"PRAKASH","EQ","07-Feb-2017","         83.55","         83.80","         84.35","         77.60","         79.20","         79.30","         79.99","    3077209","           246144721.95","       9953","    1366907","         44.42"
"PRAKASH","EQ","08-Feb-2017","         79.30","         79.70","         81.50","         79.05","         79.70","         79.95","         80.32","    1248503","           100276628.00","       4546","     603701","         48.35"
"PRAKASH","EQ","09-Feb-2017","         79.95","         80.45","         81.50","         78.70","         79.55","         79.60","         80.11","     531885","            42606769.30","       2677","     240407","         45.20"
"PRAKASH","EQ","10-Feb-2017","         79.60","         80.05","         82.30","         79.40","         81.25","         81.60","         81.31","    1132837","            92116375.25","       3779","     722764","         63.80"
"PRAKASH","EQ","13-Feb-2017","         81.60","         82.65","         84.10","         79.80","         79.95","         80.80","         81.68","    1934276","           157984331.25","      12863","    1079747","         55.82"
"PRAKASH","EQ","14-Feb-2017","         80.80","         80.30","         82.80","         77.25","         78.25","         78.00","         79.86","    2221743","           177426437.50","      11317","     588820","         26.50"
"PRAKASH","EQ","15-Feb-2017","         78.00","         78.70","         79.20","         74.10","         75.15","         74.80","         76.15","     750292","            57136792.00","       3949","     398549","         53.12"
"PRAKASH","EQ","16-Feb-2017","         74.80","         75.10","         81.75","         74.80","         81.00","         80.95","         79.02","    1803801","           142527935.35","       8135","     582192","         32.28"
"PRAKASH","EQ","17-Feb-2017","         80.95","         80.95","         81.90","         77.30","         78.15","         77.65","         79.09","    1169894","            92522952.40","       5220","     486334","         41.57"
"PRAKASH","EQ","20-Feb-2017","         77.65","         79.10","         83.50","         77.50","         83.50","         82.90","         81.38","    2487209","           202413402.55","      10391","    1023447","         41.15"
"PRAKASH","EQ","21-Feb-2017","         82.90","         83.60","         84.00","         82.55","         82.75","         82.95","         83.21","    1099901","            91526325.45","       4664","     490354","         44.58"
"PRAKASH","EQ","22-Feb-2017","         82.95","         83.35","         83.35","         80.10","         80.60","         80.60","         81.15","     754265","            61205640.90","       4152","     302601","         40.12"
"PRAKASH","EQ","23-Feb-2017","         80.60","         80.50","         81.35","         78.35","         78.60","         78.80","         79.22","    1042104","            82551859.95","       3697","     698712","         67.05"
"PRAKASH","EQ","27-Feb-2017","         78.80","         79.00","         80.40","         77.50","         77.60","         77.75","         78.51","     603683","            47394297.75","       2374","     338517","         56.08"
"PRAKASH","EQ","28-Feb-2017","         77.75","         78.05","         81.20","         76.55","         81.15","         80.95","         80.02","    2376390","           190154373.35","       7491","     662420","         27.88"
"PRAKASH","EQ","01-Mar-2017","         80.95","         81.20","         81.90","         79.75","         80.50","         80.70","         80.91","    1708191","           138214952.25","       4599","     438165","         25.65"
"PRAKASH","EQ","02-Mar-2017","         80.70","         80.70","         82.00","         77.50","         78.30","         77.90","         80.28","    1646551","           132189980.90","       4353","     549129","         33.35"
"PRAKASH","EQ","03-Mar-2017","         77.90","         77.65","         80.05","         77.00","         79.50","         79.35","         79.12","    1344722","           106398245.65","       4949","     693367","         51.56"
