"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PFOCUS","EQ","03-Jul-2017","        106.55","        108.80","        112.00","        107.50","        108.10","        108.10","        108.99","      50655","             5521062.80","        440","      42307","         83.52"
"PFOCUS","EQ","04-Jul-2017","        108.10","        108.50","        111.00","        108.00","        108.15","        108.65","        109.17","      31853","             3477378.10","        256","      24083","         75.61"
"PFOCUS","EQ","05-Jul-2017","        108.65","        108.10","        112.00","        107.95","        109.55","        109.90","        110.10","      42804","             4712604.45","        269","      33388","         78.00"
"PFOCUS","EQ","06-Jul-2017","        109.90","        110.00","        111.05","        108.30","        108.90","        109.20","        109.36","      20680","             2261648.20","        138","      18292","         88.45"
"PFOCUS","EQ","07-Jul-2017","        109.20","        108.75","        110.50","        107.65","        108.25","        108.35","        108.45","      12195","             1322534.70","        144","      10072","         82.59"
"PFOCUS","EQ","10-Jul-2017","        108.35","        108.00","        108.60","        106.10","        106.75","        107.05","        107.84","       9010","              971679.20","         86","       8108","         89.99"
"PFOCUS","EQ","11-Jul-2017","        107.05","        114.90","        119.50","        112.90","        113.65","        114.00","        116.41","    1100695","           128129049.55","       9571","     321741","         29.23"
"PFOCUS","EQ","12-Jul-2017","        114.00","        114.50","        118.00","        113.35","        115.10","        115.60","        115.45","     173613","            20042831.80","       1878","      64579","         37.20"
"PFOCUS","EQ","13-Jul-2017","        115.60","        115.80","        116.60","        112.20","        112.75","        113.30","        113.44","      90278","            10241337.95","        821","      67215","         74.45"
"PFOCUS","EQ","14-Jul-2017","        113.30","        113.45","        114.40","        110.00","        110.50","        112.90","        111.91","      41002","             4588473.35","        575","      22873","         55.79"
"PFOCUS","EQ","17-Jul-2017","        112.90","        114.40","        114.40","        109.50","        111.50","        110.95","        111.16","      30322","             3370655.80","        399","      20943","         69.07"
"PFOCUS","EQ","18-Jul-2017","        110.95","        113.90","        113.90","        109.90","        110.10","        110.15","        110.48","      43945","             4854913.45","        318","      32618","         74.22"
"PFOCUS","EQ","19-Jul-2017","        110.15","        111.60","        118.00","        110.00","        114.00","        114.50","        113.37","      41320","             4684523.20","        635","      27489","         66.53"
"PFOCUS","EQ","20-Jul-2017","        114.50","        113.85","        114.40","        110.00","        112.00","        111.95","        111.66","      50236","             5609572.05","        519","      25226","         50.21"
"PFOCUS","EQ","21-Jul-2017","        111.95","        114.05","        116.95","        112.00","        114.50","        114.40","        113.69","      50200","             5707127.75","        845","      22431","         44.68"
"PFOCUS","EQ","24-Jul-2017","        114.40","        114.40","        115.05","        111.15","        111.80","        112.15","        112.15","      46128","             5173385.95","        440","      33823","         73.32"
"PFOCUS","EQ","25-Jul-2017","        112.15","        112.15","        113.65","        110.60","        111.05","        111.15","        111.49","      36293","             4046221.70","        329","      29011","         79.94"
"PFOCUS","EQ","26-Jul-2017","        111.15","        111.15","        116.70","        111.15","        113.90","        112.75","        114.28","      52146","             5959126.25","        485","      31365","         60.15"
"PFOCUS","EQ","27-Jul-2017","        112.75","        113.90","        115.00","        110.50","        111.90","        111.05","        111.71","      47606","             5317929.35","        390","      31891","         66.99"
"PFOCUS","EQ","28-Jul-2017","        111.05","        110.50","        111.95","        110.50","        110.85","        110.80","        110.94","      35527","             3941412.85","        182","      30267","         85.19"
"PFOCUS","EQ","31-Jul-2017","        110.80","        112.00","        112.70","        110.20","        112.00","        111.20","        111.17","      79309","             8816597.45","        386","      63977","         80.67"
"PFOCUS","EQ","01-Aug-2017","        111.20","        110.50","        112.85","        110.50","        112.00","        111.90","        111.56","      23511","             2622819.35","        273","      20620","         87.70"
"PFOCUS","EQ","02-Aug-2017","        111.90","        112.00","        113.50","        111.85","        112.50","        112.95","        112.70","      50937","             5740461.45","        400","      41876","         82.21"
"PFOCUS","EQ","03-Aug-2017","        112.95","        113.95","        118.90","        111.50","        114.50","        115.10","        115.86","     121218","            14043789.20","        810","     101823","         84.00"
"PFOCUS","EQ","04-Aug-2017","        115.10","        118.90","        118.90","        114.00","        114.00","        114.45","        115.72","      28451","             3292403.20","        437","      11821","         41.55"
"PFOCUS","EQ","07-Aug-2017","        114.45","        114.00","        117.50","        114.00","        116.50","        115.85","        116.52","      38437","             4478808.90","        334","      26131","         67.98"
"PFOCUS","EQ","08-Aug-2017","        115.85","        115.85","        124.00","        109.20","        113.00","        113.15","        117.30","     130773","            15339911.60","       1390","      57728","         44.14"
"PFOCUS","EQ","09-Aug-2017","        113.15","        113.55","        119.00","        113.50","        117.00","        117.40","        117.05","      72500","             8485773.85","        819","      52199","         72.00"
"PFOCUS","EQ","10-Aug-2017","        117.40","        111.10","        114.00","        106.95","        109.40","        108.95","        111.27","     151384","            16843991.45","        860","     124290","         82.10"
"PFOCUS","EQ","11-Aug-2017","        108.95","        112.00","        112.00","         98.05","        105.50","        105.10","        105.72","      72890","             7706245.95","        642","      50149","         68.80"
"PFOCUS","EQ","14-Aug-2017","        105.10","        105.10","        109.80","        104.20","        105.40","        105.20","        105.78","     157626","            16673744.40","        706","      94030","         59.65"
"PFOCUS","EQ","16-Aug-2017","        105.20","        105.00","        105.10","        101.00","        102.75","        102.05","        103.00","     103926","            10704235.70","        634","      74435","         71.62"
"PFOCUS","EQ","17-Aug-2017","        102.05","        103.95","        105.85","        102.95","        104.00","        104.00","        104.03","      17099","             1778771.40","        229","      12200","         71.35"
"PFOCUS","EQ","18-Aug-2017","        104.00","        105.85","        107.80","        102.00","        107.00","        106.05","        104.65","      31945","             3343177.90","        340","      20806","         65.13"
"PFOCUS","EQ","21-Aug-2017","        106.05","        106.05","        107.00","        103.50","        104.00","        104.20","        105.49","      42510","             4484385.30","        301","      32236","         75.83"
"PFOCUS","EQ","22-Aug-2017","        104.20","        105.00","        105.25","        102.10","        103.00","        102.70","        103.27","      12992","             1341706.40","        214","       7469","         57.49"
"PFOCUS","EQ","23-Aug-2017","        102.70","        102.80","        105.00","        102.65","        103.50","        103.00","        103.39","      19764","             2043372.65","        176","      12968","         65.61"
"PFOCUS","EQ","24-Aug-2017","        103.00","        103.50","        104.60","        103.00","        103.00","        103.85","        103.78","       3792","              393525.60","         82","       2317","         61.10"
"PFOCUS","EQ","28-Aug-2017","        103.85","        103.65","        104.95","        102.85","        103.00","        103.05","        103.40","       5442","              562722.60","        101","       3584","         65.86"
"PFOCUS","EQ","29-Aug-2017","        103.05","        104.10","        105.00","        101.00","        104.00","        102.25","        102.49","      21553","             2209051.90","        344","      16679","         77.39"
"PFOCUS","EQ","30-Aug-2017","        102.25","        104.00","        104.30","        102.20","        103.50","        103.40","        103.41","      14206","             1469065.50","        190","      10397","         73.19"
"PFOCUS","EQ","31-Aug-2017","        103.40","        104.00","        104.75","        102.25","        103.95","        103.70","        103.38","      15681","             1621148.55","        346","      11479","         73.20"
"PFOCUS","EQ","01-Sep-2017","        103.70","        104.70","        104.75","        102.25","        102.75","        102.60","        103.15","      10219","             1054127.85","        195","       7686","         75.21"
"PFOCUS","EQ","04-Sep-2017","        102.60","        102.65","        104.50","        100.00","        102.40","        102.00","        102.03","      24210","             2470155.95","        304","      15337","         63.35"
"PFOCUS","EQ","05-Sep-2017","        102.00","        103.00","        104.20","        101.00","        101.95","        101.65","        103.69","      65357","             6776551.85","        255","      57408","         87.84"
"PFOCUS","EQ","06-Sep-2017","        101.65","        101.65","        103.10","        101.65","        102.75","        102.55","        102.44","      11521","             1180233.00","        263","       7648","         66.38"
"PFOCUS","EQ","07-Sep-2017","        102.55","        103.00","        104.00","        101.50","        102.25","        101.95","        102.75","      12405","             1274590.10","        181","       9298","         74.95"
"PFOCUS","EQ","08-Sep-2017","        101.95","        102.00","        103.00","         99.50","        101.00","        101.00","        101.04","      25374","             2563905.35","        219","      15990","         63.02"
"PFOCUS","EQ","11-Sep-2017","        101.00","        101.00","        102.00","         98.80","        101.60","        101.15","        100.74","      45379","             4571424.90","        211","      24274","         53.49"
"PFOCUS","EQ","12-Sep-2017","        101.15","        102.80","        102.80","         99.50","        101.85","        102.45","        101.98","      14206","             1448670.15","        110","      12666","         89.16"
"PFOCUS","EQ","13-Sep-2017","        102.45","        103.00","        104.00","         98.50","         98.75","         99.00","         99.67","     109348","            10898907.00","        701","      81572","         74.60"
"PFOCUS","EQ","14-Sep-2017","         99.00","         99.00","        101.80","         99.00","         99.95","        100.20","        100.39","      35842","             3598027.15","        207","      28891","         80.61"
"PFOCUS","EQ","15-Sep-2017","        100.20","         99.50","        109.20","         98.00","        100.80","        100.95","        101.82","      36726","             3739599.75","        426","      23692","         64.51"
