"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PRIMESECU","EQ","02-Jan-2017","         31.65","         32.00","         33.20","         31.00","         33.20","         33.20","         32.62","      94510","             3082478.40","        242","      68489","         72.47"
"PRIMESECU","EQ","03-Jan-2017","         33.20","         34.85","         34.85","         32.60","         34.85","         34.85","         34.36","     387478","            13312725.15","        885","     293476","         75.74"
"PRIMESECU","EQ","04-Jan-2017","         34.85","         36.55","         36.55","         33.15","         33.15","         33.20","         33.83","     447235","            15131511.90","       1005","     212418","         47.50"
"PRIMESECU","EQ","05-Jan-2017","         33.20","         32.10","         34.35","         31.60","         33.15","         33.75","         32.59","     230940","             7527134.55","       1091","     110331","         47.77"
"PRIMESECU","EQ","06-Jan-2017","         33.75","         33.90","         33.90","         32.40","         32.40","         32.65","         32.72","      58026","             1898552.90","        249","      49891","         85.98"
"PRIMESECU","EQ","09-Jan-2017","         32.65","         32.40","         32.95","         31.05","         31.05","         31.05","         31.51","      77764","             2450171.75","        167","      73989","         95.15"
"PRIMESECU","EQ","10-Jan-2017","         31.05","         30.75","         30.80","         29.50","         29.50","         29.50","         29.80","     116713","             3477642.30","        379","      67801","         58.09"
"PRIMESECU","EQ","11-Jan-2017","         29.50","         28.80","         29.50","         28.05","         28.20","         28.30","         28.32","     136546","             3866658.30","        390","     102092","         74.77"
"PRIMESECU","EQ","12-Jan-2017","         28.30","         27.45","         29.70","         27.00","         29.70","         29.70","         29.10","     129074","             3755426.90","        502","      69781","         54.06"
"PRIMESECU","EQ","13-Jan-2017","         29.70","         31.15","         31.15","         30.05","         30.20","         30.40","         31.00","     247825","             7683574.40","        588","     128310","         51.77"
"PRIMESECU","EQ","16-Jan-2017","         30.40","         30.20","         31.90","         29.95","         31.90","         31.85","         31.38","     132059","             4144613.60","        355","      88421","         66.96"
"PRIMESECU","EQ","17-Jan-2017","         31.85","         32.85","         33.35","         31.00","         32.20","         32.00","         32.33","      95887","             3100416.35","        318","      34295","         35.77"
"PRIMESECU","EQ","18-Jan-2017","         32.00","         31.35","         32.60","         31.05","         31.05","         31.60","         32.08","      31448","             1008789.30","        145","      18598","         59.14"
"PRIMESECU","EQ","19-Jan-2017","         31.60","         32.60","         33.00","         31.00","         31.55","         31.80","         32.19","      50868","             1637381.05","        235","      27921","         54.89"
"PRIMESECU","EQ","20-Jan-2017","         31.80","         31.80","         31.80","         30.30","         30.30","         30.65","         30.90","      23087","              713475.60","        117","      14926","         64.65"
"PRIMESECU","EQ","23-Jan-2017","         30.65","         30.65","         30.80","         29.20","         29.20","         29.70","         30.10","      12645","              380626.10","        117","      10246","         81.03"
"PRIMESECU","EQ","24-Jan-2017","         29.70","         29.30","         30.35","         28.40","         29.50","         29.50","         29.46","      19341","              569859.60","        132","      13446","         69.52"
"PRIMESECU","EQ","25-Jan-2017","         29.50","         29.75","         29.85","         28.70","         28.90","         28.80","         29.10","      21168","              615978.55","        123","      16415","         77.55"
"PRIMESECU","EQ","27-Jan-2017","         28.80","         29.00","         29.90","         29.00","         29.90","         29.55","         29.44","      16076","              473208.65","        115","      11368","         70.71"
"PRIMESECU","EQ","30-Jan-2017","         29.55","         28.45","         29.30","         28.35","         28.85","         28.85","         29.01","      22310","              647253.55","         97","      16567","         74.26"
"PRIMESECU","EQ","31-Jan-2017","         28.85","         29.80","         29.80","         27.55","         27.55","         27.70","         28.09","      22533","              632920.35","        135","      16561","         73.50"
"PRIMESECU","EQ","01-Feb-2017","         27.70","         29.00","         29.05","         27.00","         29.05","         29.05","         28.61","      30595","              875271.05","        133","      24820","         81.12"
"PRIMESECU","EQ","02-Feb-2017","         29.05","         30.30","         30.30","         28.15","         28.15","         28.40","         28.57","      30426","              869223.50","        126","      22226","         73.05"
"PRIMESECU","EQ","03-Feb-2017","         28.40","         28.00","         29.35","         27.60","         27.70","         27.75","         27.84","      32792","              912848.60","         88","      31366","         95.65"
"PRIMESECU","EQ","06-Feb-2017","         27.75","         27.05","         28.10","         27.05","         27.60","         27.70","         27.79","      34654","              963024.20","        144","      31193","         90.01"
"PRIMESECU","EQ","07-Feb-2017","         27.70","         27.60","         27.90","         27.20","         27.30","         27.35","         27.47","      36954","             1015140.80","        124","      33830","         91.55"
"PRIMESECU","EQ","08-Feb-2017","         27.35","         26.70","         28.20","         26.70","         27.50","         27.50","         27.39","      28757","              787665.70","         91","      25527","         88.77"
