"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PUNJABCHEM","EQ","02-Jan-2017","        245.70","        243.30","        252.50","        243.30","        251.90","        250.40","        248.82","      17788","             4426012.50","        847","      13277","         74.64"
"PUNJABCHEM","EQ","03-Jan-2017","        250.40","        252.45","        266.85","        250.80","        261.15","        260.75","        259.97","      67252","            17483761.55","       1861","      33365","         49.61"
"PUNJABCHEM","EQ","04-Jan-2017","        260.75","        261.00","        266.50","        261.00","        263.10","        263.40","        263.22","      22114","             5820782.15","        544","      17848","         80.71"
"PUNJABCHEM","EQ","05-Jan-2017","        263.40","        265.60","        274.90","        262.00","        266.15","        267.40","        269.65","      86503","            23325192.65","       1918","      47129","         54.48"
"PUNJABCHEM","EQ","06-Jan-2017","        267.40","        266.20","        269.00","        263.70","        267.00","        266.30","        265.73","      80141","            21295671.35","        804","      70684","         88.20"
"PUNJABCHEM","EQ","09-Jan-2017","        266.30","        266.35","        274.50","        265.30","        271.95","        271.55","        270.05","      49657","            13409706.25","        935","      37853","         76.23"
"PUNJABCHEM","EQ","10-Jan-2017","        271.55","        271.50","        289.50","        268.35","        277.00","        277.55","        282.43","     177153","            50033301.05","       4327","      62792","         35.45"
"PUNJABCHEM","EQ","11-Jan-2017","        277.55","        281.00","        285.00","        273.05","        274.00","        274.65","        278.01","      63846","            17749732.70","       1415","      43461","         68.07"
"PUNJABCHEM","EQ","12-Jan-2017","        274.65","        274.00","        276.00","        267.00","        268.90","        268.00","        270.44","      29920","             8091484.55","        489","      23949","         80.04"
"PUNJABCHEM","EQ","13-Jan-2017","        268.00","        268.90","        274.90","        267.05","        272.15","        272.30","        271.12","      25795","             6993496.20","        494","      21292","         82.54"
"PUNJABCHEM","EQ","16-Jan-2017","        272.30","        272.30","        280.00","        268.00","        275.00","        276.00","        275.04","      28794","             7919395.90","       1044","      17093","         59.36"
"PUNJABCHEM","EQ","17-Jan-2017","        276.00","        278.60","        280.90","        272.10","        273.50","        273.25","        275.34","      15159","             4173823.80","        648","       9217","         60.80"
"PUNJABCHEM","EQ","18-Jan-2017","        273.25","        276.95","        279.00","        270.00","        271.85","        270.10","        273.04","      18757","             5121330.95","        686","      10908","         58.15"
"PUNJABCHEM","EQ","19-Jan-2017","        270.10","        272.00","        275.75","        270.00","        272.80","        272.20","        272.84","      11383","             3105768.60","        360","       7293","         64.07"
"PUNJABCHEM","EQ","20-Jan-2017","        272.20","        272.20","        275.50","        268.95","        268.95","        270.05","        272.94","      23625","             6448159.75","        766","      16598","         70.26"
"PUNJABCHEM","EQ","23-Jan-2017","        270.05","        270.40","        275.00","        270.05","        270.20","        270.90","        271.14","       3833","             1039269.40","        193","       2397","         62.54"
"PUNJABCHEM","EQ","24-Jan-2017","        270.90","        272.75","        283.80","        272.30","        279.00","        278.65","        278.20","      60141","            16730983.65","       1810","      27951","         46.48"
"PUNJABCHEM","EQ","25-Jan-2017","        278.65","        279.90","        282.70","        278.05","        278.05","        280.10","        280.59","      20647","             5793247.80","        581","      13254","         64.19"
"PUNJABCHEM","EQ","27-Jan-2017","        280.10","        281.55","        288.00","        276.25","        284.10","        284.10","        283.05","      72041","            20390946.25","       1040","      43001","         59.69"
"PUNJABCHEM","EQ","30-Jan-2017","        284.10","        284.70","        287.00","        277.70","        277.70","        278.65","        282.00","      10265","             2894678.95","        402","       8331","         81.16"
"PUNJABCHEM","EQ","31-Jan-2017","        278.65","        279.90","        283.85","        271.10","        272.15","        273.45","        276.86","      24252","             6714294.15","        864","      13385","         55.19"
