"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PURVA","EQ","03-Apr-2017","         67.35","         67.80","         69.50","         66.70","         68.35","         68.55","         68.15","     318828","            21729176.45","       2340","     134410","         42.16"
"PURVA","EQ","05-Apr-2017","         68.55","         68.40","         71.60","         67.50","         69.85","         69.90","         69.84","     906893","            63333056.10","       4842","     353929","         39.03"
"PURVA","EQ","06-Apr-2017","         69.90","         69.30","         70.95","         69.10","         69.20","         69.40","         69.97","     330855","            23150132.90","       2052","     149878","         45.30"
"PURVA","EQ","07-Apr-2017","         69.40","         69.40","         70.75","         66.50","         67.40","         67.10","         69.00","     300033","            20702911.00","       2022","     143384","         47.79"
"PURVA","EQ","10-Apr-2017","         67.10","         67.70","         69.00","         67.45","         68.45","         67.80","         68.20","     178866","            12198706.50","       1128","      96913","         54.18"
"PURVA","EQ","11-Apr-2017","         67.80","         68.25","         69.50","         68.00","         68.35","         68.45","         68.63","     125112","             8586982.75","        978","      56851","         45.44"
"PURVA","EQ","12-Apr-2017","         68.45","         68.90","         69.20","         65.45","         67.00","         67.05","         67.07","     214181","            14364247.65","       1339","     115468","         53.91"
"PURVA","EQ","13-Apr-2017","         67.05","         66.95","         69.00","         66.65","         67.00","         67.35","         67.94","     188552","            12809495.65","       1207","      74920","         39.73"
"PURVA","EQ","17-Apr-2017","         67.35","         67.85","         70.70","         67.35","         69.75","         69.60","         69.42","     531362","            36887780.50","       3838","     202283","         38.07"
"PURVA","EQ","18-Apr-2017","         69.60","         70.00","         72.00","         67.50","         67.60","         67.85","         70.47","     366712","            25842105.15","       2899","     182861","         49.87"
"PURVA","EQ","19-Apr-2017","         67.85","         67.85","         68.80","         67.10","         67.75","         67.75","         67.88","     149344","            10136859.40","       1196","      63655","         42.62"
"PURVA","EQ","20-Apr-2017","         67.75","         68.30","         69.50","         67.60","         68.10","         68.00","         68.64","     211214","            14497742.00","       1276","     121548","         57.55"
"PURVA","EQ","21-Apr-2017","         68.00","         68.80","         69.00","         67.10","         67.40","         67.60","         68.51","     238115","            16313735.90","       1289","     131975","         55.42"
"PURVA","EQ","24-Apr-2017","         67.60","         68.40","         70.35","         68.00","         68.35","         68.40","         69.15","     245963","            17009479.60","       1617","      90063","         36.62"
"PURVA","EQ","25-Apr-2017","         68.40","         68.90","         69.50","         67.40","         67.80","         67.70","         68.51","     132515","             9078581.40","        992","      82987","         62.62"
"PURVA","EQ","26-Apr-2017","         67.70","         67.65","         69.00","         66.20","         66.70","         66.60","         67.66","     136573","             9240147.70","       1008","      68711","         50.31"
"PURVA","EQ","27-Apr-2017","         66.60","         66.50","         68.00","         66.25","         66.90","         66.55","         66.94","      79396","             5314521.25","        704","      46688","         58.80"
"PURVA","EQ","28-Apr-2017","         66.55","         66.35","         67.00","         65.80","         66.60","         66.45","         66.37","      75708","             5024485.00","        623","      44545","         58.84"
"PURVA","EQ","02-May-2017","         66.45","         66.80","         68.00","         66.65","         67.00","         66.90","         67.34","     122683","             8261818.95","        856","      63462","         51.73"
"PURVA","EQ","03-May-2017","         66.90","         67.05","         68.30","         66.05","         66.05","         66.30","         67.49","     311830","            21046759.90","       1388","     176391","         56.57"
"PURVA","EQ","04-May-2017","         66.30","         66.95","         67.35","         65.50","         66.00","         65.90","         66.35","     121328","             8049805.55","       1123","      76383","         62.96"
"PURVA","EQ","05-May-2017","         65.90","         66.00","         66.15","         63.20","         63.30","         63.45","         64.34","     105177","             6767602.20","        757","      60336","         57.37"
"PURVA","EQ","08-May-2017","         63.45","         64.85","         66.00","         62.55","         65.75","         65.50","         65.18","     272005","            17729163.10","       1204","     143660","         52.82"
"PURVA","EQ","09-May-2017","         65.50","         66.00","         69.00","         65.65","         67.50","         67.05","         67.63","     234213","            15838681.55","       1763","     121138","         51.72"
"PURVA","EQ","10-May-2017","         67.05","         66.70","         68.00","         66.35","         66.40","         66.55","         67.35","      93569","             6302134.15","        704","      51474","         55.01"
"PURVA","EQ","11-May-2017","         66.55","         67.10","         68.00","         66.00","         66.30","         66.15","         67.03","      95719","             6415986.70","        642","      57919","         60.51"
"PURVA","EQ","12-May-2017","         66.15","         65.20","         66.95","         64.70","         64.80","         64.95","         65.30","     112193","             7326703.30","        717","      62874","         56.04"
"PURVA","EQ","15-May-2017","         64.95","         65.50","         65.50","         64.25","         64.80","         64.65","         64.95","      96804","             6287035.25","        539","      57901","         59.81"
"PURVA","EQ","16-May-2017","         64.65","         64.50","         65.25","         64.35","         65.10","         64.90","         64.81","      64897","             4206199.80","        449","      39681","         61.14"
"PURVA","EQ","17-May-2017","         64.90","         64.95","         65.25","         63.85","         64.55","         64.60","         64.71","     108738","             7036621.90","        677","      49246","         45.29"
"PURVA","EQ","18-May-2017","         64.60","         64.10","         64.50","         63.00","         63.75","         63.50","         63.90","      96536","             6168179.85","        642","      72452","         75.05"
"PURVA","EQ","19-May-2017","         63.50","         63.00","         64.75","         61.45","         62.75","         62.60","         63.59","     139439","             8867511.85","        742","      95578","         68.54"
"PURVA","EQ","22-May-2017","         62.60","         63.45","         64.25","         59.90","         60.10","         60.50","         61.99","     155745","             9654970.55","       1134","      86413","         55.48"
"PURVA","EQ","23-May-2017","         60.50","         60.30","         61.50","         57.00","         60.10","         60.10","         59.08","     180604","            10670016.60","       1094","     123892","         68.60"
"PURVA","EQ","24-May-2017","         60.10","         60.10","         62.30","         59.25","         59.80","         60.25","         60.87","     135215","             8230437.00","       2730","      82127","         60.74"
"PURVA","EQ","25-May-2017","         60.25","         60.20","         64.00","         58.25","         61.70","         61.60","         59.89","     128048","             7669138.30","        951","      64908","         50.69"
"PURVA","EQ","26-May-2017","         61.60","         61.25","         64.30","         61.20","         64.00","         63.80","         63.66","     125078","             7962909.55","        752","      85661","         68.49"
"PURVA","EQ","29-May-2017","         63.80","         64.00","         65.25","         59.10","         62.75","         63.30","         62.28","     304448","            18961787.30","       1688","     151832","         49.87"
"PURVA","EQ","30-May-2017","         63.30","         67.80","         68.00","         64.15","         65.35","         64.80","         65.72","     443126","            29121042.45","       2738","     202698","         45.74"
"PURVA","EQ","31-May-2017","         64.80","         65.55","         66.00","         64.80","         65.75","         65.70","         65.51","     220222","            14425649.95","        996","     172526","         78.34"
"PURVA","EQ","01-Jun-2017","         65.70","         65.25","         66.75","         65.25","         66.40","         66.55","         66.27","     261139","            17306383.00","       1483","     184173","         70.53"
"PURVA","EQ","02-Jun-2017","         66.55","         66.55","         67.45","         64.80","         64.90","         65.10","         66.07","     311400","            20574299.15","       1062","     223289","         71.70"
"PURVA","EQ","05-Jun-2017","         65.10","         65.70","         67.75","         65.65","         67.50","         67.45","         67.13","     385603","            25884908.85","       2387","     221430","         57.42"
"PURVA","EQ","06-Jun-2017","         67.45","         67.45","         68.10","         65.30","         65.70","         65.70","         66.53","     158203","            10524480.45","       1152","      97773","         61.80"
"PURVA","EQ","07-Jun-2017","         65.70","         66.20","         67.25","         64.65","         67.00","         67.10","         66.41","     226296","            15028217.80","       2771","     149450","         66.04"
"PURVA","EQ","08-Jun-2017","         67.10","         66.95","         67.60","         65.70","         66.40","         66.15","         66.24","      84298","             5583860.70","        886","      49832","         59.11"
"PURVA","EQ","09-Jun-2017","         66.15","         66.15","         67.00","         65.95","         66.90","         66.80","         66.60","      89999","             5994310.75","        815","      57318","         63.69"
"PURVA","EQ","12-Jun-2017","         66.80","         66.95","         67.50","         65.75","         66.25","         66.00","         66.48","     112500","             7479319.30","        828","      77668","         69.04"
"PURVA","EQ","13-Jun-2017","         66.00","         66.45","         67.00","         65.40","         66.00","         66.20","         66.62","     117851","             7851040.15","        664","      89007","         75.53"
"PURVA","EQ","14-Jun-2017","         66.20","         66.65","         66.75","         65.10","         65.70","         65.60","         65.98","      68080","             4492162.95","        664","      45737","         67.18"
"PURVA","EQ","15-Jun-2017","         65.60","         65.25","         66.70","         64.75","         66.05","         65.90","         65.77","     168084","            11055056.30","        968","     115420","         68.67"
"PURVA","EQ","16-Jun-2017","         65.90","         65.65","         70.30","         65.65","         68.50","         68.45","         68.44","    1156677","            79164917.55","       5999","     724409","         62.63"
"PURVA","EQ","19-Jun-2017","         68.45","         69.00","         70.00","         67.50","         68.00","         67.90","         68.85","     391740","            26969985.45","       1551","     284908","         72.73"
"PURVA","EQ","20-Jun-2017","         67.90","         68.35","         69.00","         67.55","         68.95","         68.90","         68.65","     259092","            17786914.40","       1392","     172692","         66.65"
"PURVA","EQ","21-Jun-2017","         68.90","         69.45","         69.75","         67.40","         67.95","         67.85","         69.13","     444860","            30754916.20","       1978","     257867","         57.97"
"PURVA","EQ","22-Jun-2017","         67.85","         68.30","         69.25","         66.50","         66.80","         67.05","         68.45","     331278","            22677535.85","       1476","     186706","         56.36"
"PURVA","EQ","23-Jun-2017","         67.05","         67.05","         67.35","         64.25","         65.50","         65.55","         65.39","     247591","            16188817.45","       1718","     147516","         59.58"
"PURVA","EQ","27-Jun-2017","         65.55","         66.15","         67.80","         63.00","         63.15","         63.65","         65.32","     225825","            14750458.75","       1741","     124516","         55.14"
"PURVA","EQ","28-Jun-2017","         63.65","         63.65","         64.00","         63.00","         63.75","         63.40","         63.60","     147998","             9412074.70","        749","     110022","         74.34"
"PURVA","EQ","29-Jun-2017","         63.40","         63.80","         64.10","         63.40","         63.80","         63.75","         63.79","     173185","            11046991.10","        864","     116978","         67.55"
"PURVA","EQ","30-Jun-2017","         63.75","         63.85","         64.05","         62.15","         63.00","         62.85","         62.96","     118904","             7486395.35","        626","      91090","         76.61"
