"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"QNIFTY","EQ","04-Jul-2017","       1028.80","       1037.00","       1037.00","       1035.50","       1035.50","       1035.54","       1035.54","        425","              440106.50","          5","        425","        100.00"
"QNIFTY","EQ","05-Jul-2017","       1035.54","       1032.20","       1032.20","       1032.20","       1032.20","       1032.20","       1032.20","          3","                3096.60","          1","          3","        100.00"
"QNIFTY","EQ","06-Jul-2017","       1032.20","       1032.15","       1032.15","       1032.15","       1032.15","       1032.15","       1032.15","          6","                6192.90","          1","          6","        100.00"
"QNIFTY","EQ","14-Jul-2017","       1032.15","       1045.00","       1063.00","       1045.00","       1063.00","       1063.00","       1062.48","        106","              112622.80","          4","        103","         97.17"
"QNIFTY","EQ","17-Jul-2017","       1063.00","       1067.10","       1067.70","       1067.10","       1067.70","       1067.70","       1067.25","          4","                4269.00","          2","          3","         75.00"
"QNIFTY","EQ","18-Jul-2017","       1067.70","       1062.60","       1062.60","       1062.60","       1062.60","       1062.60","       1062.60","          1","                1062.60","          1","          1","        100.00"
"QNIFTY","EQ","19-Jul-2017","       1062.60","       1063.00","       1063.00","       1063.00","       1063.00","       1063.00","       1063.00","          3","                3189.00","          1","          3","        100.00"
"QNIFTY","EQ","24-Jul-2017","       1063.00","       1110.00","       1110.00","       1069.30","       1069.30","       1069.30","       1076.25","         25","               26906.30","          3","         25","        100.00"
"QNIFTY","EQ","26-Jul-2017","       1069.30","       1075.00","       1075.20","       1075.00","       1075.20","       1075.20","       1075.05","          4","                4300.20","          2","          3","         75.00"
"QNIFTY","EQ","27-Jul-2017","       1075.20","       1085.70","       1085.70","       1085.70","       1085.70","       1085.70","       1085.70","          3","                3257.10","          1","          3","        100.00"
"QNIFTY","EQ","28-Jul-2017","       1085.70","       1075.20","       1080.00","       1075.20","       1080.00","       1079.21","       1079.22","        410","              442479.00","          7","        410","        100.00"
"QNIFTY","EQ","31-Jul-2017","       1079.21","       1083.10","       1084.20","       1082.00","       1083.00","       1083.00","       1083.12","         73","               79067.50","          7","         73","        100.00"
"QNIFTY","EQ","01-Aug-2017","       1083.00","       1080.00","       1087.10","       1080.00","       1086.00","       1086.00","       1084.29","         18","               19517.20","          5","         18","        100.00"
"QNIFTY","EQ","07-Aug-2017","       1086.00","       1087.70","       1087.70","       1087.70","       1087.70","       1087.70","       1087.70","          3","                3263.10","          1","          3","        100.00"
"QNIFTY","EQ","10-Aug-2017","       1087.70","       1064.70","       1065.00","       1064.10","       1064.10","       1064.10","       1064.81","         22","               23425.80","          4","         21","         95.45"
"QNIFTY","EQ","11-Aug-2017","       1064.10","       1051.20","       1051.20","       1051.20","       1051.20","       1051.20","       1051.20","          3","                3153.60","          1","          3","        100.00"
"QNIFTY","EQ","14-Aug-2017","       1051.20","       1057.50","       1057.50","       1057.50","       1057.50","       1057.50","       1057.50","          2","                2115.00","          1","          2","        100.00"
"QNIFTY","EQ","16-Aug-2017","       1057.50","       1067.20","       1067.20","       1066.30","       1066.30","       1066.75","       1066.75","          2","                2133.50","          2","          0","          0.00"
"QNIFTY","EQ","22-Aug-2017","       1066.75","       1055.00","       1056.40","       1055.00","       1055.00","       1055.00","       1055.00","       1804","             1903225.60","         10","       1804","        100.00"
"QNIFTY","EQ","05-Sep-2017","       1055.00","       1072.20","       1072.20","       1071.60","       1071.60","       1071.60","       1071.95","         17","               18223.20","          3","          3","         17.65"
"QNIFTY","EQ","11-Sep-2017","       1071.60","       1110.00","       1110.00","       1078.70","       1078.70","       1078.70","       1107.15","         11","               12178.70","          2","         11","        100.00"
"QNIFTY","EQ","12-Sep-2017","       1078.70","       1084.10","       1084.10","       1084.10","       1084.10","       1084.10","       1084.10","          5","                5420.50","          1","          5","        100.00"
"QNIFTY","EQ","13-Sep-2017","       1084.10","       1089.10","       1089.10","       1088.00","       1088.00","       1088.00","       1088.55","         20","               21771.00","          2","         20","        100.00"
"QNIFTY","EQ","18-Sep-2017","       1088.00","       1095.10","       1095.10","       1092.90","       1092.90","       1092.90","       1093.34","        100","              109334.00","          4","        100","        100.00"
